lookback,atr_mult,rr,trades,win_rate,avg_r,profit_factor,max_dd_pct,total_return_pct
15,1.25,2.0,554,0.37545126353790614,-0.057669181061369305,0.9008617883449959,0.2783688358987611,-0.15650898995241203
15,1.25,2.5,539,0.3654916512059369,-0.08649754832620409,0.8539223179788502,0.29909789217340993,-0.216751546156691
15,1.25,3.0,526,0.3669201520912547,-0.050333048172227605,0.9147208672230683,0.24892467743409583,-0.13493182943194537
15,1.5,2.0,535,0.38317757009345793,-0.091344294357602,0.8345383272380836,0.2771146100281797,-0.22365942141006967
15,1.5,2.5,519,0.3834296724470135,-0.06215975445735682,0.8877075800267132,0.23845724149370615,-0.1573832705107332
15,1.5,3.0,505,0.3821782178217822,-0.03349100895000276,0.9398402490486898,0.20895482447102004,-0.09117933642409148
15,1.75,2.0,520,0.39615384615384613,-0.08000610228084153,0.8442031076783995,0.24856726005350452,-0.19408929864036117
15,1.75,2.5,503,0.38966202783300197,-0.05793078258738997,0.8893628405357333,0.20716132896041842,-0.14313391935611486
15,1.75,3.0,494,0.38866396761133604,-0.04948391462291235,0.9060639619240594,0.19791110320787508,-0.12330542601036487
20,1.25,2.0,494,0.37044534412955465,-0.06944447516923845,0.8820896867896326,0.29745893886892727,-0.16544731079157193
20,1.25,2.5,481,0.3575883575883576,-0.08490618476380864,0.8586354996928022,0.2895360906170668,-0.19300247713798324
20,1.25,3.0,469,0.3603411513859275,-0.0384918256021589,0.9356289288312561,0.2290403954958922,-0.09688579972365474
20,1.5,2.0,480,0.38125,-0.08231122854445509,0.8514037899722193,0.2583102671599305,-0.185879236584513
20,1.5,2.5,464,0.38362068965517243,-0.04592058897724915,0.9173905112802235,0.22662516582083791,-0.10929555239084021
20,1.5,3.0,450,0.38,-0.020356965827143598,0.9636312273581629,0.2112394095275347,-0.054388694736784426
20,1.75,2.0,462,0.4025974025974026,-0.05714067001788095,0.8880966920733757,0.21048542729205155,-0.1298738799726964
20,1.75,2.5,445,0.3955056179775281,-0.03537443391658914,0.9321870547701703,0.17829499941879662,-0.08304485607855827
20,1.75,3.0,440,0.3931818181818182,-0.027330467626701205,0.9478503176061454,0.18529042076888352,-0.06641058156970558
25,1.25,2.0,451,0.376940133037694,-0.05922878763404603,0.897871025903224,0.26047230485486256,-0.13237594330766878
25,1.25,2.5,437,0.36384439359267734,-0.07660328498800936,0.8704881528727608,0.2743959692183589,-0.16184309812051756
25,1.25,3.0,427,0.36768149882903983,-0.04115105363268434,0.929797432107767,0.23191523367815056,-0.09336655323377796
25,1.5,2.0,436,0.3853211009174312,-0.07106611284825064,0.8706225891414369,0.2433696713765704,-0.1498339264668881
25,1.5,2.5,422,0.3886255924170616,-0.04404558649001736,0.9197999591481335,0.22211155005564703,-0.09618385400625196
25,1.5,3.0,413,0.38498789346246975,-0.021193422953703387,0.9615601896416072,0.21528381584226625,-0.051427429555925275
25,1.75,2.0,419,0.39856801909307876,-0.06941312937595626,0.8647578422594527,0.23074276952851214,-0.14082165232831012
25,1.75,2.5,410,0.3902439024390244,-0.04860699726766318,0.9067581246134822,0.21286983284954952,-0.1013126830020632
25,1.75,3.0,404,0.3886138613861386,-0.03641493095935788,0.9304873699960821,0.21530759642923186,-0.07813549015570187
