pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
EURUSD,2013-09-19 12:00:00,2013-09-19 12:00:00,2013-09-20 16:00:00,1,135510.5,135504.0,134982.01312544194,136831.71718639514,135265.5,FRIDAY,-0.46358767226693814,352.3245830387061,m30
EURUSD,2013-10-14 16:00:00,2013-10-14 16:00:00,2013-10-15 11:00:00,1,135846.5,135841.0,135420.1680229076,136912.32994273095,135413.6680229076,SL,-1.0152463346623524,284.2213180615908,m30
EURUSD,2013-10-17 16:00:00,2013-10-17 16:00:00,2013-10-18 16:00:00,1,136762.5,136755.0,136218.7015329603,138121.99616759925,136772.5,FRIDAY,0.01838916548337722,362.53231135980377,m30
EURUSD,2013-10-24 08:00:00,2013-10-24 08:00:00,2013-10-24 10:00:00,1,138071.5,138063.0,137676.10822216177,139059.9794445956,137669.60822216177,SL,-1.0164393909138072,263.59451855882867,m30
EURUSD,2013-11-27 08:00:00,2013-11-27 08:00:00,2013-11-29 16:00:00,1,135809.5,135805.0,135380.23385817994,136882.66535455012,135986.5,FRIDAY,0.41233161145562425,286.17742788003375,m30
EURUSD,2013-12-05 08:00:00,2013-12-05 08:00:00,2013-12-05 14:00:00,1,136260.5,136255.0,135803.85687183897,137402.1078204026,135797.35687183897,SL,-1.0142343103380589,304.4287521073609,m30
EURUSD,2013-12-10 16:00:00,2013-12-10 16:00:00,2013-12-12 19:00:00,1,137834.5,137827.0,137401.02790216412,138918.1802445897,137394.52790216412,SL,-1.0149951981510645,288.9813985572502,m30
EURUSD,2013-12-27 08:00:00,2013-12-27 08:00:00,2013-12-27 12:30:00,1,137639.5,137631.0,137258.72069763817,138591.44825590457,138584.94825590457,TP,2.4829297444486214,253.85286824121704,m30
EURUSD,2014-02-14 12:00:00,2014-02-14 12:00:00,2014-02-14 16:00:00,1,136954.5,136949.0,136534.69765617998,138004.0058595501,136852.5,FRIDAY,-0.24297148765736118,279.86822921335414,m30
EURUSD,2014-02-18 12:00:00,2014-02-18 12:00:00,2014-02-20 09:00:00,1,137265.5,137259.0,136930.68177965176,138102.5455508706,136924.18177965176,SL,-1.019413519351608,223.21214689882754,m30
EURUSD,2014-03-07 12:00:00,2014-03-07 12:00:00,2014-03-07 16:00:00,1,138869.5,138865.0,138461.38759944757,139889.78100138108,138698.5,FRIDAY,-0.419002215488993,272.07493370162075,m30
EURUSD,2014-03-13 12:00:00,2014-03-13 12:00:00,2014-03-13 17:00:00,1,139518.5,139512.0,139148.37463238585,140443.8134190354,139141.87463238585,SL,-1.0175616171403927,246.75024507610834,m30
EURUSD,2014-05-01 12:00:00,2014-05-01 12:00:00,2014-05-02 14:30:00,1,138811.5,138805.0,138496.2037078047,139599.7407304883,138489.7037078047,SL,-1.0206155294587498,210.19752813020887,m30
EURUSD,2014-05-06 16:00:00,2014-05-06 16:00:00,2014-05-08 14:30:00,1,139326.5,139318.0,139025.6826111991,140078.54347200226,139019.1826111991,SL,-1.021607793438788,200.54492586726585,m30
EURUSD,2014-07-29 16:00:00,2014-07-29 16:00:00,2014-08-01 14:30:00,-1,134123.5,134149.0,134338.37931977893,133586.3017005527,134117.0,BE,0.03024953730627735,143.25287985261463,m30
EURUSD,2014-08-06 16:00:00,2014-08-06 16:00:00,2014-08-06 18:00:00,-1,133470.5,133475.0,133721.22570295914,132843.68574260216,133727.72570295914,SL,-1.025924745342397,167.15046863942194,m30
EURUSD,2014-08-19 12:00:00,2014-08-19 12:00:00,2014-08-20 12:00:00,-1,133451.5,133458.0,133717.27563580143,132787.0609104964,132793.5609104964,TP,2.4755432811574356,177.1837572009612,m30
EURUSD,2014-09-02 12:00:00,2014-09-02 12:00:00,2014-09-03 08:00:00,-1,131109.5,131116.0,131384.6973095031,130421.50672624224,131391.1973095031,SL,-1.023619416962069,183.46487300207036,m30
EURUSD,2014-09-25 08:00:00,2014-09-25 08:00:00,2014-09-26 16:00:00,-1,127649.5,127657.0,128036.75811510658,126681.35471223356,126977.5,FRIDAY,1.7352767412377048,258.1720767377192,m30
EURUSD,2014-10-22 12:00:00,2014-10-22 12:00:00,2014-10-24 16:00:00,-1,126882.5,126889.0,127478.21371962765,125393.21570093089,126839.5,FRIDAY,0.07218232278900212,397.14247975176534,m30
EURUSD,2014-10-30 08:00:00,2014-10-30 08:00:00,2014-10-31 16:00:00,-1,125970.5,125977.0,126492.2063305237,124666.23417369075,125069.5,FRIDAY,1.727025238692344,347.8042203491334,m30
EURUSD,2014-12-03 08:00:00,2014-12-03 08:00:00,2014-12-04 15:30:00,-1,123712.5,123721.0,124145.51398901347,122629.96502746633,123706.0,BE,0.015011062378859642,288.6759926756448,m30
EURUSD,2014-12-08 12:00:00,2014-12-08 12:00:00,2014-12-08 19:30:00,-1,122586.5,122596.0,123134.2902575691,121217.02435607727,123140.7902575691,SL,-1.0118658554258504,365.1935050460618,m30
EURUSD,2014-12-18 12:00:00,2014-12-18 12:00:00,2014-12-19 16:00:00,-1,123019.5,123028.0,123742.62473650399,121211.68815874001,122932.5,FRIDAY,0.12031119336424372,482.0831576693304,m30
EURUSD,2014-12-23 16:00:00,2014-12-23 16:00:00,2014-12-26 16:00:00,-1,121858.5,121865.0,122358.53874966179,120608.40312584554,121795.5,FRIDAY,0.12599023584194538,333.3591664411912,m30
EURUSD,2014-12-30 08:00:00,2014-12-30 08:00:00,2014-12-30 10:00:00,-1,121326.5,121336.0,121721.212280659,120339.71929835247,121727.712280659,SL,-1.0164676913247843,263.1415204393406,m30
EURUSD,2015-01-07 16:00:00,2015-01-07 16:00:00,2015-01-09 16:00:00,-1,118287.5,118295.0,118894.87145128437,116769.07137178906,117877.5,FRIDAY,0.6750399597033976,404.9143008562514,m30
EURUSD,2015-01-23 12:00:00,2015-01-23 12:00:00,2015-01-23 16:00:00,-1,112321.5,112323.0,113303.54170159089,109866.39574602277,112349.5,FRIDAY,-0.028512027498058853,654.6944677272609,m30
EURUSD,2015-02-09 16:00:00,2015-02-09 16:00:00,2015-02-12 15:30:00,-1,112929.5,112935.0,113655.72977512101,111113.92556219747,113662.22977512101,SL,-1.0089503353107774,484.15318341400666,m30
