pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
CADJPY,2013-10-22 08:00:00+00:00,2013-10-22 08:00:00+00:00,2013-10-22 12:00:00+00:00,1,95.462,95.24804579969307,95.99688550076732,95.24804579969307,SL,-1.0000000000000113
CADJPY,2013-11-15 12:00:00+00:00,2013-11-15 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,95.96,95.57587339885096,96.92031650287257,95.865,FRIDAY,-0.2473142961612855
CADJPY,2013-11-21 08:00:00+00:00,2013-11-21 08:00:00+00:00,2013-11-22 05:00:00+00:00,1,96.222,95.81285566786315,97.2448608303421,95.81285566786315,SL,-1.0000000000000095
CADJPY,2013-11-27 12:00:00+00:00,2013-11-27 12:00:00+00:00,2013-11-27 14:00:00+00:00,1,96.543,96.17661857275179,97.45895356812053,96.17661857275179,SL,-1.000000000000015
CADJPY,2013-11-28 12:00:00+00:00,2013-11-28 12:00:00+00:00,2013-11-29 16:00:00+00:00,1,96.705,96.34160944001403,97.61347639996491,96.669,FRIDAY,-0.09906696530969765
CADJPY,2013-12-26 12:00:00+00:00,2013-12-26 12:00:00+00:00,2013-12-26 16:00:00+00:00,1,98.604,98.33420763885842,99.27848090285397,98.33420763885842,SL,-0.9999999999999889
CADJPY,2014-03-10 08:00:00+00:00,2014-03-10 08:00:00+00:00,2014-03-10 08:00:00+00:00,-1,92.628,92.88444145267914,91.98689636830214,92.88444145267914,SL,-0.9999999999999786
CADJPY,2014-07-01 12:00:00+00:00,2014-07-01 12:00:00+00:00,2014-07-03 14:00:00+00:00,1,95.246,94.97184886900835,95.93137782747908,95.93137782747908,TP,2.5000000000000115
CADJPY,2014-07-24 12:00:00+00:00,2014-07-24 12:00:00+00:00,2014-07-25 14:00:00+00:00,1,94.748,94.50923877496234,95.34490306259417,94.50923877496234,SL,-0.9999999999999899
CADJPY,2014-08-21 12:00:00+00:00,2014-08-21 12:00:00+00:00,2014-08-22 16:00:00+00:00,1,94.718,94.45200049297833,95.38299876755418,94.948,FRIDAY,0.8646632566174348
CADJPY,2014-08-27 08:00:00+00:00,2014-08-27 08:00:00+00:00,2014-08-29 14:00:00+00:00,1,95.368,95.082634836261,96.08141290934749,96.08141290934749,TP,2.4999999999999956
CADJPY,2014-09-02 08:00:00+00:00,2014-09-02 08:00:00+00:00,2014-09-03 05:00:00+00:00,1,96.267,95.99651924065493,96.94320189836264,95.99651924065493,SL,-1.0000000000000058
CADJPY,2014-09-04 12:00:00+00:00,2014-09-04 12:00:00+00:00,2014-09-05 12:00:00+00:00,1,96.608,96.28679266276689,97.41101834308279,96.28679266276689,SL,-1.0000000000000104
CADJPY,2014-09-10 16:00:00+00:00,2014-09-10 16:00:00+00:00,2014-09-11 12:00:00+00:00,1,97.453,97.07062107322221,98.40894731694446,97.07062107322221,SL,-1.000000000000015
CADJPY,2014-09-17 08:00:00+00:00,2014-09-17 08:00:00+00:00,2014-09-18 05:00:00+00:00,1,97.933,97.55972892312398,98.86617769219008,98.86617769219008,TP,2.5000000000000058
CADJPY,2014-09-18 08:00:00+00:00,2014-09-18 08:00:00+00:00,2014-09-19 01:00:00+00:00,1,98.758,98.34441344309863,99.7919663922534,99.7919663922534,TP,2.4999999999999845
CADJPY,2014-10-29 12:00:00+00:00,2014-10-29 12:00:00+00:00,2014-10-31 04:00:00+00:00,1,97.046,96.61934635437831,98.11263411405427,98.11263411405427,TP,2.5000000000000147
CADJPY,2014-10-31 12:00:00+00:00,2014-10-31 12:00:00+00:00,2014-10-31 16:00:00+00:00,1,99.756,99.11143613499401,101.36740966251497,99.423,FRIDAY,-0.5166284026748905
CADJPY,2014-11-03 12:00:00+00:00,2014-11-03 12:00:00+00:00,2014-11-03 19:00:00+00:00,1,100.699,100.01684147299177,102.40439631752055,100.01684147299177,SL,-1.0000000000000098
CADJPY,2014-11-11 08:00:00+00:00,2014-11-11 08:00:00+00:00,2014-11-14 16:00:00+00:00,1,101.718,101.07900859770332,103.31547850574172,102.92,FRIDAY,1.881089472690437
CADJPY,2014-11-18 08:00:00+00:00,2014-11-18 08:00:00+00:00,2014-11-21 13:00:00+00:00,1,103.576,102.9583802025862,105.12004949353448,105.12004949353448,TP,2.4999999999999947
CADJPY,2014-12-03 16:00:00+00:00,2014-12-03 16:00:00+00:00,2014-12-05 16:00:00+00:00,1,105.332,104.77718559550046,106.71903601124885,106.237,FRIDAY,1.6311761062085917
CADJPY,2014-12-22 08:00:00+00:00,2014-12-22 08:00:00+00:00,2014-12-26 16:00:00+00:00,1,103.283,102.50186512974909,105.23583717562727,103.76,FRIDAY,0.6106499890944431
CADJPY,2015-03-31 08:00:00+00:00,2015-03-31 08:00:00+00:00,2015-03-31 18:00:00+00:00,-1,94.338,94.79984585135377,93.18338537161559,94.79984585135377,SL,-1.0000000000000124
CADJPY,2015-04-10 12:00:00+00:00,2015-04-10 12:00:00+00:00,2015-04-10 16:00:00+00:00,-1,95.277,95.7325672673336,94.13808183166601,95.505,FRIDAY,-0.5004749382774195
CADJPY,2015-05-12 12:00:00+00:00,2015-05-12 12:00:00+00:00,2015-05-15 16:00:00+00:00,1,99.636,99.15113142017329,100.84817144956678,99.38,FRIDAY,-0.5279781174756533
CADJPY,2015-06-02 16:00:00+00:00,2015-06-02 16:00:00+00:00,2015-06-04 06:00:00+00:00,1,99.962,99.50679379282653,101.10001551793367,99.50679379282653,SL,-1.000000000000015
CADJPY,2015-06-17 16:00:00+00:00,2015-06-17 16:00:00+00:00,2015-06-18 05:00:00+00:00,1,100.962,100.5228256496241,102.05993587593979,100.5228256496241,SL,-0.9999999999999923
CADJPY,2015-08-17 08:00:00+00:00,2015-08-17 08:00:00+00:00,2015-08-17 18:00:00+00:00,-1,94.762,95.21655976285949,93.62560059285126,95.21655976285949,SL,-0.9999999999999853
CADJPY,2015-08-24 12:00:00+00:00,2015-08-24 12:00:00+00:00,2015-08-24 13:00:00+00:00,-1,90.367,91.203704558526,88.27523860368504,88.27523860368504,TP,2.4999999999999916
CADJPY,2015-09-15 08:00:00+00:00,2015-09-15 08:00:00+00:00,2015-09-15 20:00:00+00:00,-1,90.277,90.97603162445506,88.52942093886236,90.97603162445506,SL,-1.0
CADJPY,2015-09-22 12:00:00+00:00,2015-09-22 12:00:00+00:00,2015-09-25 06:00:00+00:00,-1,90.473,91.08756638911417,88.93658402721458,90.473,BE,-0.0
CADJPY,2015-10-22 08:00:00+00:00,2015-10-22 08:00:00+00:00,2015-10-22 13:00:00+00:00,-1,91.202,91.75074182236516,89.83014544408711,91.75074182236516,SL,-1.000000000000003
CADJPY,2015-10-27 16:00:00+00:00,2015-10-27 16:00:00+00:00,2015-10-28 14:00:00+00:00,-1,90.829,91.39673711894976,89.4096572026256,91.39673711894976,SL,-1.000000000000011
CADJPY,2015-12-08 12:00:00+00:00,2015-12-08 12:00:00+00:00,2015-12-09 16:00:00+00:00,-1,90.877,91.3273097271239,89.75122568219022,89.75122568219022,TP,2.5000000000000053
CADJPY,2015-12-11 12:00:00+00:00,2015-12-11 12:00:00+00:00,2015-12-11 16:00:00+00:00,-1,88.807,89.3704110371574,87.39847240710652,88.281,FRIDAY,0.933599033937734
CADJPY,2015-12-18 08:00:00+00:00,2015-12-18 08:00:00+00:00,2015-12-18 16:00:00+00:00,-1,87.529,88.19671276377596,85.85971809056008,87.47,FRIDAY,0.08836134817364912
CADJPY,2015-12-21 16:00:00+00:00,2015-12-21 16:00:00+00:00,2015-12-23 15:00:00+00:00,-1,86.627,87.30358584074212,84.93553539814468,87.30358584074212,SL,-0.9999999999999958
CADJPY,2015-12-29 12:00:00+00:00,2015-12-29 12:00:00+00:00,2015-12-29 14:00:00+00:00,-1,86.418,86.81133786567045,85.43465533582389,86.81133786567045,SL,-1.000000000000005
CADJPY,2016-01-04 12:00:00+00:00,2016-01-04 12:00:00+00:00,2016-01-04 15:00:00+00:00,-1,85.386,85.916302942132,84.06024264466998,85.916302942132,SL,-1.000000000000009
CADJPY,2016-01-06 12:00:00+00:00,2016-01-06 12:00:00+00:00,2016-01-07 15:00:00+00:00,-1,84.091,84.74325518294384,82.46036204264037,84.091,BE,-0.0
CADJPY,2016-01-15 08:00:00+00:00,2016-01-15 08:00:00+00:00,2016-01-15 16:00:00+00:00,-1,81.302,82.20661542416792,79.04046143958023,80.709,FRIDAY,0.655527182222722
CADJPY,2016-01-20 08:00:00+00:00,2016-01-20 08:00:00+00:00,2016-01-20 20:00:00+00:00,-1,79.758,80.63218254884173,77.57254362789566,80.63218254884173,SL,-0.9999999999999939
CADJPY,2016-02-08 12:00:00+00:00,2016-02-08 12:00:00+00:00,2016-02-10 16:00:00+00:00,-1,83.93,84.80737096782595,81.73657258043517,81.73657258043517,TP,2.5000000000000067
CADJPY,2016-02-11 08:00:00+00:00,2016-02-11 08:00:00+00:00,2016-02-12 16:00:00+00:00,-1,80.772,81.85125153764933,78.07387115587669,81.078,FRIDAY,-0.2835298253699805
CADJPY,2016-02-23 16:00:00+00:00,2016-02-23 16:00:00+00:00,2016-02-25 04:00:00+00:00,-1,81.198,82.02828654588073,79.12228363529816,82.02828654588073,SL,-1.0000000000000049
CADJPY,2016-04-07 08:00:00+00:00,2016-04-07 08:00:00+00:00,2016-04-08 01:00:00+00:00,-1,83.099,83.75832927133048,81.45067682167382,83.099,BE,-0.0
CADJPY,2016-05-19 16:00:00+00:00,2016-05-19 16:00:00+00:00,2016-05-20 16:00:00+00:00,-1,83.735,84.37050004500249,82.1462498874938,84.142,FRIDAY,-0.6404405526020182
CADJPY,2016-05-23 08:00:00+00:00,2016-05-23 08:00:00+00:00,2016-05-24 15:00:00+00:00,-1,83.423,83.98872703843996,82.00868240390011,83.98872703843996,SL,-1.0000000000000009
CADJPY,2016-06-01 12:00:00+00:00,2016-06-01 12:00:00+00:00,2016-06-03 16:00:00+00:00,-1,83.654,84.32477978925805,81.97705052685488,82.556,FRIDAY,1.6369008392672373
CADJPY,2016-06-14 08:00:00+00:00,2016-06-14 08:00:00+00:00,2016-06-16 04:00:00+00:00,-1,82.381,83.09258486627549,80.60203783431129,80.60203783431129,TP,2.4999999999999996
CADJPY,2016-06-16 16:00:00+00:00,2016-06-16 16:00:00+00:00,2016-06-16 16:00:00+00:00,-1,79.783,80.6265057024177,77.67423574395575,80.6265057024177,SL,-1.0000000000000027
CADJPY,2016-07-05 12:00:00+00:00,2016-07-05 12:00:00+00:00,2016-07-06 10:00:00+00:00,-1,78.706,79.3398886398626,77.12127840034353,77.12127840034353,TP,2.4999999999999916
CADJPY,2016-07-25 16:00:00+00:00,2016-07-25 16:00:00+00:00,2016-07-27 03:00:00+00:00,-1,80.164,80.894717829136,78.33720542716,80.164,BE,-0.0
CADJPY,2016-08-01 16:00:00+00:00,2016-08-01 16:00:00+00:00,2016-08-05 16:00:00+00:00,-1,78.082,78.93671482487197,75.94521293782006,77.197,FRIDAY,1.035433075742604
CADJPY,2016-08-22 16:00:00+00:00,2016-08-22 16:00:00+00:00,2016-08-26 12:00:00+00:00,-1,77.457,77.9646190138334,76.1879524654165,77.9646190138334,SL,-1.0000000000000122
CADJPY,2016-09-12 08:00:00+00:00,2016-09-12 08:00:00+00:00,2016-09-16 16:00:00+00:00,-1,78.154,78.67115807979539,76.86110480051151,77.481,FRIDAY,1.3013429090506847
CADJPY,2016-09-20 16:00:00+00:00,2016-09-20 16:00:00+00:00,2016-09-21 03:00:00+00:00,-1,76.847,77.2909351139582,75.73716221510448,77.2909351139582,SL,-0.9999999999999963
CADJPY,2016-09-21 16:00:00+00:00,2016-09-21 16:00:00+00:00,2016-09-22 06:00:00+00:00,-1,76.314,76.934458590937,74.76285352265747,76.934458590937,SL,-0.9999999999999925
CADJPY,2016-09-26 16:00:00+00:00,2016-09-26 16:00:00+00:00,2016-09-27 02:00:00+00:00,-1,76.029,76.57345414763705,74.66786463090736,76.57345414763705,SL,-1.0000000000000002
CADJPY,2016-11-02 12:00:00+00:00,2016-11-02 12:00:00+00:00,2016-11-04 16:00:00+00:00,-1,77.278,77.7573767827278,76.0795580431805,76.803,FRIDAY,0.9908698483416577
CADJPY,2016-12-15 12:00:00+00:00,2016-12-15 12:00:00+00:00,2016-12-15 13:00:00+00:00,1,88.787,88.26155026626734,90.10062433433167,88.26155026626734,SL,-1.0000000000000098
CADJPY,2017-01-02 12:00:00+00:00,2017-01-02 12:00:00+00:00,2017-01-05 06:00:00+00:00,1,87.445,86.98166784349635,88.60333039125908,87.445,BE,0.0
CADJPY,2017-01-25 16:00:00+00:00,2017-01-25 16:00:00+00:00,2017-01-27 16:00:00+00:00,1,86.81,86.21175239018251,88.30561902454374,87.668,FRIDAY,1.4341887638493862
CADJPY,2017-02-14 16:00:00+00:00,2017-02-14 16:00:00+00:00,2017-02-16 15:00:00+00:00,1,87.335,86.86015835640131,88.52210410899671,86.86015835640131,SL,-0.9999999999999856
CADJPY,2017-05-18 08:00:00+00:00,2017-05-18 08:00:00+00:00,2017-05-18 14:00:00+00:00,-1,81.294,81.88652991256646,79.81267521858383,81.88652991256646,SL,-0.9999999999999934
CADJPY,2017-05-30 16:00:00+00:00,2017-05-30 16:00:00+00:00,2017-05-31 03:00:00+00:00,-1,82.211,82.59259857090306,81.25700357274235,82.59259857090306,SL,-1.000000000000016
CADJPY,2017-06-06 12:00:00+00:00,2017-06-06 12:00:00+00:00,2017-06-08 13:00:00+00:00,-1,81.259,81.6832113322477,80.19847166938077,81.6832113322477,SL,-0.9999999999999979
CADJPY,2017-07-04 16:00:00+00:00,2017-07-04 16:00:00+00:00,2017-07-05 14:00:00+00:00,1,87.556,87.08770313350911,88.72674216622721,87.08770313350911,SL,-1.0000000000000044
CADJPY,2017-07-26 16:00:00+00:00,2017-07-26 16:00:00+00:00,2017-07-26 18:00:00+00:00,1,89.649,89.23195601719834,90.69160995700415,89.23195601719834,SL,-0.9999999999999966
CADJPY,2017-09-01 12:00:00+00:00,2017-09-01 12:00:00+00:00,2017-09-01 16:00:00+00:00,1,88.561,88.09536166247283,89.72509584381794,88.976,FRIDAY,0.8912496385153691
CADJPY,2017-09-11 16:00:00+00:00,2017-09-11 16:00:00+00:00,2017-09-15 09:00:00+00:00,1,89.846,89.24254466817119,91.35463832957204,91.35463832957204,TP,2.499999999999996
CADJPY,2017-09-15 12:00:00+00:00,2017-09-15 12:00:00+00:00,2017-09-15 13:00:00+00:00,1,91.598,91.06427337641409,92.93231655896477,91.06427337641409,SL,-0.9999999999999976
CADJPY,2017-12-27 12:00:00+00:00,2017-12-27 12:00:00+00:00,2017-12-29 16:00:00+00:00,1,89.609,89.29310068617272,90.39874828456819,89.895,FRIDAY,0.9053517607714059
