year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,6,2.0,0,6,0.0,-0.7243968769118346,0.0,,-0.7243968769118346,0.016630579014201063,-0.021547426119130075,-0.11520870579099007,6
2014,17,1.7,10,7,0.5882352941176471,0.7924088483491772,3.0671656552346227,1.9987578824610914,-0.930946914667843,0.014925125000000206,0.0689964096535376,0.08735077995140417,3
2015,16,1.6,4,12,0.25,-0.25040579210260705,0.6004874678709015,1.5054900955278447,-0.8357044213127578,0.022543630645110002,-0.02011286810056101,-0.02681739726761323,6
2016,23,1.9166666666666667,8,15,0.34782608695652173,0.09548275985447313,1.2010352830213895,1.6400092318281128,-0.7282646918648015,0.014994496439817762,0.01058682705154168,0.011179114457543271,3
2017,12,1.0,4,8,0.3333333333333333,-0.10576748640531941,0.8186843090194521,1.4326975407840394,-0.8749999999999989,0.029627490643734267,-0.0065355751586387845,-0.006612262584630657,6
2018,10,0.7692307692307693,7,3,0.7,1.2357527508479536,5.119175836159814,2.193932501211365,-1.0000000000000075,0.009975000000000067,0.06322555681955033,0.06381092844991243,2
2019,10,1.25,3,7,0.3,-0.6498645349616826,0.07162209291188523,0.16711821679439942,-1.0000000000000033,0.027193089082191868,-0.032057123636780926,-0.05174128157483193,4
2020,15,1.25,5,10,0.3333333333333333,-0.33917188578879703,0.44845879119428517,0.827343151225044,-0.9224294042957174,0.03031516407495105,-0.025315634731837955,-0.02740844956207944,4
2021,22,1.8333333333333333,12,10,0.5454545454545454,0.7032097351841784,3.0749604057430235,1.9105395098170384,-0.7455859943752537,0.02051192188795492,0.07964824318200292,0.08108964938562235,5
2022,32,2.6666666666666665,14,18,0.4375,0.1730672704554676,1.3533732192526813,1.5150286032035218,-0.870680432793019,0.034243135237626565,0.027272854530835833,0.02815166527901769,6
2023,23,2.090909090909091,6,17,0.2608695652173913,-0.054269008359373275,0.898266262711442,1.836828296825641,-0.7217151160717312,0.023518269180626494,-0.006639112963245708,-0.007669870492464481,5
2024,19,1.5833333333333333,6,13,0.3157894736842105,-0.037110745833875504,0.9319786795810995,1.610137454117454,-0.7973791458114122,0.01985049937499983,-0.0038693329800242315,-0.004387907482679476,4
2025,18,1.6363636363636365,6,12,0.3333333333333333,-0.0625362635693516,0.883109144543758,1.4173823779833754,-0.8024955843457152,0.04123697786650571,-0.005926218537547268,-0.007092728912385771,9
2026,16,2.0,5,11,0.3125,-0.2015944065365169,0.662103246471367,1.2640671769175627,-0.8678042171974621,0.020190686735830132,-0.016240791851625858,-0.025889865997249073,4
