year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,7,2.3333333333333335,7,0,1.0,1.6148955322629492,,1.6148955322629492,,0.0,0.0578602694880308,0.30579749245857424,0
2014,20,1.6666666666666667,8,12,0.4,0.05299137975152517,1.12471732372836,1.1947081815317997,-0.7081531547686577,0.014925124999999761,0.004961850804602763,0.005178604582837698,3
2015,13,1.1818181818181819,6,7,0.46153846153846156,0.423466221887951,1.9495078949387727,1.8838108515197327,-0.8282577463678619,0.013924230637174406,0.02750032859480034,0.031152999444319596,3
2016,20,2.2222222222222223,8,12,0.4,-0.16375594938798957,0.677478221441144,0.8599503717044015,-0.8462268301162502,0.028628381269114378,-0.01648623603497834,-0.023082454691188414,3
2017,14,1.1666666666666667,7,7,0.5,0.29756330989548757,1.686703117895243,1.4617698667519743,-0.8666432469609991,0.014925124999999984,0.02072734533949272,0.022021739827814857,3
2018,17,1.4166666666666667,7,10,0.4117647058823529,-0.013264832605892356,0.9712203668715046,1.0871392679075724,-0.7835477029653178,0.018020156902142204,-0.0013490611384070483,-0.0014449294268312762,3
2019,18,1.5,5,13,0.2777777777777778,-0.21525671345403527,0.5950728674123918,1.1388131587791983,-0.7360528181591252,0.03941951455270587,-0.019418837482418683,-0.019753548092127482,4
2020,22,1.8333333333333333,10,12,0.45454545454545453,0.12200640267835046,1.244012805356701,1.368414085892371,-0.9166666666666666,0.021835852799335087,0.013082527210847461,0.013424724113429765,4
2021,27,2.25,14,13,0.5185185185185185,0.1719487552065974,1.3748553224935358,1.2162646439589544,-0.9526991249882486,0.02962749064373471,0.022926408765896023,0.023330165885441678,6
2022,36,3.272727272727273,14,22,0.3888888888888889,0.21724484683194528,1.4582490619937234,1.777681978464578,-0.7757606005706393,0.02827844170344118,0.03899870627719437,0.04421116375731038,6
2023,30,2.727272727272727,14,16,0.4666666666666667,-0.03596755309064418,0.930357108504937,1.029620067308921,-0.9683567209402638,0.01749783427678131,-0.005877680287817322,-0.006769277029824106,3
2024,21,1.75,7,14,0.3333333333333333,-0.05705323606085712,0.8999439147427788,1.5394779581078792,-0.8553188331452253,0.019850499375000275,-0.006389109099545598,-0.006518074890505154,4
2025,26,2.3636363636363638,10,16,0.38461538461538464,0.08919269723347217,1.173749029407186,1.5665905566752767,-0.8341809649176555,0.028939620806002098,0.011077948272711247,0.013237082713750237,5
2026,14,2.8,3,11,0.21428571428571427,-0.2937472302912216,0.3743020773096314,0.8200457564829863,-0.5975089539569147,0.02224920103017325,-0.020466852442384775,-0.05363973919708431,6
