pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
EURAUD,2013-11-21 16:00:00+00:00,2013-11-21 16:00:00+00:00,2013-11-22 09:00:00+00:00,1,1.45515,1.4482061046319787,1.4725097384200527,1.4725097384200527,TP,2.499999999999987
EURAUD,2013-11-22 12:00:00+00:00,2013-11-22 12:00:00+00:00,2013-11-22 16:00:00+00:00,1,1.4737,1.465779704442571,1.4935007388935724,1.47582,FRIDAY,0.2676667789261252
EURAUD,2013-11-27 08:00:00+00:00,2013-11-27 08:00:00+00:00,2013-11-28 01:00:00+00:00,1,1.49137,1.4854570389843715,1.5061524025390716,1.4854570389843715,SL,-0.9999999999999937
EURAUD,2013-12-04 08:00:00+00:00,2013-12-04 08:00:00+00:00,2013-12-06 16:00:00+00:00,1,1.50253,1.4950206268950383,1.521303432762404,1.50384,FRIDAY,0.17444864993252224
EURAUD,2013-12-10 08:00:00+00:00,2013-12-10 08:00:00+00:00,2013-12-10 09:00:00+00:00,1,1.5135,1.508436047748314,1.526159880629215,1.508436047748314,SL,-1.000000000000007
EURAUD,2013-12-17 16:00:00+00:00,2013-12-17 16:00:00+00:00,2013-12-20 00:00:00+00:00,1,1.54481,1.5386968457946562,1.5600928855133598,1.5386968457946562,SL,-0.999999999999995
EURAUD,2013-12-26 08:00:00+00:00,2013-12-26 08:00:00+00:00,2013-12-27 11:00:00+00:00,1,1.54135,1.5372303833051193,1.551649041737202,1.551649041737202,TP,2.499999999999993
EURAUD,2014-01-09 08:00:00+00:00,2014-01-09 08:00:00+00:00,2014-01-09 13:00:00+00:00,1,1.53177,1.5251586866883218,1.5482982832791958,1.5251586866883218,SL,-0.9999999999999954
EURAUD,2014-01-15 08:00:00+00:00,2014-01-15 08:00:00+00:00,2014-01-15 13:00:00+00:00,1,1.53055,1.5244275163373695,1.5458562091565764,1.5244275163373695,SL,-1.000000000000014
EURAUD,2014-01-16 12:00:00+00:00,2014-01-16 12:00:00+00:00,2014-01-17 16:00:00+00:00,1,1.5492,1.5413066631476666,1.5689333421308334,1.54313,FRIDAY,-0.7690030355420134
EURAUD,2014-01-23 12:00:00+00:00,2014-01-23 12:00:00+00:00,2014-01-24 05:00:00+00:00,1,1.55452,1.54666281497096,1.5741629625725995,1.5741629625725995,TP,2.500000000000004
EURAUD,2014-01-24 12:00:00+00:00,2014-01-24 12:00:00+00:00,2014-01-24 16:00:00+00:00,1,1.57785,1.5680769664408492,1.6022825838978771,1.56921,FRIDAY,-0.884065315821003
EURAUD,2014-03-10 08:00:00+00:00,2014-03-10 08:00:00+00:00,2014-03-10 09:00:00+00:00,1,1.53887,1.5346274451261357,1.5494763871846604,1.5346274451261357,SL,-1.0000000000000118
EURAUD,2014-06-23 08:00:00+00:00,2014-06-23 08:00:00+00:00,2014-06-24 06:00:00+00:00,-1,1.44014,1.445031671913929,1.4279108202151778,1.445031671913929,SL,-1.0000000000000016
EURAUD,2014-07-01 16:00:00+00:00,2014-07-01 16:00:00+00:00,2014-07-02 13:00:00+00:00,-1,1.44193,1.4472794597660168,1.4285563505849577,1.4472794597660168,SL,-0.9999999999999979
EURAUD,2014-07-22 12:00:00+00:00,2014-07-22 12:00:00+00:00,2014-07-23 07:00:00+00:00,-1,1.43633,1.4410027203576028,1.4246481991059932,1.4246481991059932,TP,2.499999999999996
EURAUD,2014-07-23 08:00:00+00:00,2014-07-23 08:00:00+00:00,2014-07-24 13:00:00+00:00,-1,1.42459,1.4299318082304535,1.4112354794238664,1.4299318082304535,SL,-1.0000000000000009
EURAUD,2014-08-06 12:00:00+00:00,2014-08-06 12:00:00+00:00,2014-08-07 01:00:00+00:00,-1,1.43356,1.4375854856022603,1.423496285994349,1.4375854856022603,SL,-0.9999999999999808
EURAUD,2014-08-13 08:00:00+00:00,2014-08-13 08:00:00+00:00,2014-08-15 16:00:00+00:00,-1,1.43764,1.4419022917708577,1.4269842705728557,1.43919,FRIDAY,-0.3636541286538929
EURAUD,2014-08-19 12:00:00+00:00,2014-08-19 12:00:00+00:00,2014-08-19 23:00:00+00:00,-1,1.42904,1.4329709695025878,1.4192125762435304,1.4329709695025878,SL,-0.9999999999999722
EURAUD,2014-08-22 08:00:00+00:00,2014-08-22 08:00:00+00:00,2014-08-22 16:00:00+00:00,-1,1.42477,1.4289215425602941,1.414391143599265,1.42214,FRIDAY,0.6334994671989804
EURAUD,2014-08-25 08:00:00+00:00,2014-08-25 08:00:00+00:00,2014-08-25 13:00:00+00:00,-1,1.41523,1.4197337866046127,1.4039705334884682,1.4197337866046127,SL,-0.9999999999999927
EURAUD,2014-08-28 12:00:00+00:00,2014-08-28 12:00:00+00:00,2014-08-29 16:00:00+00:00,-1,1.40909,1.4134474573480516,1.3981963566298712,1.40739,FRIDAY,0.39013577511210945
EURAUD,2014-12-11 12:00:00+00:00,2014-12-11 12:00:00+00:00,2014-12-12 16:00:00+00:00,1,1.50356,1.493243777581286,1.5293505560467853,1.51105,FRIDAY,0.7260409572415538
EURAUD,2014-12-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,2014-12-18 07:00:00+00:00,1,1.52195,1.5117804512565163,1.5473738718587091,1.5117804512565163,SL,-0.9999999999999991
EURAUD,2015-02-26 16:00:00+00:00,2015-02-26 16:00:00+00:00,2015-02-27 16:00:00+00:00,-1,1.43314,1.4419417482912997,1.4111356292717512,1.43285,FRIDAY,0.032947999693059234
EURAUD,2015-03-04 12:00:00+00:00,2015-03-04 12:00:00+00:00,2015-03-06 11:00:00+00:00,-1,1.42059,1.4286357105013991,1.4004757237465022,1.4004757237465022,TP,2.500000000000008
EURAUD,2015-03-12 16:00:00+00:00,2015-03-12 16:00:00+00:00,2015-03-13 16:00:00+00:00,-1,1.37762,1.3876897917665434,1.3524455205836416,1.37927,FRIDAY,-0.1638564171189727
EURAUD,2015-04-10 08:00:00+00:00,2015-04-10 08:00:00+00:00,2015-04-10 16:00:00+00:00,-1,1.38126,1.3900923908636513,1.3591790228408716,1.38109,FRIDAY,0.019247336607307323
EURAUD,2015-04-16 08:00:00+00:00,2015-04-16 08:00:00+00:00,2015-04-16 12:00:00+00:00,-1,1.37267,1.3827206065641566,1.3475434835896087,1.3827206065641566,SL,-1.0000000000000087
EURAUD,2015-04-28 12:00:00+00:00,2015-04-28 12:00:00+00:00,2015-04-29 15:00:00+00:00,-1,1.37639,1.3843582728456276,1.356469317885931,1.3843582728456276,SL,-1.0000000000000075
