year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,7,3.5,4,3,0.5714285714285714,0.3488736326940902,1.8140384762862118,1.360528857214657,-0.9999999999999987,0.014065900089869188,0.012089207533656277,0.13360522921589046,2
2014,18,1.5,5,13,0.2777777777777778,-0.2926136822480129,0.5616902787575372,1.3499352399105287,-0.924363267693606,0.025424056360527025,-0.026296029878356553,-0.028058388685246016,4
2015,13,1.625,8,5,0.6153846153846154,0.7530493986767577,4.09421190223048,1.6191873249896047,-0.6327712834237974,0.010690911083179433,0.04973273584364368,0.08808281918281402,2
2016,23,1.9166666666666667,6,17,0.2608695652173913,-0.2926966982312077,0.4995884615248326,1.120158537574577,-0.7913514873391317,0.04191041942347873,-0.033420686225842156,-0.03627668087842395,6
2017,20,1.6666666666666667,7,13,0.35,-0.004133400656224108,0.9910673327462348,1.3102720120782059,-0.7118901613593788,0.02600405520531257,-0.0007228940498807956,-0.0007976651796708367,4
2018,19,1.7272727272727273,6,13,0.3157894736842105,-0.3804838585365444,0.4439082067542818,0.961801114634278,-1.0000000000000009,0.04991380395343281,-0.03577722921554771,-0.03975853610179436,7
2019,9,1.5,4,5,0.4444444444444444,0.08000230480365074,1.177211184655496,1.195771691506767,-0.8126132045588423,0.009974999999999956,0.0034460104643674327,0.00824617749901102,3
2020,17,1.4166666666666667,9,8,0.5294117647058824,0.7248258950569617,2.997629113823593,2.054485836762329,-0.7710415393615759,0.019122309994182407,0.06291701567146113,0.06795093683101228,3
2021,13,1.0833333333333333,6,7,0.46153846153846156,0.003210900336562743,1.0073498022853247,0.9535063216027612,-0.8113280321773217,0.0164957416189897,3.0293067133646545e-05,3.099312785259656e-05,3
2022,22,2.0,10,12,0.45454545454545453,0.3953499075713394,1.8812229348213487,1.856772928654727,-0.8225026099981502,0.03620851262590841,0.04378827806272767,0.053199260200559984,5
2023,20,2.2222222222222223,9,11,0.45,0.06264996523290858,1.13573200665619,1.1649355959881245,-0.8392200962940862,0.019215261533846673,0.0059094805497985625,0.008969803686274203,3
2024,16,1.3333333333333333,5,11,0.3125,-0.19431588152934876,0.6810462004602006,1.32772175025304,-0.8861511687031619,0.030382016066203055,-0.015703694331077322,-0.016617732715630495,5
2025,14,1.4,5,9,0.35714285714285715,0.20334687576357288,1.4973652853154604,1.7141460664414858,-0.6359860079463786,0.017528644412000305,0.014026214491932087,0.019532333143236436,5
2026,15,1.875,6,9,0.4,0.18425387388195125,1.307089789803251,1.9606346847048843,-1.000000000000004,0.024751246878125133,0.01345528367954385,0.022541504767140452,5
