year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,3,1.5,0,3,0.0,-0.8225450625619591,0.0,,-0.8225450625619591,0.009974999999999956,-0.012289852633443621,-0.10935763812976473,3
2014,26,2.6,5,21,0.19230769230769232,-0.3297272515751388,0.5115329478877498,1.795545946840368,-0.8357446797693071,0.053942401722379074,-0.04240476666354642,-0.05105556469453121,11
2015,23,2.090909090909091,9,14,0.391304347826087,0.019521330176731355,1.040179128557271,1.2915236277435724,-0.7981944325448093,0.02475124687812502,0.0018234550322051568,0.002114646882764415,5
2016,19,1.7272727272727273,9,10,0.47368421052631576,0.21615602683299887,1.4698681786401566,1.4275153751680165,-0.8740673866685172,0.013638471575826316,0.020320885952587187,0.02539489886205426,4
2017,12,1.3333333333333333,4,8,0.3333333333333333,-0.09144099822921092,0.8628385026561839,1.72567700531237,-1.0000000000000013,0.02528945955032702,-0.0057655505295542975,-0.007908268715726696,3
2018,13,1.1818181818181819,4,9,0.3076923076923077,-0.05364784615514361,0.9157803529206298,1.8958918359873578,-0.9201099271073665,0.019850499375000052,-0.003813669147248344,-0.004477423935917546,4
2019,19,1.4615384615384615,5,14,0.2631578947368421,-0.16947020298379176,0.7523127802544576,1.9560132286615857,-0.9285714285714267,0.03447935319051565,-0.01638733773259282,-0.01671641496830123,5
2020,13,1.0833333333333333,4,9,0.3076923076923077,-0.028708408003620015,0.947075609427431,1.6696339119375538,-0.7835272168663641,0.014925124999999984,-0.0021195138946238368,-0.0023175917382184386,3
2021,24,2.1818181818181817,5,19,0.20833333333333334,-0.34328252479412696,0.4341411304119355,1.2641998607740117,-0.7663042052067951,0.06407468214031486,-0.04067681286254843,-0.04465833331123703,13
2022,14,1.1666666666666667,3,11,0.21428571428571427,-0.5330348091187155,0.2194029080129033,0.6991619780573267,-0.8690884783485454,0.03983696165035411,-0.03676192299691139,-0.03759529220776259,8
2023,13,1.1818181818181819,5,8,0.38461538461538464,-0.10952848810363475,0.8220162068315935,1.315225930930549,-0.9999999999999996,0.014925124999999873,-0.007336398715127701,-0.009014668656530556,3
2024,18,1.5,3,15,0.16666666666666666,-0.5783250034367288,0.17611638919235353,0.7417492717333234,-0.8423398584707391,0.048496480547755905,-0.05089107315252628,-0.056171687942363824,6
2025,16,1.4545454545454546,6,10,0.375,-0.04383144916860944,0.9226131175433363,1.393499558930684,-0.9062300540281856,0.027574062460267612,-0.003830127542386874,-0.004854981955877524,3
2026,7,1.0,3,4,0.42857142857142855,0.14835756049172896,1.2912816953991586,1.5345967344104918,-0.8913218199473432,0.009974999999999845,0.005058581422342945,0.011030567580295081,2
