pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
EURUSD,2013-10-17 12:00:00+00:00,2013-10-17 12:00:00+00:00,2013-10-18 16:00:00+00:00,1,1.36415,1.3589403551748398,1.3771741120629004,1.3693,FRIDAY,0.9885510764818173
EURUSD,2013-10-25 08:00:00+00:00,2013-10-25 08:00:00+00:00,2013-10-25 10:00:00+00:00,1,1.38267,1.3789509299518028,1.3919676751204932,1.3789509299518028,SL,-1.0000000000000002
EURUSD,2014-02-14 08:00:00+00:00,2014-02-14 08:00:00+00:00,2014-02-14 16:00:00+00:00,1,1.37076,1.36697414057644,1.3802246485589003,1.36864,FRIDAY,-0.5599785313756586
EURUSD,2014-02-18 12:00:00+00:00,2014-02-18 12:00:00+00:00,2014-02-20 08:00:00+00:00,1,1.37265,1.3703301140462505,1.3784497148843737,1.3703301140462505,SL,-0.9999999999999533
EURUSD,2014-03-07 12:00:00+00:00,2014-03-07 12:00:00+00:00,2014-03-07 13:00:00+00:00,1,1.39036,1.3861152495450764,1.4009718761373093,1.3861152495450764,SL,-0.9999999999999845
EURUSD,2014-03-12 16:00:00+00:00,2014-03-12 16:00:00+00:00,2014-03-13 16:00:00+00:00,1,1.39038,1.3875369798416666,1.397487550395833,1.39038,BE,0.0
EURUSD,2014-04-11 08:00:00+00:00,2014-04-11 08:00:00+00:00,2014-04-11 12:00:00+00:00,1,1.38994,1.3869778246640319,1.3973454383399202,1.3869778246640319,SL,-1.0000000000000102
EURUSD,2014-05-01 08:00:00+00:00,2014-05-01 08:00:00+00:00,2014-05-02 05:00:00+00:00,1,1.38853,1.385627848091655,1.3957853797708628,1.385627848091655,SL,-0.9999999999999694
EURUSD,2014-05-05 16:00:00+00:00,2014-05-05 16:00:00+00:00,2014-05-06 07:00:00+00:00,1,1.38836,1.3868961819673007,1.3920195450817483,1.3920195450817483,TP,2.5000000000000573
EURUSD,2014-07-29 16:00:00+00:00,2014-07-29 16:00:00+00:00,2014-08-01 12:00:00+00:00,-1,1.34092,1.3430696085279912,1.3355459786800215,1.3430696085279912,SL,-0.9999999999999639
EURUSD,2014-08-05 16:00:00+00:00,2014-08-05 16:00:00+00:00,2014-08-07 01:00:00+00:00,-1,1.33654,1.3391568760608628,1.3299978098478435,1.3391568760608628,SL,-1.0000000000000413
EURUSD,2014-08-20 08:00:00+00:00,2014-08-20 08:00:00+00:00,2014-08-22 06:00:00+00:00,-1,1.32934,1.332069910794725,1.3225152230131876,1.32934,BE,-0.0
EURUSD,2014-08-25 08:00:00+00:00,2014-08-25 08:00:00+00:00,2014-08-29 16:00:00+00:00,-1,1.31876,1.3225384669091333,1.3093138327271665,1.31496,FRIDAY,1.0056988962413784
EURUSD,2014-09-22 16:00:00+00:00,2014-09-22 16:00:00+00:00,2014-09-23 08:00:00+00:00,-1,1.28284,1.2877121090268469,1.2706597274328826,1.2877121090268469,SL,-0.9999999999999787
EURUSD,2014-09-25 08:00:00+00:00,2014-09-25 08:00:00+00:00,2014-09-25 14:00:00+00:00,-1,1.27161,1.27598330989223,1.2606767252694244,1.27598330989223,SL,-0.999999999999977
EURUSD,2014-10-22 12:00:00+00:00,2014-10-22 12:00:00+00:00,2014-10-24 16:00:00+00:00,-1,1.27011,1.2763093285065679,1.2546116787335806,1.26745,FRIDAY,0.4290787296046661
EURUSD,2014-10-30 08:00:00+00:00,2014-10-30 08:00:00+00:00,2014-10-31 16:00:00+00:00,-1,1.25892,1.2639219823469021,1.2464150441327448,1.25298,FRIDAY,1.1875291810413713
EURUSD,2014-12-01 08:00:00+00:00,2014-12-01 08:00:00+00:00,2014-12-01 08:00:00+00:00,-1,1.24221,1.2469796057391584,1.2302859856521038,1.2469796057391584,SL,-0.9999999999999897
EURUSD,2014-12-02 16:00:00+00:00,2014-12-02 16:00:00+00:00,2014-12-04 13:00:00+00:00,-1,1.24014,1.2449215414142796,1.2281861464643014,1.24014,BE,-0.0
EURUSD,2014-12-08 08:00:00+00:00,2014-12-08 08:00:00+00:00,2014-12-08 18:00:00+00:00,-1,1.22692,1.2326942605028017,1.212484348742996,1.2326942605028017,SL,-1.000000000000015
EURUSD,2014-12-18 08:00:00+00:00,2014-12-18 08:00:00+00:00,2014-12-19 16:00:00+00:00,-1,1.23178,1.2396648904800502,1.212067773799875,1.22622,FRIDAY,0.7051461290512074
EURUSD,2014-12-23 16:00:00+00:00,2014-12-23 16:00:00+00:00,2014-12-25 07:00:00+00:00,-1,1.2176,1.222970136711806,1.204174658220485,1.222970136711806,SL,-0.9999999999999974
EURUSD,2014-12-31 16:00:00+00:00,2014-12-31 16:00:00+00:00,2015-01-02 16:00:00+00:00,-1,1.21004,1.2142185877192824,1.1995935307017942,1.20317,FRIDAY,1.6440961543772115
EURUSD,2015-01-07 12:00:00+00:00,2015-01-07 12:00:00+00:00,2015-01-09 16:00:00+00:00,-1,1.18205,1.1881565662371654,1.1667835844070866,1.18324,FRIDAY,-0.194872200477827
EURUSD,2015-02-20 12:00:00+00:00,2015-02-20 12:00:00+00:00,2015-02-20 16:00:00+00:00,-1,1.1321,1.137817737975162,1.1178056550620952,1.13701,FRIDAY,-0.8587312012773574
EURUSD,2015-03-03 12:00:00+00:00,2015-03-03 12:00:00+00:00,2015-03-03 16:00:00+00:00,-1,1.11583,1.1211946942519821,1.1024182643700449,1.1211946942519821,SL,-0.999999999999988
EURUSD,2015-03-04 12:00:00+00:00,2015-03-04 12:00:00+00:00,2015-03-05 17:00:00+00:00,-1,1.11277,1.1178907264641162,1.0999681838397095,1.0999681838397095,TP,2.5000000000000036
EURUSD,2015-03-10 12:00:00+00:00,2015-03-10 12:00:00+00:00,2015-03-11 10:00:00+00:00,-1,1.07326,1.0797029498386683,1.0571526254033297,1.0571526254033297,TP,2.500000000000009
EURUSD,2015-03-27 08:00:00+00:00,2015-03-27 08:00:00+00:00,2015-03-27 12:00:00+00:00,-1,1.08095,1.0896589338943232,1.059177665264192,1.0896589338943232,SL,-0.9999999999999882
EURUSD,2015-03-31 08:00:00+00:00,2015-03-31 08:00:00+00:00,2015-04-02 07:00:00+00:00,-1,1.07511,1.0828605960850892,1.0557335097872769,1.0828605960850892,SL,-0.9999999999999953
EURUSD,2015-04-09 08:00:00+00:00,2015-04-09 08:00:00+00:00,2015-04-10 12:00:00+00:00,-1,1.07443,1.0813431763457646,1.0571470591355885,1.0571470591355885,TP,2.500000000000003
EURUSD,2015-04-13 08:00:00+00:00,2015-04-13 08:00:00+00:00,2015-04-14 12:00:00+00:00,-1,1.05649,1.0636206281064127,1.038663429733968,1.0636206281064127,SL,-0.999999999999998
EURUSD,2015-05-26 08:00:00+00:00,2015-05-26 08:00:00+00:00,2015-05-28 21:00:00+00:00,-1,1.08996,1.096827043155602,1.0727923921109954,1.096827043155602,SL,-1.000000000000011
