year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,2,2.0,1,1,0.5,-0.00572446175909147,0.9885510764818171,0.9885510764818173,-1.0000000000000002,0.0050000000000000044,-8.195839450297893e-05,-0.004267515364595242,1
2014,21,1.75,6,15,0.2857142857142857,-0.19468711624093557,0.6463289763070901,1.2452581817193151,-0.770665235425036,0.025778738499918075,-0.02052030943679195,-0.023244261700656965,3
2015,18,1.5,4,14,0.2222222222222222,-0.22065580850235433,0.6957311762276817,2.2704497121781957,-0.9324002429825112,0.03655029646972774,-0.020078483786003187,-0.022199255479288138,6
2016,13,1.0833333333333333,5,8,0.38461538461538464,-0.24877207108828553,0.5957453844815345,0.9531926151704514,-0.9999999999999961,0.01985049937499983,-0.01621608974093891,-0.016541757110705158,5
2017,17,1.4166666666666667,5,12,0.29411764705882354,-0.1370242022800884,0.7846726632804752,1.6977180003018684,-0.9015001200225705,0.03508321665726588,-0.011926795758433806,-0.012372956016191372,5
2018,23,2.090909090909091,6,17,0.2608695652173913,-0.33875901393066515,0.49388459866241713,1.2671947812408835,-0.9055662357559174,0.058241010350260636,-0.038561962677285955,-0.04259214913173881,10
2019,25,2.272727272727273,8,17,0.32,-0.22064140494138523,0.6578413402318251,1.3256554506359728,-0.9483105134483774,0.03956351226473798,-0.027675496630427676,-0.032424073621834304,4
2020,28,2.3333333333333335,10,18,0.35714285714285715,-0.1530292435863316,0.7006848617902288,1.0030590837928575,-0.79530053657477,0.040479121588374745,-0.02158776248726324,-0.023038319050264544,6
2021,24,2.0,6,18,0.25,-0.22441522364526056,0.6673054212886348,1.8004921623697994,-0.8993843523169472,0.022153155290730142,-0.02704238951427662,-0.028771123657695408,4
2022,22,2.0,10,12,0.45454545454545453,0.29126779631736077,1.6961489955766587,1.5612661704240813,-0.7670641821049062,0.014925125000000206,0.03200685828954408,0.03857856240134261,3
2023,15,1.25,10,5,0.6666666666666666,0.8316490288125155,4.78921230804062,1.5766906579662536,-0.6584342294949606,0.0050000000000002265,0.06388915958521113,0.06637220975640057,1
2024,10,1.0,3,7,0.3,0.0056301554365007665,1.0106872762067054,1.7747978539087619,-0.7525845724801826,0.01624557850319952,6.162736071435582e-05,7.95392052379551e-05,3
2025,16,1.3333333333333333,6,10,0.375,-0.08534565259289278,0.847635723071292,1.2661239743734614,-0.8962274287727052,0.014925124999999984,-0.00709407947280194,-0.007465786928108287,4
2026,7,1.0,3,4,0.42857142857142855,0.007602280764409576,1.0177386551169558,1.0177386551169578,-0.7500000000000014,0.014925125000000095,0.00014821814772481012,0.00030416235379870926,3
