pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
GBPAUD,2013-11-14 12:00:00+00:00,2013-11-14 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,1.72385,1.7160629085775103,1.7433177285562245,1.71867,FRIDAY,-0.6652034397644159
GBPAUD,2013-11-21 12:00:00+00:00,2013-11-21 12:00:00+00:00,2013-11-22 03:00:00+00:00,1,1.7405,1.7330323052668728,1.7591692368328178,1.7591692368328178,TP,2.5000000000000053
GBPAUD,2013-11-22 08:00:00+00:00,2013-11-22 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,1.76396,1.7550412708236394,1.7862568229409015,1.76677,FRIDAY,0.3150673088547158
GBPAUD,2013-11-27 08:00:00+00:00,2013-11-27 08:00:00+00:00,2013-11-28 14:00:00+00:00,1,1.78082,1.7732483164987705,1.7997492087530742,1.7997492087530742,TP,2.4999999999999902
GBPAUD,2013-12-04 08:00:00+00:00,2013-12-04 08:00:00+00:00,2013-12-05 16:00:00+00:00,1,1.81288,1.8037563928494047,1.8356890178764882,1.8037563928494047,SL,-1.0000000000000107
GBPAUD,2013-12-10 08:00:00+00:00,2013-12-10 08:00:00+00:00,2013-12-10 09:00:00+00:00,1,1.81033,1.804111702717856,1.8258757432053603,1.804111702717856,SL,-0.9999999999999869
GBPAUD,2014-01-08 16:00:00+00:00,2014-01-08 16:00:00+00:00,2014-01-10 13:00:00+00:00,1,1.84457,1.8368010572385016,1.863992356903746,1.8368010572385016,SL,-1.0000000000000102
GBPAUD,2014-01-23 08:00:00+00:00,2014-01-23 08:00:00+00:00,2014-01-24 05:00:00+00:00,1,1.88765,1.877681539269936,1.9125711518251605,1.9125711518251605,TP,2.500000000000006
GBPAUD,2014-02-27 08:00:00+00:00,2014-02-27 08:00:00+00:00,2014-02-27 16:00:00+00:00,1,1.86902,1.8600825361833568,1.8913636595416077,1.8600825361833568,SL,-0.9999999999999936
GBPAUD,2014-07-03 08:00:00+00:00,2014-07-03 08:00:00+00:00,2014-07-04 16:00:00+00:00,1,1.83058,1.8236548365877663,1.8478929085305846,1.83381,FRIDAY,0.4664149865826699
GBPAUD,2014-09-18 08:00:00+00:00,2014-09-18 08:00:00+00:00,2014-09-19 01:00:00+00:00,1,1.81872,1.8085061458526954,1.8442546353682612,1.8442546353682612,TP,2.5000000000000067
GBPAUD,2014-09-23 16:00:00+00:00,2014-09-23 16:00:00+00:00,2014-09-24 21:00:00+00:00,1,1.84922,1.8377314567417447,1.8779413581456383,1.8377314567417447,SL,-1.0000000000000095
GBPAUD,2014-12-03 16:00:00+00:00,2014-12-03 16:00:00+00:00,2014-12-05 16:00:00+00:00,1,1.86502,1.8534061765573078,1.8940545586067303,1.87146,FRIDAY,0.5545116155569141
GBPAUD,2014-12-08 08:00:00+00:00,2014-12-08 08:00:00+00:00,2014-12-09 15:00:00+00:00,1,1.88037,1.8699828863110104,1.9063377842224742,1.88037,BE,0.0
GBPAUD,2015-01-27 16:00:00+00:00,2015-01-27 16:00:00+00:00,2015-01-28 00:00:00+00:00,1,1.91224,1.8978797325360737,1.9481406686598155,1.8978797325360737,SL,-1.0000000000000027
GBPAUD,2015-01-29 08:00:00+00:00,2015-01-29 08:00:00+00:00,2015-01-30 16:00:00+00:00,1,1.92256,1.9066696008501374,1.9622859978746565,1.92754,FRIDAY,0.3133967846265866
GBPAUD,2015-02-03 08:00:00+00:00,2015-02-03 08:00:00+00:00,2015-02-03 18:00:00+00:00,1,1.96468,1.9455697016270739,2.012455745932315,1.9455697016270739,SL,-0.9999999999999986
GBPAUD,2015-02-24 12:00:00+00:00,2015-02-24 12:00:00+00:00,2015-02-24 15:00:00+00:00,1,1.99171,1.9806378961813182,2.0193902595467046,1.9806378961813182,SL,-1.000000000000009
GBPAUD,2015-05-01 08:00:00+00:00,2015-05-01 08:00:00+00:00,2015-05-01 08:00:00+00:00,1,1.95174,1.9389991907980602,1.9835920230048496,1.9389991907980602,SL,-1.0000000000000058
GBPAUD,2015-05-20 16:00:00+00:00,2015-05-20 16:00:00+00:00,2015-05-22 16:00:00+00:00,1,1.97334,1.9607249758073364,2.0048775604816593,1.97813,FRIDAY,0.379705970186364
GBPAUD,2015-05-27 08:00:00+00:00,2015-05-27 08:00:00+00:00,2015-05-28 01:00:00+00:00,1,1.99156,1.9813298068797551,2.0171354828006125,1.9813298068797551,SL,-0.9999999999999954
GBPAUD,2015-06-17 08:00:00+00:00,2015-06-17 08:00:00+00:00,2015-06-18 12:00:00+00:00,1,2.02918,2.01771680499344,2.0578379875164012,2.02918,BE,0.0
GBPAUD,2015-06-26 12:00:00+00:00,2015-06-26 12:00:00+00:00,2015-06-26 16:00:00+00:00,1,2.05384,2.042618634396723,2.081893414008192,2.05751,FRIDAY,0.3270546678319021
GBPAUD,2015-07-03 08:00:00+00:00,2015-07-03 08:00:00+00:00,2015-07-03 16:00:00+00:00,1,2.06549,2.0528672400053454,2.097046899986637,2.07207,FRIDAY,0.5212806076314851
GBPAUD,2015-07-07 08:00:00+00:00,2015-07-07 08:00:00+00:00,2015-07-07 15:00:00+00:00,1,2.08974,2.0758956383708274,2.1243509040729314,2.0758956383708274,SL,-0.9999999999999994
GBPAUD,2015-07-27 16:00:00+00:00,2015-07-27 16:00:00+00:00,2015-07-31 16:00:00+00:00,1,2.13527,2.120972813781934,2.1710129655451644,2.13228,FRIDAY,-0.20913205958116854
GBPAUD,2015-08-11 16:00:00+00:00,2015-08-11 16:00:00+00:00,2015-08-12 10:00:00+00:00,1,2.13701,2.1216536733036144,2.175400816740964,2.1216536733036144,SL,-1.0000000000000109
GBPAUD,2015-08-20 08:00:00+00:00,2015-08-20 08:00:00+00:00,2015-08-20 14:00:00+00:00,1,2.14637,2.133261956333775,2.1791401091655627,2.133261956333775,SL,-1.0000000000000127
GBPAUD,2015-09-07 16:00:00+00:00,2015-09-07 16:00:00+00:00,2015-09-08 15:00:00+00:00,1,2.20713,2.1889541036128697,2.252569740967825,2.1889541036128697,SL,-1.0000000000000044
GBPAUD,2015-09-21 16:00:00+00:00,2015-09-21 16:00:00+00:00,2015-09-25 15:00:00+00:00,1,2.1767,2.160266504195875,2.217783739510312,2.160266504195875,SL,-1.0000000000000075
GBPAUD,2016-02-15 12:00:00+00:00,2016-02-15 12:00:00+00:00,2016-02-19 16:00:00+00:00,-1,2.01998,2.0385588148676823,1.9735329628307934,2.01223,FRIDAY,0.417141785156632
GBPAUD,2016-02-22 08:00:00+00:00,2016-02-22 08:00:00+00:00,2016-02-23 19:00:00+00:00,-1,1.98129,1.99724690423159,1.9413977394210253,1.9413977394210253,TP,2.499999999999999
GBPAUD,2016-02-24 12:00:00+00:00,2016-02-24 12:00:00+00:00,2016-02-26 16:00:00+00:00,-1,1.93841,1.9546472113280962,1.8978169716797593,1.93613,FRIDAY,0.14041820075685252
GBPAUD,2016-03-03 12:00:00+00:00,2016-03-03 12:00:00+00:00,2016-03-04 16:00:00+00:00,-1,1.91653,1.9321826543300893,1.877398364174777,1.91847,FRIDAY,-0.1239406402957834
GBPAUD,2016-03-07 16:00:00+00:00,2016-03-07 16:00:00+00:00,2016-03-08 01:00:00+00:00,-1,1.90241,1.9161806854455592,1.867983286386102,1.9161806854455592,SL,-1.0000000000000053
GBPAUD,2016-03-09 12:00:00+00:00,2016-03-09 12:00:00+00:00,2016-03-10 15:00:00+00:00,-1,1.90015,1.9129593787320915,1.868126553169771,1.9129593787320915,SL,-0.9999999999999989
GBPAUD,2016-03-17 08:00:00+00:00,2016-03-17 08:00:00+00:00,2016-03-17 11:00:00+00:00,-1,1.86946,1.8833622642766836,1.8347043393082907,1.8833622642766836,SL,-1.000000000000002
GBPAUD,2016-03-31 12:00:00+00:00,2016-03-31 12:00:00+00:00,2016-04-01 16:00:00+00:00,-1,1.87062,1.881000739173645,1.8446681520658872,1.85191,FRIDAY,1.8023764673233937
