year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,6,3.0,3,3,0.5,0.44164397818171636,1.9942445028978835,1.7716891029515704,-0.8884011465881377,0.009974999999999845,0.013148179710329888,0.2102694464338637,2
2014,8,0.6666666666666666,4,4,0.5,0.3776158252674479,2.006975534046523,1.505231650534899,-0.7500000000000033,0.0050000000000000044,0.015017136925001617,0.016433668408370128,1
2015,16,1.7777777777777777,4,12,0.25,-0.5417308768315549,0.150986197580793,0.38535950756908444,-0.8507610049651012,0.03923496831453521,-0.04254081763119588,-0.06401818998774234,6
2016,25,2.5,12,13,0.48,0.03053844425485779,1.0629713662432467,1.0739501455556026,-0.9326108184842911,0.01903647095694383,0.003362756833813041,0.004727239862718502,4
2017,12,1.0,5,7,0.4166666666666667,0.05342961155139186,1.1237158933447486,1.1647273840536116,-0.7403545116644793,0.019712866081103675,0.0030286565488339967,0.0033425679318268564,2
2018,19,1.5833333333333333,5,14,0.2631578947368421,-0.2959464140619284,0.4980417401449525,1.1158217317674477,-0.8001493232867057,0.04507622518367116,-0.0279681464448287,-0.031568192748535284,11
2019,13,1.0833333333333333,6,7,0.46153846153846156,0.2839291109198808,1.710440417864691,1.4810929469193004,-0.7422113199367644,0.010342949110615507,0.01833039025716454,0.020433251186508405,3
2020,26,2.1666666666666665,7,19,0.2692307692307692,-0.009431175641309054,0.9834305401213865,2.079105274698567,-0.7788919731349478,0.03202258783030831,-0.0018158372857079996,-0.0018525764433640068,9
2021,13,1.1818181818181819,7,6,0.5384615384615384,0.2883836883966611,1.8456260093589956,1.1689108071008145,-0.7388979500915177,0.01852553190758599,0.018667235101704094,0.02100321973582231,4
2022,19,1.5833333333333333,8,11,0.42105263157894735,0.17872708940193663,1.4526539139575576,1.362228228051916,-0.682001011434412,0.014054782299282143,0.016794674128177034,0.018053119229174852,3
2023,21,2.1,10,11,0.47619047619047616,-0.05784852600885487,0.8793502614888584,0.8854154672093332,-0.9153612471162986,0.02932675977849275,-0.006401736604288,-0.008196924951353601,4
2024,18,1.5,8,10,0.4444444444444444,0.3369951031134252,1.7947314862097277,1.7123209520318845,-0.7632655760213424,0.017061144126633843,0.030320092732802006,0.03203371859948678,4
2025,21,1.75,3,18,0.14285714285714285,-0.5252648980850881,0.2580864095047542,1.2790520799951677,-0.8259843944317973,0.06714140737519436,-0.053909926094556804,-0.05949385395574691,14
2026,15,1.875,6,9,0.4,0.29064508947108875,1.6663136010942334,1.8171093344094613,-0.7269977404878263,0.019458943119686767,0.021668430347953294,0.035411992631082745,3
