pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
GBPJPY,2013-10-10 16:00:00+00:00,2013-10-10 16:00:00+00:00,2013-10-11 16:00:00+00:00,1,156.706,155.98180476307758,158.51648809230605,156.919,FRIDAY,0.29411958148910017
GBPJPY,2013-10-17 16:00:00+00:00,2013-10-17 16:00:00+00:00,2013-10-18 16:00:00+00:00,1,158.191,157.49763007988517,159.9244248002871,158.224,FRIDAY,0.04759364235835513
GBPJPY,2013-10-28 08:00:00+00:00,2013-10-28 08:00:00+00:00,2013-10-28 15:00:00+00:00,1,158.043,157.7264556630387,158.83436084240324,157.7264556630387,SL,-1.0000000000000184
GBPJPY,2013-11-05 16:00:00+00:00,2013-11-05 16:00:00+00:00,2013-11-07 18:00:00+00:00,1,158.112,157.56461612993877,159.48045967515307,157.56461612993877,SL,-0.9999999999999971
GBPJPY,2013-11-14 08:00:00+00:00,2013-11-14 08:00:00+00:00,2013-11-15 15:00:00+00:00,1,159.975,159.30819157058585,161.64202107353535,161.64202107353535,TP,2.499999999999993
GBPJPY,2013-11-21 12:00:00+00:00,2013-11-21 12:00:00+00:00,2013-11-22 16:00:00+00:00,1,162.576,161.8800429272605,164.31589268184874,163.87,FRIDAY,1.8593100791496162
GBPJPY,2013-11-27 16:00:00+00:00,2013-11-27 16:00:00+00:00,2013-11-29 16:00:00+00:00,1,166.205,165.52246887598864,167.91132781002844,167.687,FRIDAY,2.171329552401921
GBPJPY,2013-12-09 12:00:00+00:00,2013-12-09 12:00:00+00:00,2013-12-10 02:00:00+00:00,1,168.815,168.37269619684034,169.92075950789916,169.92075950789916,TP,2.4999999999999765
GBPJPY,2013-12-24 16:00:00+00:00,2013-12-24 16:00:00+00:00,2013-12-26 13:00:00+00:00,1,170.771,170.29770755720304,171.95423110699238,171.95423110699238,TP,2.5000000000000013
GBPJPY,2013-12-26 16:00:00+00:00,2013-12-26 16:00:00+00:00,2013-12-27 11:00:00+00:00,1,172.0,171.52077983204563,173.19805041988587,173.19805041988587,TP,2.4999999999999827
GBPJPY,2013-12-31 16:00:00+00:00,2013-12-31 16:00:00+00:00,2014-01-02 13:00:00+00:00,1,174.061,173.48561966976212,175.4994508255947,173.48561966976212,SL,-1.000000000000022
GBPJPY,2014-01-08 08:00:00+00:00,2014-01-08 08:00:00+00:00,2014-01-10 13:00:00+00:00,1,172.486,171.71905875008076,174.40335312479803,171.71905875008076,SL,-1.000000000000008
GBPJPY,2014-01-21 08:00:00+00:00,2014-01-21 08:00:00+00:00,2014-01-21 16:00:00+00:00,1,172.01,171.44115131881708,173.4321217029573,171.44115131881708,SL,-0.9999999999999875
GBPJPY,2014-01-22 16:00:00+00:00,2014-01-22 16:00:00+00:00,2014-01-23 14:00:00+00:00,1,172.872,172.0775463625611,174.8581340935973,172.0775463625611,SL,-1.0000000000000013
GBPJPY,2014-01-28 12:00:00+00:00,2014-01-28 12:00:00+00:00,2014-01-29 11:00:00+00:00,1,170.871,169.99028953959817,173.07277615100463,169.99028953959817,SL,-0.9999999999999992
GBPJPY,2014-02-18 08:00:00+00:00,2014-02-18 08:00:00+00:00,2014-02-18 08:00:00+00:00,1,171.388,170.7604557953982,172.95686051150454,170.7604557953982,SL,-0.9999999999999812
GBPJPY,2014-03-05 12:00:00+00:00,2014-03-05 12:00:00+00:00,2014-03-06 17:00:00+00:00,1,170.998,170.30958874717393,172.71902813206515,172.71902813206515,TP,2.500000000000016
GBPJPY,2014-04-16 08:00:00+00:00,2014-04-16 08:00:00+00:00,2014-04-18 16:00:00+00:00,1,171.351,170.72838357544327,172.90754106139184,171.929,FRIDAY,0.9283404311274085
GBPJPY,2014-04-21 12:00:00+00:00,2014-04-21 12:00:00+00:00,2014-04-22 06:00:00+00:00,1,172.457,172.18019549071388,173.14901127321525,172.18019549071388,SL,-1.000000000000028
