year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,11,2.75,8,3,0.7272727272727273,1.033850259581719,4.790784285132923,1.7965441069248684,-1.0000000000000124,0.009975000000000067,0.058033136581117084,0.28177425643882015,2
2014,21,1.75,9,12,0.42857142857142855,0.15406128397076824,1.2906804937383218,1.5961479911370633,-0.9275037464039532,0.01985049937499972,0.01575644751705596,0.016354376611831478,5
2015,16,1.4545454545454546,6,10,0.375,0.04170763402549843,1.0807683253159754,1.4882497431936146,-0.8262176314753711,0.01981660663582452,0.0029975997807256682,0.003465597661339803,4
2016,27,2.7,13,14,0.48148148148148145,0.28744055608700086,1.5777780633188927,1.6302466669298947,-0.9594508325528294,0.023866613944701576,0.038812479468890215,0.048954597793588794,4
2017,17,1.7,5,12,0.29411764705882354,-0.3563771869597747,0.42024851675715136,0.878320730668778,-0.8708346526383384,0.027514645503169732,-0.03005566662446235,-0.03770587161188754,4
2018,16,1.3333333333333333,6,10,0.375,0.21957557621410495,1.5386209573719225,1.6726349203019903,-0.6522600302386262,0.010884791694452667,0.01737062005308787,0.017825962833459608,3
2019,17,1.3076923076923077,9,8,0.5294117647058824,0.40578196811637035,2.356347671345009,1.3315807238454962,-0.6357416320788966,0.005427516956740153,0.03472900744906382,0.034850323616134826,2
2020,19,1.4615384615384615,5,14,0.2631578947368421,-0.21382333214112498,0.6075409323579767,1.2578239660196189,-0.7394116529128192,0.024735047075667982,-0.020387916835453712,-0.020625448390577006,5
2021,19,1.5833333333333333,8,11,0.42105263157894735,0.3225919132779492,1.9470107517866908,1.5751812381387484,-0.5883821411662683,0.011256159509372532,0.030724656633638103,0.03144572990711447,4
2022,21,1.75,10,11,0.47619047619047616,0.3083586161542587,1.7607101410239399,1.4988012356304758,-0.7738619470059387,0.024751246878125133,0.032411581657433075,0.03455000422866994,5
2023,20,2.0,12,8,0.6,0.5360008150418887,2.4054003340258747,1.528978977644296,-0.9534664288617221,0.014925124999999761,0.05447648934949978,0.06764395743721852,3
2024,32,2.6666666666666665,11,21,0.34375,-0.20102759104330348,0.6614272150849618,1.1424651896922045,-0.9047619047619029,0.04246775288793703,-0.03214404235287438,-0.03333361980807581,6
2025,19,1.7272727272727273,5,14,0.2631578947368421,-0.2532193000057963,0.5123041631284964,1.0107860447539645,-0.7046497802771394,0.032686815247806256,-0.023986162022768376,-0.02865591893692976,7
2026,14,1.75,2,12,0.14285714285714285,-0.30113310758639905,0.4730170617238006,1.8920682468951993,-0.6666666666666655,0.03447935319051576,-0.021052884584654596,-0.03395100799201223,5
