pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
GBPUSD,2013-10-16 12:00:00+00:00,2013-10-16 12:00:00+00:00,2013-10-16 13:00:00+00:00,1,1.60354,1.5990555270851323,1.614751182287169,1.5990555270851323,SL,-1.0000000000000082
GBPUSD,2013-10-17 12:00:00+00:00,2013-10-17 12:00:00+00:00,2013-10-18 16:00:00+00:00,1,1.60897,1.6024429739275117,1.6252875651812206,1.61822,FRIDAY,1.4171844722651168
GBPUSD,2013-11-14 16:00:00+00:00,2013-11-14 16:00:00+00:00,2013-11-15 16:00:00+00:00,1,1.60914,1.6029264977555633,1.6246737556110922,1.60913,FRIDAY,-0.0016093983081793982
GBPUSD,2013-11-20 16:00:00+00:00,2013-11-20 16:00:00+00:00,2013-11-20 18:00:00+00:00,1,1.61717,1.612588099871276,1.6286247503218099,1.612588099871276,SL,-0.9999999999999936
GBPUSD,2013-11-22 08:00:00+00:00,2013-11-22 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,1.62043,1.6155615799508072,1.6326010501229822,1.61863,FRIDAY,-0.36972980593538907
GBPUSD,2013-11-28 12:00:00+00:00,2013-11-28 12:00:00+00:00,2013-11-29 16:00:00+00:00,1,1.63441,1.629477329470484,1.6467416763237896,1.63822,FRIDAY,0.7724010710226767
GBPUSD,2013-12-18 16:00:00+00:00,2013-12-18 16:00:00+00:00,2013-12-19 13:00:00+00:00,1,1.63913,1.6340938147524104,1.6517204631189741,1.6340938147524104,SL,-0.9999999999999779
GBPUSD,2013-12-24 16:00:00+00:00,2013-12-24 16:00:00+00:00,2013-12-25 03:00:00+00:00,1,1.63765,1.6340211911680242,1.6467220220799395,1.6340211911680242,SL,-1.000000000000002
GBPUSD,2013-12-27 08:00:00+00:00,2013-12-27 08:00:00+00:00,2013-12-27 11:00:00+00:00,1,1.64755,1.6438897956597518,1.656700510850621,1.656700510850621,TP,2.500000000000024
GBPUSD,2013-12-31 16:00:00+00:00,2013-12-31 16:00:00+00:00,2014-01-02 12:00:00+00:00,1,1.65606,1.6520091139823947,1.6661872150440133,1.6520091139823947,SL,-1.000000000000025
GBPUSD,2014-01-09 08:00:00+00:00,2014-01-09 08:00:00+00:00,2014-01-10 09:00:00+00:00,1,1.6476,1.6431636604579491,1.6586908488551269,1.6431636604579491,SL,-1.000000000000013
GBPUSD,2014-01-22 16:00:00+00:00,2014-01-22 16:00:00+00:00,2014-01-24 12:00:00+00:00,1,1.65831,1.6533627713135222,1.6706780717161944,1.6533627713135222,SL,-1.0000000000000004
GBPUSD,2014-02-13 12:00:00+00:00,2014-02-13 12:00:00+00:00,2014-02-14 16:00:00+00:00,1,1.66288,1.6578422992965511,1.675474251758622,1.67329,FRIDAY,2.066418910689406
GBPUSD,2014-02-25 12:00:00+00:00,2014-02-25 12:00:00+00:00,2014-02-25 15:00:00+00:00,1,1.66881,1.6644870327078636,1.6796174182303407,1.6644870327078636,SL,-0.9999999999999933
GBPUSD,2014-02-28 08:00:00+00:00,2014-02-28 08:00:00+00:00,2014-02-28 16:00:00+00:00,1,1.67313,1.6680379852652645,1.6858600368368388,1.6757,FRIDAY,0.5047118152405397
