pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
USDCAD,2013-11-22 08:00:00+00:00,2013-11-22 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,1.0547,1.0519259920502646,1.0616350198743385,1.05291,FRIDAY,-0.6452757282727685
USDCAD,2013-12-13 12:00:00+00:00,2013-12-13 12:00:00+00:00,2013-12-13 15:00:00+00:00,1,1.0659,1.0627010116043156,1.073897470989211,1.0627010116043156,SL,-1.000000000000001
USDCAD,2014-01-07 12:00:00+00:00,2014-01-07 12:00:00+00:00,2014-01-07 19:00:00+00:00,1,1.06957,1.0668798768682486,1.0762953078293782,1.0762953078293782,TP,2.4999999999999862
USDCAD,2014-01-08 08:00:00+00:00,2014-01-08 08:00:00+00:00,2014-01-10 13:00:00+00:00,1,1.08151,1.0779531114677712,1.0904022213305717,1.0904022213305717,TP,2.500000000000014
USDCAD,2014-01-23 12:00:00+00:00,2014-01-23 12:00:00+00:00,2014-01-23 13:00:00+00:00,1,1.11594,1.1111681057418037,1.1278697356454905,1.1111681057418037,SL,-1.0000000000000062
USDCAD,2014-01-30 08:00:00+00:00,2014-01-30 08:00:00+00:00,2014-01-31 15:00:00+00:00,1,1.11895,1.1147666513018528,1.1294083717453676,1.1147666513018528,SL,-0.9999999999999967
USDCAD,2014-02-21 08:00:00+00:00,2014-02-21 08:00:00+00:00,2014-02-21 16:00:00+00:00,1,1.11586,1.111883406425472,1.1258014839363206,1.11267,FRIDAY,-0.8021941242457743
USDCAD,2014-02-27 16:00:00+00:00,2014-02-27 16:00:00+00:00,2014-02-28 13:00:00+00:00,1,1.11469,1.1114667271998777,1.1227481820003056,1.1114667271998777,SL,-0.9999999999999911
USDCAD,2014-03-10 08:00:00+00:00,2014-03-10 08:00:00+00:00,2014-03-10 10:00:00+00:00,1,1.11301,1.1108707926609955,1.1183580183475113,1.1108707926609955,SL,-1.0000000000000073
USDCAD,2014-04-23 08:00:00+00:00,2014-04-23 08:00:00+00:00,2014-04-23 11:00:00+00:00,1,1.10444,1.1025780899907165,1.1090947750232087,1.1025780899907165,SL,-1.0000000000000524
USDCAD,2014-07-31 12:00:00+00:00,2014-07-31 12:00:00+00:00,2014-07-31 14:00:00+00:00,1,1.09179,1.089291699750035,1.0980357506249123,1.089291699750035,SL,-1.000000000000044
USDCAD,2014-08-01 12:00:00+00:00,2014-08-01 12:00:00+00:00,2014-08-01 12:00:00+00:00,1,1.09312,1.0904317694866945,1.0998405762832641,1.0904317694866945,SL,-0.9999999999999905
USDCAD,2014-08-05 12:00:00+00:00,2014-08-05 12:00:00+00:00,2014-08-06 16:00:00+00:00,1,1.0947,1.0921722943617282,1.1010192640956793,1.0921722943617282,SL,-1.0000000000000118
USDCAD,2014-08-19 16:00:00+00:00,2014-08-19 16:00:00+00:00,2014-08-22 04:00:00+00:00,1,1.093,1.090464523383453,1.0993386915413677,1.093,BE,0.0
USDCAD,2014-09-02 12:00:00+00:00,2014-09-02 12:00:00+00:00,2014-09-03 14:00:00+00:00,1,1.09133,1.088470513118114,1.0984787172047146,1.088470513118114,SL,-0.9999999999999994
USDCAD,2014-09-11 16:00:00+00:00,2014-09-11 16:00:00+00:00,2014-09-12 16:00:00+00:00,1,1.10331,1.09848451350868,1.1153737162282997,1.10755,FRIDAY,0.8786678830470194
USDCAD,2014-09-24 16:00:00+00:00,2014-09-24 16:00:00+00:00,2014-09-26 16:00:00+00:00,1,1.1089,1.1042907025880129,1.1204232435299677,1.11631,FRIDAY,1.60762028085434
USDCAD,2014-09-30 16:00:00+00:00,2014-09-30 16:00:00+00:00,2014-10-01 20:00:00+00:00,1,1.12076,1.116205658443009,1.1321458538924778,1.116205658443009,SL,-0.9999999999999901
USDCAD,2014-10-10 08:00:00+00:00,2014-10-10 08:00:00+00:00,2014-10-10 12:00:00+00:00,1,1.12129,1.115987699181462,1.1345457520463447,1.115987699181462,SL,-1.0000000000000164
USDCAD,2014-10-14 08:00:00+00:00,2014-10-14 08:00:00+00:00,2014-10-15 08:00:00+00:00,1,1.12364,1.1186473607224943,1.1361215981937645,1.1361215981937645,TP,2.499999999999994
USDCAD,2014-10-15 12:00:00+00:00,2014-10-15 12:00:00+00:00,2014-10-15 13:00:00+00:00,1,1.13727,1.1320450124561419,1.1503324688596452,1.1320450124561419,SL,-1.0000000000000016
USDCAD,2014-11-04 12:00:00+00:00,2014-11-04 12:00:00+00:00,2014-11-07 13:00:00+00:00,1,1.13909,1.1338111619351992,1.1522870951620017,1.1338111619351992,SL,-1.0000000000000149
USDCAD,2014-11-20 08:00:00+00:00,2014-11-20 08:00:00+00:00,2014-11-20 13:00:00+00:00,1,1.13614,1.1321196614253477,1.1461908464366308,1.1321196614253477,SL,-0.9999999999999767
USDCAD,2014-11-28 08:00:00+00:00,2014-11-28 08:00:00+00:00,2014-11-28 16:00:00+00:00,1,1.13747,1.1325426590153727,1.1497883524615682,1.14014,FRIDAY,0.5418744122499389
USDCAD,2014-12-12 12:00:00+00:00,2014-12-12 12:00:00+00:00,2014-12-12 16:00:00+00:00,1,1.15831,1.1534493148333114,1.1704617129167214,1.15449,FRIDAY,-0.7858974340036066
USDCAD,2014-12-15 16:00:00+00:00,2014-12-15 16:00:00+00:00,2014-12-17 19:00:00+00:00,1,1.16231,1.156924696280257,1.1757732592993575,1.156924696280257,SL,-0.999999999999981
USDCAD,2015-01-02 12:00:00+00:00,2015-01-02 12:00:00+00:00,2015-01-02 16:00:00+00:00,1,1.16649,1.1627689971568085,1.1757925071079791,1.17131,FRIDAY,1.2953497224059591
USDCAD,2015-01-12 16:00:00+00:00,2015-01-12 16:00:00+00:00,2015-01-15 12:00:00+00:00,1,1.19322,1.1880102707545286,1.2062443231136786,1.1880102707545286,SL,-0.9999999999999827
USDCAD,2015-01-29 12:00:00+00:00,2015-01-29 12:00:00+00:00,2015-01-30 13:00:00+00:00,1,1.25479,1.2481354429261093,1.271426392684727,1.271426392684727,TP,2.500000000000012
USDCAD,2015-02-11 12:00:00+00:00,2015-02-11 12:00:00+00:00,2015-02-12 09:00:00+00:00,1,1.26289,1.2555690734252432,1.2811923164368921,1.2555690734252432,SL,-1.0000000000000127
USDCAD,2015-02-19 16:00:00+00:00,2015-02-19 16:00:00+00:00,2015-02-20 09:00:00+00:00,1,1.25179,1.2449422520657367,1.268909369835658,1.2449422520657367,SL,-1.0000000000000004
USDCAD,2015-02-23 12:00:00+00:00,2015-02-23 12:00:00+00:00,2015-02-24 19:00:00+00:00,1,1.25876,1.2520052667874324,1.2756468330314195,1.2520052667874324,SL,-1.0
USDCAD,2015-03-10 12:00:00+00:00,2015-03-10 12:00:00+00:00,2015-03-10 12:00:00+00:00,1,1.26631,1.2603035265488736,1.2813261836278163,1.2603035265488736,SL,-0.9999999999999982
USDCAD,2015-03-30 08:00:00+00:00,2015-03-30 08:00:00+00:00,2015-04-01 13:00:00+00:00,1,1.26374,1.256618892342653,1.281542769143368,1.26374,BE,0.0
USDCAD,2015-04-09 08:00:00+00:00,2015-04-09 08:00:00+00:00,2015-04-10 16:00:00+00:00,1,1.25689,1.250266478367891,1.273448804080273,1.25959,FRIDAY,0.40763813420809164
USDCAD,2015-05-26 08:00:00+00:00,2015-05-26 08:00:00+00:00,2015-05-27 10:00:00+00:00,1,1.23405,1.2292500450200583,1.2460498874498547,1.2460498874498547,TP,2.5000000000000084
USDCAD,2015-05-27 12:00:00+00:00,2015-05-27 12:00:00+00:00,2015-05-29 04:00:00+00:00,1,1.24647,1.2412963775139463,1.2594040562151343,1.2412963775139463,SL,-0.9999999999999892
