year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,2,1.0,0,2,0.0,-0.8226378641363847,0.0,,-0.8226378641363847,0.0050000000000000044,-0.008210246748157068,-0.1335831086634005,2
2014,24,2.0,6,18,0.25,-0.25249704092075703,0.6346819668303258,1.754693762691882,-0.92156064212497,0.054107618693025716,-0.030312513475771907,-0.03215459292551959,9
2015,25,2.0833333333333335,11,14,0.44,0.15555553220526258,1.2991452542408903,1.5353534822846848,-0.9285714285714264,0.023073875676356437,0.01902507786755403,0.020271639757442728,4
2016,16,1.3333333333333333,5,11,0.3125,0.0677594803967225,1.1308391090240253,1.8740591191446352,-0.7532858099432379,0.026894397789540725,0.005076897190686491,0.005238661145940737,5
2017,13,1.3,7,6,0.5384615384615384,0.4963047394743538,3.080311764026429,1.3647716243960557,-0.5169066262676316,0.009974999999999845,0.032483526114930994,0.03955281015696088,1
2018,17,1.4166666666666667,4,13,0.23529411764705882,-0.44895681641053414,0.29921873608458005,0.8147039123912768,-0.8377755021957066,0.03368654155639994,-0.03764749708365467,-0.03818590549720102,5
2019,12,1.2,6,6,0.5,0.006096671873490944,1.0153289333782294,0.8076396703843699,-0.795446326637388,0.014925125000000206,0.00020482408707733768,0.00026343024518094005,3
2020,17,1.4166666666666667,4,13,0.23529411764705882,-0.15989637423834543,0.7360428647741658,1.8949477814190543,-0.7921561144406222,0.028359975532948223,-0.013853082534678651,-0.016301833001127974,6
2021,21,1.75,5,16,0.23809523809523808,-0.19874892624320364,0.706037082246488,2.004883047284726,-0.8873839179706815,0.022625241160112552,-0.02109201054168508,-0.021877209422529242,3
2022,25,2.0833333333333335,5,20,0.2,-0.4166985373487927,0.33901115194380516,1.0685917892211025,-0.7880211189912665,0.051339067455283716,-0.051037550172044366,-0.055195698645013946,6
2023,11,1.1,3,8,0.2727272727272727,0.1683910497749873,1.3698531898488842,2.286836374612753,-0.6260259470391749,0.019882828088485183,0.009049592494172476,0.012736181425470727,3
2024,11,1.1,6,5,0.5454545454545454,0.5030161439866861,2.106635516770717,1.7555295973089187,-0.9999999999999929,0.009974999999999956,0.027670822752424273,0.03705493682193217,2
2025,12,1.0,5,7,0.4166666666666667,0.3394677619587902,1.7519116620798918,1.898257663185681,-0.7739535960604174,0.009975000000000067,0.02023756046725378,0.022286791428928865,2
2026,11,1.375,4,7,0.36363636363636365,-0.015016856617938239,0.9709453291224767,1.3800364094663924,-0.81219015152327,0.013930207215947843,-0.0010137542059103222,-0.0019077734181395245,3
