year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,6,3.0,4,2,0.6666666666666666,0.7272332233310544,5.36339933998631,1.3408498349965827,-0.500000000000002,0.004999999999999893,0.02192779942567169,0.19250643714780624,1
2014,19,1.5833333333333333,12,7,0.631578947368421,0.8631718666995386,4.652659915066168,1.7408514048756256,-0.6414216273166098,0.0050000000000001155,0.08480011259052089,0.08812893104667308,2
2015,15,1.3636363636363635,4,11,0.26666666666666666,-0.4213573089792993,0.3679640365310512,0.9199100913276284,-0.9090909090909094,0.03131041256173028,-0.03131041256173028,-0.038620846886097904,3
2016,19,1.7272727272727273,8,11,0.42105263157894735,0.09626757610812157,1.197951911542373,1.3836407239481217,-0.8400038041391512,0.019522598545876013,0.008755370636604587,0.009875546094574972,4
2017,15,1.25,6,9,0.4,0.2241574165094426,1.6756985926922785,1.3897478529952785,-0.5529028744811144,0.012436530229143483,0.016669383323829168,0.017252815568278734,4
2018,16,1.4545454545454546,6,10,0.375,-0.11775967457917946,0.7909909785810296,1.1884251324067743,-0.9014705587707519,0.03223085328320019,-0.009654567848003004,-0.011588461632699554,3
2019,4,0.3333333333333333,1,3,0.25,-0.6696601541887364,0.10711979441500966,0.3213593832450259,-0.9999999999999903,0.009974999999999845,-0.013342309728599067,-0.014801465927178903,2
2020,27,2.076923076923077,12,15,0.4444444444444444,0.2498884377882643,1.5189990630987045,1.6455823183569243,-0.8666666666666637,0.01985049937499994,0.03360684691976212,0.03420181849801884,3
2021,24,2.4,10,14,0.4166666666666667,0.17944731569557856,1.3381946050978049,1.7041224867108173,-0.9096063778867348,0.02223710488732966,0.021126820607945573,0.027547655793378034,4
2022,29,2.6363636363636362,15,14,0.5172413793103449,0.48577998504657827,2.0836630435654455,1.8058413044233836,-0.9285714285714272,0.02252822930869669,0.07202587273953864,0.09640935125217309,4
2023,18,2.0,7,11,0.3888888888888889,0.17908151222653737,1.4635321207536982,1.4539438755951526,-0.6321945371898541,0.010216618836071834,0.01592724753451158,0.02497159005959837,2
2024,25,2.0833333333333335,12,13,0.48,0.22034095391032385,1.5483914401534289,1.296116628443867,-0.7726827456591006,0.01988258527238196,0.027368116849701973,0.028997581256512417,3
2025,17,1.7,6,11,0.35294117647058826,-0.07829829043652378,0.8282036936920942,1.06948153759332,-0.7043600148164386,0.02330505014530937,-0.006861322457506036,-0.009135877388450564,4
2026,14,2.0,6,8,0.42857142857142855,-0.1547523790343465,0.7096420431432912,0.8825101831735446,-0.9326993006902649,0.030268567789655587,-0.010963764033187218,-0.02033443412636049,6
