month,missing_h1_bars
2013-01,1
2013-02,13
2013-04,4
2013-06,6
2013-07,1
2013-08,3
2014-07,1
2014-11,5
2014-12,19
2015-01,26
2015-02,4
2015-03,1
2015-11,5
2015-12,19
2016-01,26
2016-02,4
2016-03,2
2016-04,1
2016-11,5
2016-12,4
2017-01,5
2017-02,4
2017-03,1
2017-11,6
2017-12,22
2018-01,26
2018-02,4
2018-03,1
2018-11,4
2018-12,21
2019-01,26
2019-02,4
2019-03,1
2019-11,4
2019-12,22
2020-01,26
2020-02,4
2020-03,1
2020-11,5
2020-12,19
2021-01,26
2021-02,4
2021-03,1
2021-11,4
2021-12,4
2022-01,5
2022-02,4
2022-03,1
2022-11,4
2022-12,4
2023-01,5
2023-02,4
2023-03,1
2023-11,4
2023-12,22
2024-01,26
2024-02,4
2024-03,1
2024-11,4
2024-12,22
2025-01,26
2025-02,4
2025-03,1
2025-11,5
2025-12,21
2026-01,26
2026-02,4
2026-03,2
