candidate,signal_dt,entry_dt,exit_dt,side,entry,exit,stop,target,reason,r
A_frozen_usdjpy_v10,2013-11-11 16:00:00+00:00,2013-11-11 16:00:00+00:00,2013-11-13 16:00:00+00:00,1,99.241,99.241,99.00628204790434,99.82779488023915,BE,0.0
A_frozen_usdjpy_v10,2013-11-14 12:00:00+00:00,2013-11-14 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,99.957,100.276,99.58991280717902,100.87471798205245,FRIDAY,0.8690033491731561
A_frozen_usdjpy_v10,2013-11-21 08:00:00+00:00,2013-11-21 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,100.733,101.24,100.33606511134681,101.72533722163298,FRIDAY,1.2772875715718868
A_frozen_usdjpy_v10,2013-11-27 16:00:00+00:00,2013-11-27 16:00:00+00:00,2013-11-29 16:00:00+00:00,1,102.109,102.358,101.76177217040143,102.97706957399642,FRIDAY,0.7171084192412752
A_frozen_usdjpy_v10,2013-12-02 16:00:00+00:00,2013-12-02 16:00:00+00:00,2013-12-03 09:00:00+00:00,1,102.975,102.74250421912352,102.74250421912352,103.55623945219118,SL,-1.000000000000004
A_frozen_usdjpy_v10,2013-12-25 08:00:00+00:00,2013-12-25 08:00:00+00:00,2013-12-27 00:00:00+00:00,1,104.44,104.99412670452955,104.21834931818817,104.99412670452955,TP,2.500000000000013
A_frozen_usdjpy_v10,2014-01-08 08:00:00+00:00,2014-01-08 08:00:00+00:00,2014-01-08 10:00:00+00:00,1,105.067,104.67950052357307,104.67950052357307,106.03574869106731,SL,-0.9999999999999906
A_frozen_usdjpy_v10,2014-01-15 16:00:00+00:00,2014-01-15 16:00:00+00:00,2014-01-17 16:00:00+00:00,1,104.477,104.267,104.0483860522394,105.54853486940155,FRIDAY,-0.489951391216261
A_frozen_usdjpy_v10,2014-04-01 16:00:00+00:00,2014-04-01 16:00:00+00:00,2014-04-04 15:00:00+00:00,1,103.52,103.52,103.26120481202861,104.16698796992844,BE,0.0
A_frozen_usdjpy_v10,2014-07-30 12:00:00+00:00,2014-07-30 12:00:00+00:00,2014-07-30 13:00:00+00:00,1,102.229,102.67086838421983,102.05225264631207,102.67086838421983,TP,2.499999999999987
