candidate,signal_dt,entry_dt,exit_dt,side,entry,exit,stop,target,reason,r
B_l25_atr150_rr300,2013-11-12 08:00:00+00:00,2013-11-12 08:00:00+00:00,2013-11-13 09:00:00+00:00,1,99.688,99.41986971757069,99.41986971757069,100.49239084728792,SL,-1.0000000000000249
B_l25_atr150_rr300,2013-11-14 12:00:00+00:00,2013-11-14 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,99.957,100.276,99.58991280717902,101.05826157846293,FRIDAY,0.8690033491731561
B_l25_atr150_rr300,2013-11-21 08:00:00+00:00,2013-11-21 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,100.733,101.24,100.33606511134681,101.92380466595958,FRIDAY,1.2772875715718868
B_l25_atr150_rr300,2013-11-27 16:00:00+00:00,2013-11-27 16:00:00+00:00,2013-11-29 16:00:00+00:00,1,102.109,102.358,101.76177217040143,103.1506834887957,FRIDAY,0.7171084192412752
B_l25_atr150_rr300,2013-12-02 16:00:00+00:00,2013-12-02 16:00:00+00:00,2013-12-03 09:00:00+00:00,1,102.975,102.74250421912352,102.74250421912352,103.67248734262942,SL,-1.000000000000004
B_l25_atr150_rr300,2013-12-25 08:00:00+00:00,2013-12-25 08:00:00+00:00,2013-12-27 16:00:00+00:00,1,104.44,104.971,104.21834931818817,105.10495204543545,FRIDAY,2.3956614780496053
B_l25_atr150_rr300,2014-01-08 08:00:00+00:00,2014-01-08 08:00:00+00:00,2014-01-08 10:00:00+00:00,1,105.067,104.67950052357307,104.67950052357307,106.22949842928078,SL,-0.9999999999999906
B_l25_atr150_rr300,2014-01-15 16:00:00+00:00,2014-01-15 16:00:00+00:00,2014-01-17 16:00:00+00:00,1,104.477,104.267,104.0483860522394,105.76284184328185,FRIDAY,-0.489951391216261
B_l25_atr150_rr300,2014-04-01 16:00:00+00:00,2014-04-01 16:00:00+00:00,2014-04-04 15:00:00+00:00,1,103.52,103.52,103.26120481202861,104.29638556391414,BE,0.0
B_l25_atr150_rr300,2014-07-30 12:00:00+00:00,2014-07-30 12:00:00+00:00,2014-07-30 14:00:00+00:00,1,102.229,102.7592420610638,102.05225264631207,102.7592420610638,TP,3.000000000000017
B_l25_atr150_rr300,2014-08-19 16:00:00+00:00,2014-08-19 16:00:00+00:00,2014-08-20 18:00:00+00:00,1,102.861,103.54177604495054,102.63407465168316,103.54177604495054,TP,2.999999999999996
B_l25_atr150_rr300,2014-09-01 12:00:00+00:00,2014-09-01 12:00:00+00:00,2014-09-02 14:00:00+00:00,1,104.294,105.03325356879611,104.04758214373463,105.03325356879611,TP,3.00000000000001
B_l25_atr150_rr300,2014-09-02 16:00:00+00:00,2014-09-02 16:00:00+00:00,2014-09-03 19:00:00+00:00,1,105.108,104.8316601228058,104.8316601228058,105.93701963158263,SL,-0.9999999999999908
B_l25_atr150_rr300,2014-09-10 08:00:00+00:00,2014-09-10 08:00:00+00:00,2014-09-12 16:00:00+00:00,1,106.631,107.242,106.2020851404077,107.9177445787769,FRIDAY,1.424525139046905
