candidate,signal_dt,entry_dt,exit_dt,side,entry,exit,stop,target,reason,r
C_l25_atr175_rr250,2013-11-12 08:00:00+00:00,2013-11-12 08:00:00+00:00,2013-11-13 13:00:00+00:00,1,99.688,99.37518133716581,99.37518133716581,100.47004665708548,SL,-1.0000000000000022
C_l25_atr175_rr250,2013-11-14 12:00:00+00:00,2013-11-14 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,99.957,100.276,99.52873160837552,101.02767097906118,FRIDAY,0.7448600135769908
C_l25_atr175_rr250,2013-11-21 08:00:00+00:00,2013-11-21 08:00:00+00:00,2013-11-22 16:00:00+00:00,1,100.733,101.24,100.26990929657129,101.89072675857182,FRIDAY,1.0948179184901887
C_l25_atr175_rr250,2013-11-27 16:00:00+00:00,2013-11-27 16:00:00+00:00,2013-11-29 16:00:00+00:00,1,102.109,102.358,101.70390086546833,103.12174783632916,FRIDAY,0.6146643593496646
C_l25_atr175_rr250,2013-12-02 16:00:00+00:00,2013-12-02 16:00:00+00:00,2013-12-03 09:00:00+00:00,1,102.975,102.70375492231078,102.70375492231078,103.65311269422305,SL,-0.9999999999999779
C_l25_atr175_rr250,2013-12-25 08:00:00+00:00,2013-12-25 08:00:00+00:00,2013-12-27 16:00:00+00:00,1,104.44,104.971,104.1814075378862,105.08648115528447,FRIDAY,2.0534241240425186
C_l25_atr175_rr250,2014-01-08 08:00:00+00:00,2014-01-08 08:00:00+00:00,2014-01-09 16:00:00+00:00,1,105.067,104.61491727750192,104.61491727750192,106.1972068062452,SL,-0.9999999999999852
C_l25_atr175_rr250,2014-01-15 16:00:00+00:00,2014-01-15 16:00:00+00:00,2014-01-17 16:00:00+00:00,1,104.477,104.267,103.97695039427929,105.72712401430181,FRIDAY,-0.41995833532822374
C_l25_atr175_rr250,2014-04-01 16:00:00+00:00,2014-04-01 16:00:00+00:00,2014-04-04 15:00:00+00:00,1,103.52,103.52,103.21807228070006,104.27481929824985,BE,0.0
C_l25_atr175_rr250,2014-07-30 12:00:00+00:00,2014-07-30 12:00:00+00:00,2014-07-30 14:00:00+00:00,1,102.229,102.74451311492314,102.02279475403074,102.74451311492314,TP,2.4999999999999987
