year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2013,6,3.0,4,2,0.6666666666666666,0.41796106924323045,2.253883207729704,1.1269416038648408,-0.99999999999999,0.0050000000000000044,0.012512474229862347,0.10619859951834898,1
2014,18,1.5,12,6,0.6666666666666666,0.9238221651091099,5.86228115710894,1.6707297756076815,-0.5699930558880336,0.0050000000000001155,0.08608005180281042,0.08946115482752615,2
2015,15,1.3636363636363635,3,12,0.2,-0.530590656605467,0.27646728644709107,1.0137133836393346,-0.9166666666666673,0.03922176369913888,-0.03922176369913888,-0.04833277658334645,4
2016,17,1.5454545454545454,8,9,0.47058823529411764,0.21827314013718976,1.5149558759856094,1.3645491919555295,-0.8006389059235567,0.01285146356939637,0.018317307451417353,0.021476929573279957,3
2017,14,1.1666666666666667,6,8,0.42857142857142855,0.0016112517580468913,1.003631977957428,1.03889456884516,-0.776351236057288,0.009692752908569857,-9.179357606581284e-05,-9.497889590892594e-05,3
2018,16,1.4545454545454546,5,11,0.3125,-0.2709865375027979,0.5398298083103753,1.0172696153669685,-0.8565575160799646,0.03648991234812449,-0.02164988431868653,-0.025954846270272114,4
2019,4,0.3333333333333333,1,3,0.25,-0.6811372750189196,0.09181696664143639,0.27545089992430793,-0.9999999999999956,0.009974999999999734,-0.013568426195941896,-0.015052122032054749,2
2020,26,2.0,10,16,0.38461538461538464,-0.09914858474215442,0.8017028305156914,1.0422136796703985,-0.8124999999999998,0.02958346696994718,-0.013178040438523442,-0.013405918477868872,3
2021,22,2.2,9,13,0.4090909090909091,0.16052118969984272,1.3307057720604174,1.578893390976206,-0.821428795799178,0.020090695284362692,0.01730006109807425,0.02262650903477681,5
2022,27,2.7,15,12,0.5555555555555556,0.5180057485808341,2.2714686556075057,1.6657436807788328,-0.9166666666666642,0.014925125000000095,0.0716180091677332,0.09963496024309637,3
2023,16,1.7777777777777777,6,10,0.375,0.09512383970875585,1.2616061890010868,1.2233026071883464,-0.5817834207789983,0.010182101859489867,0.007414991739961518,0.011598084049655899,2
2024,23,1.9166666666666667,9,14,0.391304347826087,-0.026925735888583675,0.9362195910947079,1.0100510715031208,-0.6935536834975363,0.01835321134636947,-0.0034326967656276297,-0.0036338146306523766,3
2025,13,1.3,6,7,0.46153846153846156,0.0166326854447751,1.0383302151854648,0.9762222703180843,-0.8058726730180614,0.009974999999999956,0.0008940329363191779,0.0011919493905585554,2
2026,14,2.0,7,7,0.5,0.03348553689636547,1.0732994057636263,0.9806356948770728,-0.9136646210843419,0.01641221278543914,0.0021260032015968378,0.003965486678319197,3
