hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-16,london_fix_momentum,AUDJPY,2013-01-02 15:00:00+00:00,2013-01-02 15:15:00+00:00,2013-01-02 15:15:00+00:00,1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-03 15:00:00+00:00,2013-01-03 15:15:00+00:00,2013-01-03 15:30:00+00:00,1,-0.999999999999983,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-04 15:00:00+00:00,2013-01-04 15:15:00+00:00,2013-01-04 16:00:00+00:00,1,1.2085690572818715,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-01-07 15:45:00+00:00,2013-01-07 16:00:00+00:00,2013-01-07 16:00:00+00:00,-1,-1.0000000000000175,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-08 15:00:00+00:00,2013-01-08 15:15:00+00:00,2013-01-08 15:30:00+00:00,-1,1.25,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-08 15:30:00+00:00,2013-01-08 15:45:00+00:00,2013-01-08 16:45:00+00:00,-1,-0.999999999999953,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-09 15:00:00+00:00,2013-01-09 15:15:00+00:00,2013-01-09 15:30:00+00:00,1,-0.999999999999963,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-09 15:45:00+00:00,2013-01-09 16:00:00+00:00,2013-01-09 17:00:00+00:00,1,1.2499999999999496,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-10 15:00:00+00:00,2013-01-10 15:15:00+00:00,2013-01-10 15:45:00+00:00,1,-1.0000000000000169,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-11 15:30:00+00:00,2013-01-11 15:45:00+00:00,2013-01-11 16:00:00+00:00,1,-0.0651597397018571,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-01-15 15:15:00+00:00,2013-01-15 15:30:00+00:00,2013-01-15 16:00:00+00:00,-1,1.2500000000000122,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-17 15:45:00+00:00,2013-01-17 16:00:00+00:00,2013-01-17 17:00:00+00:00,1,1.2499999999999873,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-21 15:45:00+00:00,2013-01-21 16:00:00+00:00,2013-01-21 16:00:00+00:00,-1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-22 15:00:00+00:00,2013-01-22 15:15:00+00:00,2013-01-22 15:45:00+00:00,-1,1.2500000000000426,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-22 15:45:00+00:00,2013-01-22 16:00:00+00:00,2013-01-22 17:30:00+00:00,-1,-1.0000000000000426,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-24 15:30:00+00:00,2013-01-24 15:45:00+00:00,2013-01-24 15:45:00+00:00,1,1.2500000000000333,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-24 15:45:00+00:00,2013-01-24 16:00:00+00:00,2013-01-24 16:15:00+00:00,1,-1.000000000000031,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-25 15:30:00+00:00,2013-01-25 15:45:00+00:00,2013-01-25 15:45:00+00:00,1,1.249999999999983,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-01-25 15:45:00+00:00,2013-01-25 16:00:00+00:00,2013-01-25 16:00:00+00:00,1,-0.6293924500679703,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-01-28 15:00:00+00:00,2013-01-28 15:15:00+00:00,2013-01-28 15:30:00+00:00,-1,-1.0000000000000158,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-28 15:45:00+00:00,2013-01-28 16:00:00+00:00,2013-01-28 16:30:00+00:00,-1,-0.9999999999999529,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-01-29 15:00:00+00:00,2013-01-29 15:15:00+00:00,2013-01-29 17:15:00+00:00,1,-1.0000000000000193,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-01 15:00:00+00:00,2013-02-01 15:15:00+00:00,2013-02-01 15:45:00+00:00,1,1.2499999999999618,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-02-01 15:45:00+00:00,2013-02-01 16:00:00+00:00,2013-02-01 16:00:00+00:00,1,-0.3024149894722485,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-02-05 15:30:00+00:00,2013-02-05 15:45:00+00:00,2013-02-05 17:45:00+00:00,1,1.25,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-02-08 15:00:00+00:00,2013-02-08 15:15:00+00:00,2013-02-08 16:00:00+00:00,-1,0.9824483542029904,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-02-13 15:00:00+00:00,2013-02-13 15:15:00+00:00,2013-02-13 15:45:00+00:00,1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-18 15:00:00+00:00,2013-02-18 15:15:00+00:00,2013-02-18 16:30:00+00:00,1,-1.0000000000000304,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-19 15:15:00+00:00,2013-02-19 15:30:00+00:00,2013-02-19 16:00:00+00:00,1,-1.0000000000000273,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-20 15:00:00+00:00,2013-02-20 15:15:00+00:00,2013-02-20 16:30:00+00:00,-1,1.2499999999999636,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-02-21 15:30:00+00:00,2013-02-21 15:45:00+00:00,2013-02-21 18:30:00+00:00,-1,1.25,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-02-25 15:00:00+00:00,2013-02-25 15:15:00+00:00,2013-02-25 15:15:00+00:00,1,-1.0000000000000395,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-26 15:00:00+00:00,2013-02-26 15:15:00+00:00,2013-02-26 15:30:00+00:00,-1,1.2500000000000215,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-02-26 15:30:00+00:00,2013-02-26 15:45:00+00:00,2013-02-26 15:45:00+00:00,-1,-1.0000000000000284,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-27 15:45:00+00:00,2013-02-27 16:00:00+00:00,2013-02-27 16:00:00+00:00,-1,-1.0000000000000255,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-02-28 15:15:00+00:00,2013-02-28 15:30:00+00:00,2013-02-28 15:30:00+00:00,1,-1.0000000000000164,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-03-04 15:00:00+00:00,2013-03-04 15:15:00+00:00,2013-03-04 15:30:00+00:00,-1,-0.9999999999999546,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-03-04 15:45:00+00:00,2013-03-04 16:00:00+00:00,2013-03-04 16:15:00+00:00,-1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-03-05 15:00:00+00:00,2013-03-05 15:15:00+00:00,2013-03-05 15:30:00+00:00,1,1.25,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-03-05 15:30:00+00:00,2013-03-05 15:45:00+00:00,2013-03-05 15:45:00+00:00,1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-03-06 15:15:00+00:00,2013-03-06 15:30:00+00:00,2013-03-06 15:30:00+00:00,1,-1.0,SL,False
S2-16,london_fix_momentum,AUDJPY,2013-03-07 15:00:00+00:00,2013-03-07 15:15:00+00:00,2013-03-07 16:00:00+00:00,1,1.250000000000018,TP,False
S2-16,london_fix_momentum,AUDJPY,2013-03-08 15:15:00+00:00,2013-03-08 15:30:00+00:00,2013-03-08 16:00:00+00:00,1,-0.06195247928071883,FRIDAY,False
S2-16,london_fix_momentum,AUDJPY,2013-03-11 15:00:00+00:00,2013-03-11 15:15:00+00:00,2013-03-11 15:15:00+00:00,1,1.249999999999938,TP,False
