hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-15,three_bar_momentum,AUDUSD,2013-01-02 12:00:00+00:00,2013-01-02 12:15:00+00:00,2013-01-02 13:30:00+00:00,1,1.2500000000000704,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-02 13:30:00+00:00,2013-01-02 13:45:00+00:00,2013-01-02 14:00:00+00:00,1,-0.9999999999999643,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-02 14:30:00+00:00,2013-01-02 14:45:00+00:00,2013-01-02 15:00:00+00:00,1,1.2500000000000426,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-02 15:15:00+00:00,2013-01-02 15:30:00+00:00,2013-01-02 15:30:00+00:00,1,-1.0,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-03 13:15:00+00:00,2013-01-03 13:30:00+00:00,2013-01-03 14:00:00+00:00,1,1.250000000000057,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-03 15:15:00+00:00,2013-01-03 15:30:00+00:00,2013-01-03 16:30:00+00:00,1,-1.0000000000001477,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-07 12:15:00+00:00,2013-01-07 12:30:00+00:00,2013-01-07 12:30:00+00:00,1,-0.9999999999999427,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-07 12:30:00+00:00,2013-01-07 12:45:00+00:00,2013-01-07 12:45:00+00:00,1,-0.9999999999998269,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-08 12:00:00+00:00,2013-01-08 12:15:00+00:00,2013-01-08 12:15:00+00:00,1,-1.0000000000000557,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-08 14:15:00+00:00,2013-01-08 14:30:00+00:00,2013-01-08 15:15:00+00:00,1,-0.9999999999999559,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-09 13:00:00+00:00,2013-01-09 13:15:00+00:00,2013-01-09 14:00:00+00:00,1,1.25,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-09 15:00:00+00:00,2013-01-09 15:15:00+00:00,2013-01-09 15:30:00+00:00,1,-0.9999999999999148,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-10 13:30:00+00:00,2013-01-10 13:45:00+00:00,2013-01-10 14:30:00+00:00,1,-1.000000000000157,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-10 15:15:00+00:00,2013-01-10 15:30:00+00:00,2013-01-10 15:30:00+00:00,1,-1.0000000000000413,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-14 13:30:00+00:00,2013-01-14 13:45:00+00:00,2013-01-14 14:00:00+00:00,1,-0.9999999999999402,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-18 14:15:00+00:00,2013-01-18 14:30:00+00:00,2013-01-18 14:45:00+00:00,-1,1.2499999999999494,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-18 14:45:00+00:00,2013-01-18 15:00:00+00:00,2013-01-18 15:15:00+00:00,-1,-1.000000000000095,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-18 15:15:00+00:00,2013-01-18 15:30:00+00:00,2013-01-18 16:00:00+00:00,-1,0.661741463593928,FRIDAY,False
S2-15,three_bar_momentum,AUDUSD,2013-01-21 12:00:00+00:00,2013-01-21 12:15:00+00:00,2013-01-21 14:45:00+00:00,1,-0.9999999999998397,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-22 13:45:00+00:00,2013-01-22 14:00:00+00:00,2013-01-22 15:00:00+00:00,1,-0.9999999999998077,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-23 13:45:00+00:00,2013-01-23 14:00:00+00:00,2013-01-23 14:00:00+00:00,1,-1.0,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-24 12:00:00+00:00,2013-01-24 12:15:00+00:00,2013-01-24 12:30:00+00:00,-1,1.2500000000001061,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-24 12:30:00+00:00,2013-01-24 12:45:00+00:00,2013-01-24 13:15:00+00:00,-1,1.2499999999999518,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-24 13:30:00+00:00,2013-01-24 13:45:00+00:00,2013-01-24 15:15:00+00:00,-1,1.2499999999998817,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-24 15:15:00+00:00,2013-01-24 15:30:00+00:00,2013-01-24 15:30:00+00:00,-1,-1.0000000000001028,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-24 15:30:00+00:00,2013-01-24 15:45:00+00:00,2013-01-24 15:45:00+00:00,-1,-1.000000000000033,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-25 13:00:00+00:00,2013-01-25 13:15:00+00:00,2013-01-25 13:45:00+00:00,-1,-1.000000000000068,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-25 15:15:00+00:00,2013-01-25 15:30:00+00:00,2013-01-25 15:45:00+00:00,-1,-0.9999999999999585,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-28 14:30:00+00:00,2013-01-28 14:45:00+00:00,2013-01-28 15:15:00+00:00,-1,1.2499999999999165,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-01-28 15:15:00+00:00,2013-01-28 15:30:00+00:00,2013-01-28 15:30:00+00:00,-1,-1.0000000000000413,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-29 14:30:00+00:00,2013-01-29 14:45:00+00:00,2013-01-29 15:00:00+00:00,1,-1.000000000000102,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-01-29 15:00:00+00:00,2013-01-29 15:15:00+00:00,2013-01-29 15:30:00+00:00,1,-0.9999999999999538,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-01 12:45:00+00:00,2013-02-01 13:00:00+00:00,2013-02-01 13:30:00+00:00,-1,-0.9999999999998669,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-04 12:30:00+00:00,2013-02-04 12:45:00+00:00,2013-02-04 13:00:00+00:00,1,1.2499999999999485,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-02-05 12:45:00+00:00,2013-02-05 13:00:00+00:00,2013-02-05 13:30:00+00:00,-1,-1.0000000000000744,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-05 14:15:00+00:00,2013-02-05 14:30:00+00:00,2013-02-05 15:45:00+00:00,-1,1.2500000000000406,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-02-06 13:15:00+00:00,2013-02-06 13:30:00+00:00,2013-02-06 14:00:00+00:00,-1,-1.00000000000008,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-07 15:15:00+00:00,2013-02-07 15:30:00+00:00,2013-02-07 15:45:00+00:00,-1,1.25,TP,False
S2-15,three_bar_momentum,AUDUSD,2013-02-11 13:15:00+00:00,2013-02-11 13:30:00+00:00,2013-02-11 13:30:00+00:00,-1,-0.9999999999998577,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-11 13:30:00+00:00,2013-02-11 13:45:00+00:00,2013-02-11 16:00:00+00:00,-1,-1.0,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-13 13:15:00+00:00,2013-02-13 13:30:00+00:00,2013-02-13 14:00:00+00:00,1,-1.0000000000000864,SL,False
S2-15,three_bar_momentum,AUDUSD,2013-02-13 14:45:00+00:00,2013-02-13 15:00:00+00:00,2013-02-13 15:30:00+00:00,1,1.2500000000000888,TP,False
