hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-09,shock_reversion,CADJPY,2013-01-01 22:15:00+00:00,2013-01-01 22:30:00+00:00,2013-01-01 22:30:00+00:00,-1,-1.0000000000003368,SL,False
S2-09,shock_reversion,CADJPY,2013-01-01 22:30:00+00:00,2013-01-01 22:45:00+00:00,2013-01-01 22:45:00+00:00,-1,-0.9999999999997455,SL,True
S2-09,shock_reversion,CADJPY,2013-01-01 22:45:00+00:00,2013-01-01 23:00:00+00:00,2013-01-01 23:00:00+00:00,1,-0.9999999999999365,SL,False
S2-09,shock_reversion,CADJPY,2013-01-01 23:00:00+00:00,2013-01-01 23:15:00+00:00,2013-01-01 23:15:00+00:00,1,-1.0000000000000413,SL,False
S2-09,shock_reversion,CADJPY,2013-01-02 02:30:00+00:00,2013-01-02 02:45:00+00:00,2013-01-02 02:45:00+00:00,-1,-0.9999999999999857,SL,False
S2-09,shock_reversion,CADJPY,2013-01-02 11:00:00+00:00,2013-01-02 11:15:00+00:00,2013-01-02 12:00:00+00:00,-1,1.0000000000000395,TP,False
S2-09,shock_reversion,CADJPY,2013-01-03 22:15:00+00:00,2013-01-03 22:30:00+00:00,2013-01-03 23:30:00+00:00,-1,-0.9999999999999596,SL,False
S2-09,shock_reversion,CADJPY,2013-01-04 07:30:00+00:00,2013-01-04 07:45:00+00:00,2013-01-04 07:45:00+00:00,-1,0.9999999999999065,TP,False
S2-09,shock_reversion,CADJPY,2013-01-04 13:30:00+00:00,2013-01-04 13:45:00+00:00,2013-01-04 13:45:00+00:00,1,1.0,TP,False
S2-09,shock_reversion,CADJPY,2013-01-04 13:45:00+00:00,2013-01-04 14:00:00+00:00,2013-01-04 14:00:00+00:00,-1,1.000000000000031,TP,False
S2-09,shock_reversion,CADJPY,2013-01-06 22:00:00+00:00,2013-01-06 22:15:00+00:00,2013-01-06 22:15:00+00:00,-1,-0.9999999999993339,SL,False
S2-09,shock_reversion,CADJPY,2013-01-06 22:15:00+00:00,2013-01-06 22:30:00+00:00,2013-01-06 22:30:00+00:00,-1,-1.000000000000198,SL,True
S2-09,shock_reversion,CADJPY,2013-01-07 00:00:00+00:00,2013-01-07 00:15:00+00:00,2013-01-07 00:15:00+00:00,1,-0.9999999999999446,SL,False
S2-09,shock_reversion,CADJPY,2013-01-07 22:30:00+00:00,2013-01-07 22:45:00+00:00,2013-01-07 22:45:00+00:00,1,-1.0000000000000286,SL,False
S2-09,shock_reversion,CADJPY,2013-01-07 22:45:00+00:00,2013-01-07 23:00:00+00:00,2013-01-07 23:30:00+00:00,1,0.9999999999999206,TP,False
S2-09,shock_reversion,CADJPY,2013-01-08 02:15:00+00:00,2013-01-08 02:30:00+00:00,2013-01-08 03:45:00+00:00,-1,1.0000000000000144,TP,False
S2-09,shock_reversion,CADJPY,2013-01-08 14:00:00+00:00,2013-01-08 14:15:00+00:00,2013-01-08 14:15:00+00:00,1,-1.0000000000000673,SL,False
S2-09,shock_reversion,CADJPY,2013-01-08 21:15:00+00:00,2013-01-08 21:30:00+00:00,2013-01-08 21:30:00+00:00,1,-0.9999999999999131,SL,False
