hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-14,impulse_retrace,CHFJPY,2013-01-09 12:45:00+00:00,2013-01-09 13:00:00+00:00,2013-01-09 13:45:00+00:00,-1,-0.9999999999999649,SL,False
S2-14,impulse_retrace,CHFJPY,2013-01-11 15:30:00+00:00,2013-01-11 15:45:00+00:00,2013-01-11 16:00:00+00:00,1,0.43519417904385144,FRIDAY,False
S2-14,impulse_retrace,CHFJPY,2013-01-30 13:30:00+00:00,2013-01-30 13:45:00+00:00,2013-01-30 15:30:00+00:00,1,1.25,TP,False
S2-14,impulse_retrace,CHFJPY,2013-02-05 13:45:00+00:00,2013-02-05 14:00:00+00:00,2013-02-05 14:30:00+00:00,1,-1.0,SL,False
S2-14,impulse_retrace,CHFJPY,2013-02-28 14:15:00+00:00,2013-02-28 14:30:00+00:00,2013-02-28 14:30:00+00:00,1,-1.000000000000029,SL,False
S2-14,impulse_retrace,CHFJPY,2013-03-01 15:45:00+00:00,2013-03-01 16:00:00+00:00,2013-03-01 16:00:00+00:00,-1,0.04151402080506558,FRIDAY,False
S2-14,impulse_retrace,CHFJPY,2013-03-05 13:45:00+00:00,2013-03-05 14:00:00+00:00,2013-03-05 14:30:00+00:00,-1,-1.00000000000004,SL,False
S2-14,impulse_retrace,CHFJPY,2013-03-12 14:45:00+00:00,2013-03-12 15:00:00+00:00,2013-03-12 15:00:00+00:00,1,-1.0,SL,False
S2-14,impulse_retrace,CHFJPY,2013-03-12 15:30:00+00:00,2013-03-12 15:45:00+00:00,2013-03-12 19:30:00+00:00,1,0.7432875572201415,TIME,False
S2-14,impulse_retrace,CHFJPY,2013-04-02 13:45:00+00:00,2013-04-02 14:00:00+00:00,2013-04-02 14:30:00+00:00,-1,-1.000000000000051,SL,False
S2-14,impulse_retrace,CHFJPY,2013-04-03 13:45:00+00:00,2013-04-03 14:00:00+00:00,2013-04-03 14:15:00+00:00,-1,-1.0,SL,False
S2-14,impulse_retrace,CHFJPY,2013-04-03 14:30:00+00:00,2013-04-03 14:45:00+00:00,2013-04-03 18:30:00+00:00,-1,-0.05211405049591029,TIME,False
S2-14,impulse_retrace,CHFJPY,2013-05-02 13:30:00+00:00,2013-05-02 13:45:00+00:00,2013-05-02 17:30:00+00:00,1,0.21321620308886913,TIME,False
S2-14,impulse_retrace,CHFJPY,2013-05-06 14:00:00+00:00,2013-05-06 14:15:00+00:00,2013-05-06 14:15:00+00:00,1,-1.0000000000000213,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-06 14:30:00+00:00,2013-05-06 14:45:00+00:00,2013-05-06 14:45:00+00:00,1,-1.0000000000000377,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-10 12:00:00+00:00,2013-05-10 12:15:00+00:00,2013-05-10 13:30:00+00:00,1,1.2500000000000355,TP,False
S2-14,impulse_retrace,CHFJPY,2013-05-13 13:30:00+00:00,2013-05-13 13:45:00+00:00,2013-05-13 13:45:00+00:00,1,-0.9999999999999828,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-14 15:45:00+00:00,2013-05-14 16:00:00+00:00,2013-05-14 16:00:00+00:00,1,1.249999999999971,TP,False
S2-14,impulse_retrace,CHFJPY,2013-05-20 14:15:00+00:00,2013-05-20 14:30:00+00:00,2013-05-20 14:45:00+00:00,-1,-0.9999999999999599,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-21 12:15:00+00:00,2013-05-21 12:30:00+00:00,2013-05-21 13:00:00+00:00,-1,1.2499999999999396,TP,False
S2-14,impulse_retrace,CHFJPY,2013-05-21 15:45:00+00:00,2013-05-21 16:00:00+00:00,2013-05-21 17:00:00+00:00,-1,-0.9999999999999871,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-22 12:45:00+00:00,2013-05-22 13:00:00+00:00,2013-05-22 13:45:00+00:00,-1,-1.0000000000000129,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-22 13:45:00+00:00,2013-05-22 14:00:00+00:00,2013-05-22 14:00:00+00:00,-1,-0.9999999999999594,SL,False
S2-14,impulse_retrace,CHFJPY,2013-05-30 12:30:00+00:00,2013-05-30 12:45:00+00:00,2013-05-30 13:30:00+00:00,1,1.2499999999999902,TP,False
