hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-05,ny_or_break,EURAUD,2013-01-02 14:15:00+00:00,2013-01-02 14:30:00+00:00,2013-01-02 14:30:00+00:00,-1,-1.0000000000000726,SL,False
S2-05,ny_or_break,EURAUD,2013-01-02 14:30:00+00:00,2013-01-02 14:45:00+00:00,2013-01-02 16:00:00+00:00,-1,1.2499999999999507,TP,False
S2-05,ny_or_break,EURAUD,2013-01-02 16:00:00+00:00,2013-01-02 16:15:00+00:00,2013-01-02 16:30:00+00:00,-1,1.2499999999999307,TP,False
S2-05,ny_or_break,EURAUD,2013-01-02 16:30:00+00:00,2013-01-02 16:45:00+00:00,2013-01-02 17:15:00+00:00,-1,1.2499999999999534,TP,False
S2-05,ny_or_break,EURAUD,2013-01-03 13:15:00+00:00,2013-01-03 13:30:00+00:00,2013-01-03 13:30:00+00:00,-1,-1.0000000000000262,SL,False
S2-05,ny_or_break,EURAUD,2013-01-03 13:45:00+00:00,2013-01-03 14:00:00+00:00,2013-01-03 15:00:00+00:00,-1,1.2500000000000289,TP,False
S2-05,ny_or_break,EURAUD,2013-01-03 15:00:00+00:00,2013-01-03 15:15:00+00:00,2013-01-03 15:30:00+00:00,-1,-1.0000000000000615,SL,False
S2-05,ny_or_break,EURAUD,2013-01-03 15:45:00+00:00,2013-01-03 16:00:00+00:00,2013-01-03 16:00:00+00:00,-1,-1.0000000000000573,SL,False
S2-05,ny_or_break,EURAUD,2013-01-03 16:00:00+00:00,2013-01-03 16:15:00+00:00,2013-01-03 16:15:00+00:00,-1,-1.0000000000000269,SL,False
S2-05,ny_or_break,EURAUD,2013-01-03 16:15:00+00:00,2013-01-03 16:30:00+00:00,2013-01-03 19:30:00+00:00,-1,-1.000000000000053,SL,False
S2-05,ny_or_break,EURAUD,2013-01-07 12:30:00+00:00,2013-01-07 12:45:00+00:00,2013-01-07 13:00:00+00:00,-1,-1.000000000000108,SL,False
S2-05,ny_or_break,EURAUD,2013-01-09 12:15:00+00:00,2013-01-09 12:30:00+00:00,2013-01-09 13:00:00+00:00,-1,1.249999999999876,TP,False
S2-05,ny_or_break,EURAUD,2013-01-09 13:00:00+00:00,2013-01-09 13:15:00+00:00,2013-01-09 13:15:00+00:00,-1,1.250000000000081,TP,False
S2-05,ny_or_break,EURAUD,2013-01-09 13:15:00+00:00,2013-01-09 13:30:00+00:00,2013-01-09 13:30:00+00:00,-1,-0.999999999999883,SL,False
S2-05,ny_or_break,EURAUD,2013-01-09 13:30:00+00:00,2013-01-09 13:45:00+00:00,2013-01-09 13:45:00+00:00,-1,-0.9999999999999277,SL,False
S2-05,ny_or_break,EURAUD,2013-01-09 13:45:00+00:00,2013-01-09 14:00:00+00:00,2013-01-09 14:00:00+00:00,-1,1.2499999999999645,TP,False
S2-05,ny_or_break,EURAUD,2013-01-09 14:00:00+00:00,2013-01-09 14:15:00+00:00,2013-01-09 15:30:00+00:00,-1,-1.0,SL,False
