hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-14,impulse_retrace,EURGBP,2013-01-11 12:00:00+00:00,2013-01-11 12:15:00+00:00,2013-01-11 12:30:00+00:00,1,1.249999999999951,TP,False
S2-14,impulse_retrace,EURGBP,2013-01-23 13:45:00+00:00,2013-01-23 14:00:00+00:00,2013-01-23 14:00:00+00:00,1,-1.0000000000000255,SL,False
S2-14,impulse_retrace,EURGBP,2013-01-25 12:15:00+00:00,2013-01-25 12:30:00+00:00,2013-01-25 16:00:00+00:00,1,0.29273751246487173,FRIDAY,False
S2-14,impulse_retrace,EURGBP,2013-01-28 12:15:00+00:00,2013-01-28 12:30:00+00:00,2013-01-28 13:45:00+00:00,1,1.2500000000000548,TP,False
S2-14,impulse_retrace,EURGBP,2013-01-28 15:15:00+00:00,2013-01-28 15:30:00+00:00,2013-01-28 15:45:00+00:00,1,1.2500000000000207,TP,False
S2-14,impulse_retrace,EURGBP,2013-02-07 13:00:00+00:00,2013-02-07 13:15:00+00:00,2013-02-07 13:30:00+00:00,-1,1.2500000000000309,TP,False
S2-14,impulse_retrace,EURGBP,2013-02-08 14:45:00+00:00,2013-02-08 15:00:00+00:00,2013-02-08 15:30:00+00:00,-1,1.24999999999997,TP,False
S2-14,impulse_retrace,EURGBP,2013-03-05 12:15:00+00:00,2013-03-05 12:30:00+00:00,2013-03-05 14:45:00+00:00,-1,-1.000000000000044,SL,False
S2-14,impulse_retrace,EURGBP,2013-03-12 12:00:00+00:00,2013-03-12 12:15:00+00:00,2013-03-12 13:00:00+00:00,1,1.250000000000014,TP,False
S2-14,impulse_retrace,EURGBP,2013-03-12 15:30:00+00:00,2013-03-12 15:45:00+00:00,2013-03-12 15:45:00+00:00,1,-0.99999999999997,SL,False
S2-14,impulse_retrace,EURGBP,2013-03-19 12:00:00+00:00,2013-03-19 12:15:00+00:00,2013-03-19 13:45:00+00:00,-1,-0.9999999999999661,SL,False
S2-14,impulse_retrace,EURGBP,2013-03-21 12:45:00+00:00,2013-03-21 13:00:00+00:00,2013-03-21 13:15:00+00:00,-1,-0.9999999999999587,SL,False
S2-14,impulse_retrace,EURGBP,2013-03-27 14:00:00+00:00,2013-03-27 14:15:00+00:00,2013-03-27 14:15:00+00:00,-1,-1.000000000000056,SL,False
S2-14,impulse_retrace,EURGBP,2013-03-27 14:30:00+00:00,2013-03-27 14:45:00+00:00,2013-03-27 16:15:00+00:00,-1,-0.9999999999999812,SL,False
S2-14,impulse_retrace,EURGBP,2013-04-11 14:30:00+00:00,2013-04-11 14:45:00+00:00,2013-04-11 14:45:00+00:00,-1,-1.0000000000000664,SL,False
S2-14,impulse_retrace,EURGBP,2013-04-12 12:30:00+00:00,2013-04-12 12:45:00+00:00,2013-04-12 12:45:00+00:00,-1,-1.0000000000000389,SL,False
S2-14,impulse_retrace,EURGBP,2013-04-22 15:45:00+00:00,2013-04-22 16:00:00+00:00,2013-04-22 19:45:00+00:00,-1,0.5078378943271663,TIME,False
S2-14,impulse_retrace,EURGBP,2013-04-24 14:30:00+00:00,2013-04-24 14:45:00+00:00,2013-04-24 14:45:00+00:00,-1,-1.0000000000000415,SL,False
S2-14,impulse_retrace,EURGBP,2013-04-24 15:15:00+00:00,2013-04-24 15:30:00+00:00,2013-04-24 16:00:00+00:00,-1,-1.0,SL,False
S2-14,impulse_retrace,EURGBP,2013-04-26 13:15:00+00:00,2013-04-26 13:30:00+00:00,2013-04-26 14:15:00+00:00,-1,1.2500000000000613,TP,False
S2-14,impulse_retrace,EURGBP,2013-04-30 12:45:00+00:00,2013-04-30 13:00:00+00:00,2013-04-30 13:15:00+00:00,1,1.2499999999999487,TP,False
S2-14,impulse_retrace,EURGBP,2013-05-01 13:15:00+00:00,2013-05-01 13:30:00+00:00,2013-05-01 13:45:00+00:00,1,-1.0000000000000482,SL,False
S2-14,impulse_retrace,EURGBP,2013-05-03 12:30:00+00:00,2013-05-03 12:45:00+00:00,2013-05-03 13:45:00+00:00,-1,-0.9999999999999691,SL,False
S2-14,impulse_retrace,EURGBP,2013-05-15 14:45:00+00:00,2013-05-15 15:00:00+00:00,2013-05-15 15:00:00+00:00,-1,-1.000000000000019,SL,False
S2-14,impulse_retrace,EURGBP,2013-05-16 14:15:00+00:00,2013-05-16 14:30:00+00:00,2013-05-16 15:15:00+00:00,-1,1.25,TP,False
S2-14,impulse_retrace,EURGBP,2013-05-17 13:15:00+00:00,2013-05-17 13:30:00+00:00,2013-05-17 13:45:00+00:00,-1,-1.0000000000000209,SL,False
