hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-14,impulse_retrace,EURJPY,2013-01-09 12:45:00+00:00,2013-01-09 13:00:00+00:00,2013-01-09 13:45:00+00:00,-1,-1.0000000000000282,SL,False
S2-14,impulse_retrace,EURJPY,2013-01-16 14:45:00+00:00,2013-01-16 15:00:00+00:00,2013-01-16 15:00:00+00:00,-1,-1.0000000000000082,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-11 13:45:00+00:00,2013-02-11 14:00:00+00:00,2013-02-11 14:30:00+00:00,1,-0.9999999999999901,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-12 13:00:00+00:00,2013-02-12 13:15:00+00:00,2013-02-12 13:45:00+00:00,1,-1.0,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-13 13:15:00+00:00,2013-02-13 13:30:00+00:00,2013-02-13 13:30:00+00:00,1,-1.0000000000000249,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-13 13:45:00+00:00,2013-02-13 14:00:00+00:00,2013-02-13 15:30:00+00:00,1,-0.9999999999999919,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-22 13:30:00+00:00,2013-02-22 13:45:00+00:00,2013-02-22 14:30:00+00:00,-1,-1.0,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-28 13:30:00+00:00,2013-02-28 13:45:00+00:00,2013-02-28 14:00:00+00:00,1,-1.0,SL,False
S2-14,impulse_retrace,EURJPY,2013-02-28 14:15:00+00:00,2013-02-28 14:30:00+00:00,2013-02-28 15:00:00+00:00,1,-0.9999999999999888,SL,False
S2-14,impulse_retrace,EURJPY,2013-03-12 14:45:00+00:00,2013-03-12 15:00:00+00:00,2013-03-12 15:00:00+00:00,1,-0.9999999999999815,SL,False
S2-14,impulse_retrace,EURJPY,2013-03-12 15:30:00+00:00,2013-03-12 15:45:00+00:00,2013-03-12 19:15:00+00:00,1,1.2500000000000238,TP,False
S2-14,impulse_retrace,EURJPY,2013-03-13 12:30:00+00:00,2013-03-13 12:45:00+00:00,2013-03-13 13:15:00+00:00,-1,-1.0000000000000213,SL,False
S2-14,impulse_retrace,EURJPY,2013-03-13 13:30:00+00:00,2013-03-13 13:45:00+00:00,2013-03-13 17:30:00+00:00,-1,-0.37392654407840475,TIME,False
S2-14,impulse_retrace,EURJPY,2013-03-15 12:30:00+00:00,2013-03-15 12:45:00+00:00,2013-03-15 12:45:00+00:00,1,-0.9999999999999876,SL,False
