hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-20,weekly_failed_break,GBPAUD,2013-01-09 10:30:00+00:00,2013-01-09 10:45:00+00:00,2013-01-09 11:15:00+00:00,1,-0.9999999999999108,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-01-21 15:15:00+00:00,2013-01-21 15:30:00+00:00,2013-01-21 15:30:00+00:00,1,-1.0,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-01-21 15:30:00+00:00,2013-01-21 15:45:00+00:00,2013-01-21 16:00:00+00:00,1,-0.9999999999998824,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-02-01 14:15:00+00:00,2013-02-01 14:30:00+00:00,2013-02-01 14:45:00+00:00,-1,1.100000000000038,TP,False
S2-20,weekly_failed_break,GBPAUD,2013-02-15 14:30:00+00:00,2013-02-15 14:45:00+00:00,2013-02-15 14:45:00+00:00,1,-0.9999999999999584,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-02-15 15:00:00+00:00,2013-02-15 15:15:00+00:00,2013-02-15 15:15:00+00:00,1,1.099999999999989,TP,False
S2-20,weekly_failed_break,GBPAUD,2013-03-08 02:00:00+00:00,2013-03-08 02:15:00+00:00,2013-03-08 02:15:00+00:00,1,-0.9999999999999313,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-08 02:15:00+00:00,2013-03-08 02:30:00+00:00,2013-03-08 02:30:00+00:00,1,1.0999999999999004,TP,False
S2-20,weekly_failed_break,GBPAUD,2013-03-08 09:00:00+00:00,2013-03-08 09:15:00+00:00,2013-03-08 12:15:00+00:00,1,-1.0000000000000813,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-08 12:15:00+00:00,2013-03-08 12:30:00+00:00,2013-03-08 13:00:00+00:00,1,-0.9999999999999186,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-14 17:15:00+00:00,2013-03-14 17:30:00+00:00,2013-03-14 18:15:00+00:00,1,-0.9999999999999529,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-15 16:00:00+00:00,2013-03-15 16:15:00+00:00,2013-03-15 16:15:00+00:00,1,-0.2560017865783303,FRIDAY,False
S2-20,weekly_failed_break,GBPAUD,2013-03-15 16:15:00+00:00,2013-03-15 16:30:00+00:00,2013-03-15 16:30:00+00:00,1,-0.5315193995253601,FRIDAY,False
S2-20,weekly_failed_break,GBPAUD,2013-03-15 16:45:00+00:00,2013-03-15 17:00:00+00:00,2013-03-15 17:00:00+00:00,1,-0.9373025706280905,FRIDAY,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 02:30:00+00:00,2013-03-27 02:45:00+00:00,2013-03-27 03:00:00+00:00,1,-0.9999999999999009,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 03:15:00+00:00,2013-03-27 03:30:00+00:00,2013-03-27 03:30:00+00:00,1,-0.9999999999999072,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 03:45:00+00:00,2013-03-27 04:00:00+00:00,2013-03-27 04:30:00+00:00,1,-1.0,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 04:30:00+00:00,2013-03-27 04:45:00+00:00,2013-03-27 04:45:00+00:00,1,-1.0000000000001597,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 14:00:00+00:00,2013-03-27 14:15:00+00:00,2013-03-27 14:15:00+00:00,1,-1.0,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 14:45:00+00:00,2013-03-27 15:00:00+00:00,2013-03-27 15:45:00+00:00,1,-0.9999999999999513,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 15:45:00+00:00,2013-03-27 16:00:00+00:00,2013-03-27 17:15:00+00:00,1,1.099999999999979,TP,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 17:45:00+00:00,2013-03-27 18:00:00+00:00,2013-03-27 21:45:00+00:00,1,-0.08867106503298774,TIME,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 21:45:00+00:00,2013-03-27 22:00:00+00:00,2013-03-27 22:15:00+00:00,1,-1.0000000000001297,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-03-27 22:15:00+00:00,2013-03-27 22:30:00+00:00,2013-03-27 23:45:00+00:00,1,-1.0000000000000904,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-04-19 07:30:00+00:00,2013-04-19 07:45:00+00:00,2013-04-19 08:00:00+00:00,-1,-1.0,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-04-23 08:30:00+00:00,2013-04-23 08:45:00+00:00,2013-04-23 08:45:00+00:00,-1,-1.0,SL,False
S2-20,weekly_failed_break,GBPAUD,2013-04-23 09:00:00+00:00,2013-04-23 09:15:00+00:00,2013-04-23 09:30:00+00:00,-1,1.099999999999959,TP,False
S2-20,weekly_failed_break,GBPAUD,2013-04-23 11:00:00+00:00,2013-04-23 11:15:00+00:00,2013-04-23 11:15:00+00:00,-1,-0.9999999999999398,SL,False
