hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-15,three_bar_momentum,GBPJPY,2013-01-02 13:45:00+00:00,2013-01-02 14:00:00+00:00,2013-01-02 14:30:00+00:00,1,1.250000000000072,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-02 14:30:00+00:00,2013-01-02 14:45:00+00:00,2013-01-02 15:30:00+00:00,1,-0.9999999999999186,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-03 12:00:00+00:00,2013-01-03 12:15:00+00:00,2013-01-03 12:15:00+00:00,-1,1.25,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-03 15:45:00+00:00,2013-01-03 16:00:00+00:00,2013-01-03 18:15:00+00:00,-1,-0.9999999999999303,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-07 13:00:00+00:00,2013-01-07 13:15:00+00:00,2013-01-07 13:15:00+00:00,-1,-0.9999999999999707,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-07 14:45:00+00:00,2013-01-07 15:00:00+00:00,2013-01-07 15:00:00+00:00,-1,-1.0000000000000806,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-07 15:45:00+00:00,2013-01-07 16:00:00+00:00,2013-01-07 16:00:00+00:00,-1,-1.0000000000000473,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-08 12:45:00+00:00,2013-01-08 13:00:00+00:00,2013-01-08 13:00:00+00:00,-1,1.25000000000007,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-08 14:30:00+00:00,2013-01-08 14:45:00+00:00,2013-01-08 15:00:00+00:00,-1,1.2499999999999758,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-08 15:15:00+00:00,2013-01-08 15:30:00+00:00,2013-01-08 15:30:00+00:00,-1,1.2499999999999782,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-08 15:30:00+00:00,2013-01-08 15:45:00+00:00,2013-01-08 16:30:00+00:00,-1,-0.9999999999999409,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-09 12:00:00+00:00,2013-01-09 12:15:00+00:00,2013-01-09 12:30:00+00:00,-1,-1.0000000000000544,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-10 12:45:00+00:00,2013-01-10 13:00:00+00:00,2013-01-10 13:30:00+00:00,1,-1.000000000000028,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-10 15:15:00+00:00,2013-01-10 15:30:00+00:00,2013-01-10 15:30:00+00:00,1,-1.0000000000000386,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-10 15:30:00+00:00,2013-01-10 15:45:00+00:00,2013-01-10 17:30:00+00:00,1,1.249999999999942,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-11 13:00:00+00:00,2013-01-11 13:15:00+00:00,2013-01-11 13:30:00+00:00,1,1.2500000000000506,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-11 13:30:00+00:00,2013-01-11 13:45:00+00:00,2013-01-11 14:15:00+00:00,1,1.2499999999999312,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-11 14:30:00+00:00,2013-01-11 14:45:00+00:00,2013-01-11 14:45:00+00:00,1,-1.0000000000000582,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-15 12:00:00+00:00,2013-01-15 12:15:00+00:00,2013-01-15 12:15:00+00:00,-1,-1.0000000000000164,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-15 12:15:00+00:00,2013-01-15 12:30:00+00:00,2013-01-15 12:45:00+00:00,-1,-1.0000000000000169,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-16 12:30:00+00:00,2013-01-16 12:45:00+00:00,2013-01-16 12:45:00+00:00,-1,1.25,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-16 12:45:00+00:00,2013-01-16 13:00:00+00:00,2013-01-16 13:00:00+00:00,-1,-0.9999999999999843,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-16 13:00:00+00:00,2013-01-16 13:15:00+00:00,2013-01-16 14:30:00+00:00,-1,-0.9999999999999851,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-17 15:15:00+00:00,2013-01-17 15:30:00+00:00,2013-01-17 16:15:00+00:00,1,1.2500000000000486,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-21 15:00:00+00:00,2013-01-21 15:15:00+00:00,2013-01-21 15:45:00+00:00,-1,-0.9999999999998925,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-22 15:15:00+00:00,2013-01-22 15:30:00+00:00,2013-01-22 19:15:00+00:00,-1,-0.6014613524115364,TIME,False
S2-15,three_bar_momentum,GBPJPY,2013-01-24 14:00:00+00:00,2013-01-24 14:15:00+00:00,2013-01-24 14:15:00+00:00,1,-0.9999999999999555,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-24 15:00:00+00:00,2013-01-24 15:15:00+00:00,2013-01-24 15:45:00+00:00,1,1.25,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-25 12:30:00+00:00,2013-01-25 12:45:00+00:00,2013-01-25 13:00:00+00:00,1,1.25,TP,False
S2-15,three_bar_momentum,GBPJPY,2013-01-25 13:00:00+00:00,2013-01-25 13:15:00+00:00,2013-01-25 13:30:00+00:00,1,-1.0000000000000535,SL,False
S2-15,three_bar_momentum,GBPJPY,2013-01-25 14:15:00+00:00,2013-01-25 14:30:00+00:00,2013-01-25 15:00:00+00:00,1,-0.9999999999999686,SL,False
