hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-02,first_pullback,GBPUSD,2013-01-22 10:30:00+00:00,2013-01-22 10:45:00+00:00,2013-01-22 11:00:00+00:00,-1,-0.9999999999999563,SL,False
S2-02,first_pullback,GBPUSD,2013-01-31 08:15:00+00:00,2013-01-31 08:30:00+00:00,2013-01-31 08:30:00+00:00,1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-01-31 08:45:00+00:00,2013-01-31 09:00:00+00:00,2013-01-31 09:15:00+00:00,1,1.249999999999945,TP,False
S2-02,first_pullback,GBPUSD,2013-02-05 11:15:00+00:00,2013-02-05 11:30:00+00:00,2013-02-05 11:45:00+00:00,1,-0.9999999999999417,SL,False
S2-02,first_pullback,GBPUSD,2013-02-06 09:45:00+00:00,2013-02-06 10:00:00+00:00,2013-02-06 10:45:00+00:00,-1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-02-08 10:00:00+00:00,2013-02-08 10:15:00+00:00,2013-02-08 10:30:00+00:00,1,1.2499999999999725,TP,False
S2-02,first_pullback,GBPUSD,2013-02-12 08:15:00+00:00,2013-02-12 08:30:00+00:00,2013-02-12 08:45:00+00:00,-1,1.2499999999998945,TP,False
S2-02,first_pullback,GBPUSD,2013-02-13 10:15:00+00:00,2013-02-13 10:30:00+00:00,2013-02-13 10:30:00+00:00,-1,-1.000000000000025,SL,True
S2-02,first_pullback,GBPUSD,2013-02-13 10:30:00+00:00,2013-02-13 10:45:00+00:00,2013-02-13 10:45:00+00:00,-1,1.249999999999967,TP,False
S2-02,first_pullback,GBPUSD,2013-02-15 10:45:00+00:00,2013-02-15 11:00:00+00:00,2013-02-15 14:30:00+00:00,-1,-0.9999999999999848,SL,False
S2-02,first_pullback,GBPUSD,2013-02-18 09:45:00+00:00,2013-02-18 10:00:00+00:00,2013-02-18 12:45:00+00:00,-1,-1.0000000000000557,SL,False
S2-02,first_pullback,GBPUSD,2013-02-21 07:30:00+00:00,2013-02-21 07:45:00+00:00,2013-02-21 08:30:00+00:00,-1,-0.9999999999999628,SL,False
S2-02,first_pullback,GBPUSD,2013-02-22 11:30:00+00:00,2013-02-22 11:45:00+00:00,2013-02-22 12:30:00+00:00,-1,-0.9999999999999333,SL,False
S2-02,first_pullback,GBPUSD,2013-02-27 07:45:00+00:00,2013-02-27 08:00:00+00:00,2013-02-27 08:00:00+00:00,-1,-1.0000000000000355,SL,False
S2-02,first_pullback,GBPUSD,2013-02-28 09:15:00+00:00,2013-02-28 09:30:00+00:00,2013-02-28 09:30:00+00:00,1,-0.9999999999999252,SL,False
S2-02,first_pullback,GBPUSD,2013-02-28 09:45:00+00:00,2013-02-28 10:00:00+00:00,2013-02-28 10:15:00+00:00,1,-0.9999999999999035,SL,False
S2-02,first_pullback,GBPUSD,2013-03-05 09:15:00+00:00,2013-03-05 09:30:00+00:00,2013-03-05 09:30:00+00:00,1,1.249999999999957,TP,False
S2-02,first_pullback,GBPUSD,2013-03-05 11:00:00+00:00,2013-03-05 11:15:00+00:00,2013-03-05 15:00:00+00:00,1,-0.9999999999999512,SL,False
S2-02,first_pullback,GBPUSD,2013-03-08 07:45:00+00:00,2013-03-08 08:00:00+00:00,2013-03-08 08:00:00+00:00,-1,-1.0000000000000355,SL,False
S2-02,first_pullback,GBPUSD,2013-03-12 11:45:00+00:00,2013-03-12 12:00:00+00:00,2013-03-12 12:30:00+00:00,-1,-0.9999999999999656,SL,False
S2-02,first_pullback,GBPUSD,2013-03-18 11:45:00+00:00,2013-03-18 12:00:00+00:00,2013-03-18 14:15:00+00:00,1,1.2499999999999372,TP,False
S2-02,first_pullback,GBPUSD,2013-03-20 09:45:00+00:00,2013-03-20 10:00:00+00:00,2013-03-20 10:00:00+00:00,-1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-04-05 11:15:00+00:00,2013-04-05 11:30:00+00:00,2013-04-05 12:00:00+00:00,1,1.2500000000000582,TP,False
S2-02,first_pullback,GBPUSD,2013-04-16 09:45:00+00:00,2013-04-16 10:00:00+00:00,2013-04-16 10:30:00+00:00,-1,-0.9999999999999565,SL,False
S2-02,first_pullback,GBPUSD,2013-04-22 07:15:00+00:00,2013-04-22 07:30:00+00:00,2013-04-22 07:30:00+00:00,-1,1.25,TP,False
S2-02,first_pullback,GBPUSD,2013-04-22 07:30:00+00:00,2013-04-22 07:45:00+00:00,2013-04-22 07:45:00+00:00,-1,-0.9999999999999072,SL,False
S2-02,first_pullback,GBPUSD,2013-04-24 11:15:00+00:00,2013-04-24 11:30:00+00:00,2013-04-24 12:15:00+00:00,1,-0.9999999999999528,SL,False
S2-02,first_pullback,GBPUSD,2013-05-02 11:45:00+00:00,2013-05-02 12:00:00+00:00,2013-05-02 12:00:00+00:00,1,-1.0000000000000753,SL,False
S2-02,first_pullback,GBPUSD,2013-05-07 08:15:00+00:00,2013-05-07 08:30:00+00:00,2013-05-07 09:45:00+00:00,-1,1.2500000000000864,TP,False
S2-02,first_pullback,GBPUSD,2013-05-09 09:30:00+00:00,2013-05-09 09:45:00+00:00,2013-05-09 10:45:00+00:00,1,1.2499999999999727,TP,False
S2-02,first_pullback,GBPUSD,2013-05-10 11:15:00+00:00,2013-05-10 11:30:00+00:00,2013-05-10 12:30:00+00:00,-1,-1.0000000000000213,SL,False
S2-02,first_pullback,GBPUSD,2013-05-17 09:45:00+00:00,2013-05-17 10:00:00+00:00,2013-05-17 10:00:00+00:00,-1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-05-27 07:00:00+00:00,2013-05-27 07:15:00+00:00,2013-05-27 07:30:00+00:00,1,1.2499999999998814,TP,False
S2-02,first_pullback,GBPUSD,2013-05-28 09:30:00+00:00,2013-05-28 09:45:00+00:00,2013-05-28 09:45:00+00:00,-1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-05-30 10:45:00+00:00,2013-05-30 11:00:00+00:00,2013-05-30 11:15:00+00:00,1,-1.0000000000000442,SL,False
S2-02,first_pullback,GBPUSD,2013-06-12 08:30:00+00:00,2013-06-12 08:45:00+00:00,2013-06-12 10:45:00+00:00,1,-1.0000000000000764,SL,False
S2-02,first_pullback,GBPUSD,2013-06-17 10:15:00+00:00,2013-06-17 10:30:00+00:00,2013-06-17 10:30:00+00:00,1,-0.9999999999999009,SL,False
S2-02,first_pullback,GBPUSD,2013-06-17 10:45:00+00:00,2013-06-17 11:00:00+00:00,2013-06-17 11:45:00+00:00,1,1.250000000000065,TP,False
S2-02,first_pullback,GBPUSD,2013-06-21 10:45:00+00:00,2013-06-21 11:00:00+00:00,2013-06-21 11:00:00+00:00,-1,1.25,TP,False
S2-02,first_pullback,GBPUSD,2013-06-25 07:15:00+00:00,2013-06-25 07:30:00+00:00,2013-06-25 08:45:00+00:00,1,-0.9999999999999746,SL,False
S2-02,first_pullback,GBPUSD,2013-06-27 11:30:00+00:00,2013-06-27 11:45:00+00:00,2013-06-27 12:15:00+00:00,-1,1.2499999999999534,TP,False
S2-02,first_pullback,GBPUSD,2013-06-28 07:30:00+00:00,2013-06-28 07:45:00+00:00,2013-06-28 08:00:00+00:00,-1,1.25,TP,False
S2-02,first_pullback,GBPUSD,2013-06-28 09:00:00+00:00,2013-06-28 09:15:00+00:00,2013-06-28 10:15:00+00:00,-1,1.249999999999921,TP,False
S2-02,first_pullback,GBPUSD,2013-06-28 11:45:00+00:00,2013-06-28 12:00:00+00:00,2013-06-28 12:00:00+00:00,-1,-0.9999999999999457,SL,False
S2-02,first_pullback,GBPUSD,2013-07-01 08:45:00+00:00,2013-07-01 09:00:00+00:00,2013-07-01 09:30:00+00:00,-1,-1.0000000000000209,SL,False
S2-02,first_pullback,GBPUSD,2013-07-09 07:45:00+00:00,2013-07-09 08:00:00+00:00,2013-07-09 08:00:00+00:00,1,1.2500000000000266,TP,False
S2-02,first_pullback,GBPUSD,2013-07-09 08:00:00+00:00,2013-07-09 08:15:00+00:00,2013-07-09 08:30:00+00:00,1,-0.99999999999995,SL,False
S2-02,first_pullback,GBPUSD,2013-07-16 10:45:00+00:00,2013-07-16 11:00:00+00:00,2013-07-16 12:30:00+00:00,-1,1.2500000000000404,TP,False
S2-02,first_pullback,GBPUSD,2013-07-24 08:15:00+00:00,2013-07-24 08:30:00+00:00,2013-07-24 09:30:00+00:00,1,-0.9999999999999457,SL,False
S2-02,first_pullback,GBPUSD,2013-07-29 10:15:00+00:00,2013-07-29 10:30:00+00:00,2013-07-29 11:00:00+00:00,1,-0.9999999999999453,SL,False
S2-02,first_pullback,GBPUSD,2013-07-30 11:45:00+00:00,2013-07-30 12:00:00+00:00,2013-07-30 12:45:00+00:00,-1,-1.0000000000000284,SL,False
S2-02,first_pullback,GBPUSD,2013-07-31 09:15:00+00:00,2013-07-31 09:30:00+00:00,2013-07-31 10:30:00+00:00,-1,1.2499999999999767,TP,False
S2-02,first_pullback,GBPUSD,2013-08-05 07:00:00+00:00,2013-08-05 07:15:00+00:00,2013-08-05 07:15:00+00:00,1,1.2500000000000349,TP,False
S2-02,first_pullback,GBPUSD,2013-08-06 10:15:00+00:00,2013-08-06 10:30:00+00:00,2013-08-06 10:45:00+00:00,1,-0.9999999999999729,SL,False
S2-02,first_pullback,GBPUSD,2013-08-08 07:45:00+00:00,2013-08-08 08:00:00+00:00,2013-08-08 08:00:00+00:00,1,-0.9999999999999711,SL,False
S2-02,first_pullback,GBPUSD,2013-08-16 09:15:00+00:00,2013-08-16 09:30:00+00:00,2013-08-16 10:00:00+00:00,1,1.249999999999921,TP,False
S2-02,first_pullback,GBPUSD,2013-08-28 07:45:00+00:00,2013-08-28 08:00:00+00:00,2013-08-28 08:30:00+00:00,-1,1.250000000000113,TP,False
S2-02,first_pullback,GBPUSD,2013-08-30 11:30:00+00:00,2013-08-30 11:45:00+00:00,2013-08-30 12:30:00+00:00,-1,1.2499999999999711,TP,False
S2-02,first_pullback,GBPUSD,2013-09-06 11:45:00+00:00,2013-09-06 12:00:00+00:00,2013-09-06 12:15:00+00:00,-1,1.2500000000000824,TP,False
S2-02,first_pullback,GBPUSD,2013-09-20 08:15:00+00:00,2013-09-20 08:30:00+00:00,2013-09-20 08:30:00+00:00,1,-1.0000000000000897,SL,False
S2-02,first_pullback,GBPUSD,2013-09-23 07:00:00+00:00,2013-09-23 07:15:00+00:00,2013-09-23 07:30:00+00:00,1,1.25,TP,False
S2-02,first_pullback,GBPUSD,2013-09-23 09:45:00+00:00,2013-09-23 10:00:00+00:00,2013-09-23 10:45:00+00:00,1,1.2499999999999698,TP,False
S2-02,first_pullback,GBPUSD,2013-09-26 08:45:00+00:00,2013-09-26 09:00:00+00:00,2013-09-26 09:00:00+00:00,1,-1.0000000000000822,SL,False
S2-02,first_pullback,GBPUSD,2013-09-30 11:45:00+00:00,2013-09-30 12:00:00+00:00,2013-09-30 12:00:00+00:00,1,1.24999999999994,TP,False
S2-02,first_pullback,GBPUSD,2013-10-21 07:15:00+00:00,2013-10-21 07:30:00+00:00,2013-10-21 08:00:00+00:00,1,-0.9999999999998754,SL,False
S2-02,first_pullback,GBPUSD,2013-10-21 08:15:00+00:00,2013-10-21 08:30:00+00:00,2013-10-21 09:30:00+00:00,1,-1.0,SL,False
S2-02,first_pullback,GBPUSD,2013-10-29 09:45:00+00:00,2013-10-29 10:00:00+00:00,2013-10-29 10:45:00+00:00,-1,1.249999999999938,TP,False
S2-02,first_pullback,GBPUSD,2013-11-15 08:30:00+00:00,2013-11-15 08:45:00+00:00,2013-11-15 08:45:00+00:00,1,-1.0000000000001374,SL,False
S2-02,first_pullback,GBPUSD,2013-11-18 07:15:00+00:00,2013-11-18 07:30:00+00:00,2013-11-18 07:30:00+00:00,1,-0.9999999999997925,SL,False
S2-02,first_pullback,GBPUSD,2013-11-18 07:45:00+00:00,2013-11-18 08:00:00+00:00,2013-11-18 08:00:00+00:00,1,-1.0000000000001181,SL,False
S2-02,first_pullback,GBPUSD,2013-11-20 09:45:00+00:00,2013-11-20 10:00:00+00:00,2013-11-20 10:00:00+00:00,1,1.2500000000000546,TP,False
S2-02,first_pullback,GBPUSD,2013-12-04 11:30:00+00:00,2013-12-04 11:45:00+00:00,2013-12-04 13:15:00+00:00,-1,1.2499999999999312,TP,False
S2-02,first_pullback,GBPUSD,2013-12-16 10:30:00+00:00,2013-12-16 10:45:00+00:00,2013-12-16 11:30:00+00:00,1,1.2500000000000282,TP,False
S2-02,first_pullback,GBPUSD,2013-12-30 09:30:00+00:00,2013-12-30 09:45:00+00:00,2013-12-30 09:45:00+00:00,1,1.2499999999998754,TP,False
S2-02,first_pullback,GBPUSD,2013-12-30 09:45:00+00:00,2013-12-30 10:00:00+00:00,2013-12-30 10:00:00+00:00,1,-0.9999999999999626,SL,False
S2-02,first_pullback,GBPUSD,2013-12-30 10:45:00+00:00,2013-12-30 11:00:00+00:00,2013-12-30 11:15:00+00:00,1,-0.9999999999999689,SL,False
S2-02,first_pullback,GBPUSD,2014-01-15 09:15:00+00:00,2014-01-15 09:30:00+00:00,2014-01-15 09:45:00+00:00,-1,-0.9999999999999755,SL,False
S2-02,first_pullback,GBPUSD,2014-01-20 07:15:00+00:00,2014-01-20 07:30:00+00:00,2014-01-20 07:30:00+00:00,1,-0.9999999999998483,SL,False
