hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-15,three_bar_momentum,NZDUSD,2013-01-02 12:45:00+00:00,2013-01-02 13:00:00+00:00,2013-01-02 13:30:00+00:00,1,1.2499999999999651,TP,False
S2-15,three_bar_momentum,NZDUSD,2013-01-02 13:30:00+00:00,2013-01-02 13:45:00+00:00,2013-01-02 13:45:00+00:00,1,-1.0000000000000342,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-02 13:45:00+00:00,2013-01-02 14:00:00+00:00,2013-01-02 15:30:00+00:00,1,-0.9999999999999826,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-03 14:00:00+00:00,2013-01-03 14:15:00+00:00,2013-01-03 14:15:00+00:00,1,-0.9999999999999756,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-07 12:15:00+00:00,2013-01-07 12:30:00+00:00,2013-01-07 13:30:00+00:00,1,-0.9999999999999832,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-07 14:00:00+00:00,2013-01-07 14:15:00+00:00,2013-01-07 14:45:00+00:00,1,-0.9999999999999788,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-08 12:00:00+00:00,2013-01-08 12:15:00+00:00,2013-01-08 12:30:00+00:00,1,-1.0000000000000655,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-08 14:15:00+00:00,2013-01-08 14:30:00+00:00,2013-01-08 15:15:00+00:00,1,-1.0000000000000673,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-09 13:00:00+00:00,2013-01-09 13:15:00+00:00,2013-01-09 13:15:00+00:00,1,1.2499999999999352,TP,False
S2-15,three_bar_momentum,NZDUSD,2013-01-09 13:15:00+00:00,2013-01-09 13:30:00+00:00,2013-01-09 14:00:00+00:00,1,1.2499999999999372,TP,False
S2-15,three_bar_momentum,NZDUSD,2013-01-10 13:45:00+00:00,2013-01-10 14:00:00+00:00,2013-01-10 14:15:00+00:00,1,1.2499999999999567,TP,False
S2-15,three_bar_momentum,NZDUSD,2013-01-10 14:15:00+00:00,2013-01-10 14:30:00+00:00,2013-01-10 14:30:00+00:00,1,-0.9999999999999586,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-10 14:30:00+00:00,2013-01-10 14:45:00+00:00,2013-01-10 14:45:00+00:00,1,-1.000000000000039,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-14 13:45:00+00:00,2013-01-14 14:00:00+00:00,2013-01-14 14:00:00+00:00,1,-1.0000000000000602,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-14 14:00:00+00:00,2013-01-14 14:15:00+00:00,2013-01-14 14:15:00+00:00,1,-1.0000000000000282,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-16 12:00:00+00:00,2013-01-16 12:15:00+00:00,2013-01-16 13:15:00+00:00,-1,-1.0000000000000218,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-16 14:00:00+00:00,2013-01-16 14:15:00+00:00,2013-01-16 14:30:00+00:00,-1,-0.999999999999954,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-17 14:45:00+00:00,2013-01-17 15:00:00+00:00,2013-01-17 15:00:00+00:00,-1,-1.0,SL,False
S2-15,three_bar_momentum,NZDUSD,2013-01-18 12:15:00+00:00,2013-01-18 12:30:00+00:00,2013-01-18 12:45:00+00:00,-1,-1.0000000000000482,SL,False
