hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-06,london_failed_break,USDCAD,2013-01-02 10:15:00+00:00,2013-01-02 10:30:00+00:00,2013-01-02 11:00:00+00:00,1,-1.0000000000000597,SL,False
S2-06,london_failed_break,USDCAD,2013-01-03 08:30:00+00:00,2013-01-03 08:45:00+00:00,2013-01-03 09:00:00+00:00,1,-1.0000000000000409,SL,False
S2-06,london_failed_break,USDCAD,2013-01-03 10:00:00+00:00,2013-01-03 10:15:00+00:00,2013-01-03 10:15:00+00:00,1,-1.00000000000008,SL,False
S2-06,london_failed_break,USDCAD,2013-01-03 10:30:00+00:00,2013-01-03 10:45:00+00:00,2013-01-03 11:45:00+00:00,1,1.1000000000000534,TP,False
S2-06,london_failed_break,USDCAD,2013-01-04 07:30:00+00:00,2013-01-04 07:45:00+00:00,2013-01-04 07:45:00+00:00,-1,-1.0000000000001368,SL,False
S2-06,london_failed_break,USDCAD,2013-01-08 07:30:00+00:00,2013-01-08 07:45:00+00:00,2013-01-08 07:45:00+00:00,-1,1.099999999999863,TP,False
S2-06,london_failed_break,USDCAD,2013-01-08 07:45:00+00:00,2013-01-08 08:00:00+00:00,2013-01-08 08:00:00+00:00,-1,-1.0000000000000464,SL,False
S2-06,london_failed_break,USDCAD,2013-01-09 09:00:00+00:00,2013-01-09 09:15:00+00:00,2013-01-09 09:30:00+00:00,1,1.1000000000000243,TP,False
S2-06,london_failed_break,USDCAD,2013-01-09 11:00:00+00:00,2013-01-09 11:15:00+00:00,2013-01-09 11:30:00+00:00,-1,-1.000000000000083,SL,False
S2-06,london_failed_break,USDCAD,2013-01-11 07:00:00+00:00,2013-01-11 07:15:00+00:00,2013-01-11 07:30:00+00:00,-1,-0.9999999999998965,SL,False
S2-06,london_failed_break,USDCAD,2013-01-11 09:30:00+00:00,2013-01-11 09:45:00+00:00,2013-01-11 10:00:00+00:00,1,1.100000000000112,TP,False
S2-06,london_failed_break,USDCAD,2013-01-14 10:15:00+00:00,2013-01-14 10:30:00+00:00,2013-01-14 11:00:00+00:00,1,1.1000000000001262,TP,False
S2-06,london_failed_break,USDCAD,2013-01-15 07:45:00+00:00,2013-01-15 08:00:00+00:00,2013-01-15 08:15:00+00:00,-1,1.1000000000001462,TP,False
S2-06,london_failed_break,USDCAD,2013-01-16 10:15:00+00:00,2013-01-16 10:30:00+00:00,2013-01-16 10:30:00+00:00,-1,-0.9999999999999668,SL,False
S2-06,london_failed_break,USDCAD,2013-01-16 11:00:00+00:00,2013-01-16 11:15:00+00:00,2013-01-16 11:45:00+00:00,-1,-1.0000000000000646,SL,False
S2-06,london_failed_break,USDCAD,2013-01-17 11:30:00+00:00,2013-01-17 11:45:00+00:00,2013-01-17 13:15:00+00:00,-1,1.1000000000000274,TP,False
S2-06,london_failed_break,USDCAD,2013-01-18 07:00:00+00:00,2013-01-18 07:15:00+00:00,2013-01-18 07:15:00+00:00,-1,-0.99999999999993,SL,False
S2-06,london_failed_break,USDCAD,2013-01-22 09:15:00+00:00,2013-01-22 09:30:00+00:00,2013-01-22 10:00:00+00:00,-1,1.1000000000000167,TP,False
S2-06,london_failed_break,USDCAD,2013-01-23 07:15:00+00:00,2013-01-23 07:30:00+00:00,2013-01-23 08:00:00+00:00,-1,1.099999999999856,TP,False
S2-06,london_failed_break,USDCAD,2013-01-23 11:30:00+00:00,2013-01-23 11:45:00+00:00,2013-01-23 12:00:00+00:00,1,-0.9999999999999198,SL,False
S2-06,london_failed_break,USDCAD,2013-01-24 08:00:00+00:00,2013-01-24 08:15:00+00:00,2013-01-24 08:15:00+00:00,-1,1.09999999999992,TP,False
S2-06,london_failed_break,USDCAD,2013-01-24 11:15:00+00:00,2013-01-24 11:30:00+00:00,2013-01-24 11:30:00+00:00,-1,-0.9999999999998687,SL,False
S2-06,london_failed_break,USDCAD,2013-01-25 09:45:00+00:00,2013-01-25 10:00:00+00:00,2013-01-25 10:15:00+00:00,-1,-1.0000000000001428,SL,False
S2-06,london_failed_break,USDCAD,2013-01-25 10:45:00+00:00,2013-01-25 11:00:00+00:00,2013-01-25 11:00:00+00:00,-1,-0.9999999999999305,SL,False
S2-06,london_failed_break,USDCAD,2013-01-29 08:15:00+00:00,2013-01-29 08:30:00+00:00,2013-01-29 08:30:00+00:00,1,-1.0,SL,False
S2-06,london_failed_break,USDCAD,2013-01-29 09:00:00+00:00,2013-01-29 09:15:00+00:00,2013-01-29 09:30:00+00:00,1,1.1000000000000218,TP,False
S2-06,london_failed_break,USDCAD,2013-01-29 10:30:00+00:00,2013-01-29 10:45:00+00:00,2013-01-29 13:45:00+00:00,-1,1.1,TP,False
S2-06,london_failed_break,USDCAD,2013-01-30 09:30:00+00:00,2013-01-30 09:45:00+00:00,2013-01-30 09:45:00+00:00,-1,-1.0000000000002223,SL,False
S2-06,london_failed_break,USDCAD,2013-01-30 10:45:00+00:00,2013-01-30 11:00:00+00:00,2013-01-30 11:00:00+00:00,-1,-0.9999999999999365,SL,False
S2-06,london_failed_break,USDCAD,2013-01-30 11:45:00+00:00,2013-01-30 12:00:00+00:00,2013-01-30 12:45:00+00:00,-1,-0.9999999999998677,SL,False
S2-06,london_failed_break,USDCAD,2013-01-31 07:00:00+00:00,2013-01-31 07:15:00+00:00,2013-01-31 07:15:00+00:00,-1,1.100000000000098,TP,False
S2-06,london_failed_break,USDCAD,2013-01-31 10:00:00+00:00,2013-01-31 10:15:00+00:00,2013-01-31 10:15:00+00:00,1,-1.0,SL,False
S2-06,london_failed_break,USDCAD,2013-02-01 08:45:00+00:00,2013-02-01 09:00:00+00:00,2013-02-01 09:00:00+00:00,-1,-0.9999999999999133,SL,False
S2-06,london_failed_break,USDCAD,2013-02-04 07:15:00+00:00,2013-02-04 07:30:00+00:00,2013-02-04 07:30:00+00:00,1,-1.0000000000001317,SL,False
S2-06,london_failed_break,USDCAD,2013-02-04 08:00:00+00:00,2013-02-04 08:15:00+00:00,2013-02-04 08:15:00+00:00,1,-0.9999999999998922,SL,False
S2-06,london_failed_break,USDCAD,2013-02-04 08:30:00+00:00,2013-02-04 08:45:00+00:00,2013-02-04 08:45:00+00:00,1,-1.0,SL,False
S2-06,london_failed_break,USDCAD,2013-02-04 08:45:00+00:00,2013-02-04 09:00:00+00:00,2013-02-04 09:00:00+00:00,1,-1.0000000000000444,SL,False
S2-06,london_failed_break,USDCAD,2013-02-05 11:45:00+00:00,2013-02-05 12:00:00+00:00,2013-02-05 12:00:00+00:00,1,-1.0000000000000324,SL,False
S2-06,london_failed_break,USDCAD,2013-02-06 07:15:00+00:00,2013-02-06 07:30:00+00:00,2013-02-06 07:30:00+00:00,-1,-1.000000000000182,SL,True
