hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-11,trend_compression_break,USDCHF,2013-01-03 07:45:00+00:00,2013-01-03 08:00:00+00:00,2013-01-03 08:00:00+00:00,1,-1.0000000000000375,SL,False
S2-11,trend_compression_break,USDCHF,2013-01-04 07:00:00+00:00,2013-01-04 07:15:00+00:00,2013-01-04 07:30:00+00:00,1,-0.9999999999999335,SL,False
S2-11,trend_compression_break,USDCHF,2013-12-17 07:00:00+00:00,2013-12-17 07:15:00+00:00,2013-12-17 07:15:00+00:00,-1,-1.0000000000002751,SL,True
S2-11,trend_compression_break,USDCHF,2013-12-17 07:15:00+00:00,2013-12-17 07:30:00+00:00,2013-12-17 07:30:00+00:00,-1,-1.0000000000001574,SL,False
S2-11,trend_compression_break,USDCHF,2013-12-24 07:00:00+00:00,2013-12-24 07:15:00+00:00,2013-12-24 07:30:00+00:00,-1,-1.0000000000002025,SL,False
S2-11,trend_compression_break,USDCHF,2014-02-27 07:00:00+00:00,2014-02-27 07:15:00+00:00,2014-02-27 07:15:00+00:00,1,-1.0000000000002074,SL,False
S2-11,trend_compression_break,USDCHF,2014-03-07 07:30:00+00:00,2014-03-07 07:45:00+00:00,2014-03-07 07:45:00+00:00,-1,1.25,TP,False
S2-11,trend_compression_break,USDCHF,2014-12-15 07:00:00+00:00,2014-12-15 07:15:00+00:00,2014-12-15 07:15:00+00:00,-1,1.2500000000000362,TP,False
S2-11,trend_compression_break,USDCHF,2014-12-15 07:15:00+00:00,2014-12-15 07:30:00+00:00,2014-12-15 07:30:00+00:00,-1,-1.0,SL,False
S2-11,trend_compression_break,USDCHF,2015-01-28 07:15:00+00:00,2015-01-28 07:30:00+00:00,2015-01-28 07:30:00+00:00,1,1.249999999999987,TP,False
S2-11,trend_compression_break,USDCHF,2015-01-28 07:30:00+00:00,2015-01-28 07:45:00+00:00,2015-01-28 08:00:00+00:00,1,-1.0000000000000242,SL,False
S2-11,trend_compression_break,USDCHF,2015-02-02 07:00:00+00:00,2015-02-02 07:15:00+00:00,2015-02-02 07:30:00+00:00,1,1.249999999999965,TP,False
S2-11,trend_compression_break,USDCHF,2015-02-02 07:30:00+00:00,2015-02-02 07:45:00+00:00,2015-02-02 08:00:00+00:00,1,1.249999999999985,TP,False
S2-11,trend_compression_break,USDCHF,2015-02-09 07:00:00+00:00,2015-02-09 07:15:00+00:00,2015-02-09 07:30:00+00:00,1,1.2500000000000728,TP,False
S2-11,trend_compression_break,USDCHF,2015-09-18 07:00:00+00:00,2015-09-18 07:15:00+00:00,2015-09-18 07:30:00+00:00,-1,1.2499999999999265,TP,False
S2-11,trend_compression_break,USDCHF,2015-10-01 07:00:00+00:00,2015-10-01 07:15:00+00:00,2015-10-01 07:15:00+00:00,1,-1.000000000000037,SL,False
S2-11,trend_compression_break,USDCHF,2015-11-26 07:15:00+00:00,2015-11-26 07:30:00+00:00,2015-11-26 07:45:00+00:00,1,1.25,TP,False
S2-11,trend_compression_break,USDCHF,2015-12-08 07:00:00+00:00,2015-12-08 07:15:00+00:00,2015-12-08 07:15:00+00:00,-1,-0.9999999999999614,SL,False
S2-11,trend_compression_break,USDCHF,2015-12-24 07:15:00+00:00,2015-12-24 07:30:00+00:00,2015-12-24 07:30:00+00:00,-1,1.2499999999998763,TP,False
S2-11,trend_compression_break,USDCHF,2016-01-06 07:00:00+00:00,2016-01-06 07:15:00+00:00,2016-01-06 07:15:00+00:00,1,-0.999999999999813,SL,False
S2-11,trend_compression_break,USDCHF,2016-01-14 07:00:00+00:00,2016-01-14 07:15:00+00:00,2016-01-14 08:00:00+00:00,1,1.25,TP,False
