hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-04,london_or_break,USDJPY,2013-01-04 07:00:00+00:00,2013-01-04 07:15:00+00:00,2013-01-04 07:15:00+00:00,1,-0.9999999999998638,SL,False
S2-04,london_or_break,USDJPY,2013-01-04 07:15:00+00:00,2013-01-04 07:30:00+00:00,2013-01-04 07:30:00+00:00,1,1.2499999999999576,TP,False
S2-04,london_or_break,USDJPY,2013-01-04 07:30:00+00:00,2013-01-04 07:45:00+00:00,2013-01-04 07:45:00+00:00,1,-0.9999999999999278,SL,False
S2-04,london_or_break,USDJPY,2013-01-04 07:45:00+00:00,2013-01-04 08:00:00+00:00,2013-01-04 08:00:00+00:00,1,1.2499999999999039,TP,False
S2-04,london_or_break,USDJPY,2013-01-10 07:30:00+00:00,2013-01-10 07:45:00+00:00,2013-01-10 08:30:00+00:00,1,-1.000000000000127,SL,False
S2-04,london_or_break,USDJPY,2013-01-25 08:15:00+00:00,2013-01-25 08:30:00+00:00,2013-01-25 09:00:00+00:00,1,1.250000000000091,TP,False
S2-04,london_or_break,USDJPY,2013-02-07 11:45:00+00:00,2013-02-07 12:00:00+00:00,2013-02-07 12:30:00+00:00,1,-0.9999999999999422,SL,False
S2-04,london_or_break,USDJPY,2013-02-28 10:00:00+00:00,2013-02-28 10:15:00+00:00,2013-02-28 12:15:00+00:00,-1,-1.0,SL,False
S2-04,london_or_break,USDJPY,2013-04-10 07:15:00+00:00,2013-04-10 07:30:00+00:00,2013-04-10 07:30:00+00:00,1,1.2499999999999432,TP,False
S2-04,london_or_break,USDJPY,2013-04-10 07:30:00+00:00,2013-04-10 07:45:00+00:00,2013-04-10 07:45:00+00:00,1,-1.0000000000000246,SL,False
S2-04,london_or_break,USDJPY,2013-04-10 11:30:00+00:00,2013-04-10 11:45:00+00:00,2013-04-10 12:00:00+00:00,1,-1.0000000000000244,SL,False
S2-04,london_or_break,USDJPY,2013-04-18 09:30:00+00:00,2013-04-18 09:45:00+00:00,2013-04-18 10:30:00+00:00,1,-0.9999999999999658,SL,False
S2-04,london_or_break,USDJPY,2013-04-18 11:00:00+00:00,2013-04-18 11:15:00+00:00,2013-04-18 11:45:00+00:00,1,-1.0000000000000182,SL,False
S2-04,london_or_break,USDJPY,2013-05-03 07:15:00+00:00,2013-05-03 07:30:00+00:00,2013-05-03 07:30:00+00:00,1,-1.0000000000001297,SL,False
S2-04,london_or_break,USDJPY,2013-05-10 07:15:00+00:00,2013-05-10 07:30:00+00:00,2013-05-10 07:30:00+00:00,1,1.249999999999955,TP,False
S2-04,london_or_break,USDJPY,2013-05-10 07:30:00+00:00,2013-05-10 07:45:00+00:00,2013-05-10 08:00:00+00:00,1,-0.9999999999999779,SL,False
S2-04,london_or_break,USDJPY,2013-06-06 11:00:00+00:00,2013-06-06 11:15:00+00:00,2013-06-06 11:30:00+00:00,-1,-0.9999999999999569,SL,False
S2-04,london_or_break,USDJPY,2013-06-18 07:15:00+00:00,2013-06-18 07:30:00+00:00,2013-06-18 07:30:00+00:00,1,1.250000000000052,TP,False
S2-04,london_or_break,USDJPY,2013-06-18 07:30:00+00:00,2013-06-18 07:45:00+00:00,2013-06-18 08:00:00+00:00,1,-0.9999999999999509,SL,True
S2-04,london_or_break,USDJPY,2013-06-18 08:00:00+00:00,2013-06-18 08:15:00+00:00,2013-06-18 08:30:00+00:00,1,-1.0000000000000204,SL,False
S2-04,london_or_break,USDJPY,2013-06-18 11:45:00+00:00,2013-06-18 12:00:00+00:00,2013-06-18 12:15:00+00:00,1,1.2500000000000597,TP,False
S2-04,london_or_break,USDJPY,2013-07-01 11:15:00+00:00,2013-07-01 11:30:00+00:00,2013-07-01 12:00:00+00:00,1,1.2500000000000357,TP,False
S2-04,london_or_break,USDJPY,2013-07-26 10:00:00+00:00,2013-07-26 10:15:00+00:00,2013-07-26 12:15:00+00:00,-1,-1.0000000000000537,SL,False
S2-04,london_or_break,USDJPY,2013-08-01 10:15:00+00:00,2013-08-01 10:30:00+00:00,2013-08-01 11:15:00+00:00,1,-0.999999999999925,SL,False
S2-04,london_or_break,USDJPY,2013-08-22 11:30:00+00:00,2013-08-22 11:45:00+00:00,2013-08-22 12:30:00+00:00,1,-0.999999999999951,SL,False
S2-04,london_or_break,USDJPY,2013-10-07 11:00:00+00:00,2013-10-07 11:15:00+00:00,2013-10-07 12:00:00+00:00,-1,1.2499999999999623,TP,False
S2-04,london_or_break,USDJPY,2013-10-10 08:30:00+00:00,2013-10-10 08:45:00+00:00,2013-10-10 11:00:00+00:00,1,-1.0,SL,False
S2-04,london_or_break,USDJPY,2013-10-16 10:00:00+00:00,2013-10-16 10:15:00+00:00,2013-10-16 10:30:00+00:00,-1,-1.0,SL,False
S2-04,london_or_break,USDJPY,2013-10-16 10:30:00+00:00,2013-10-16 10:45:00+00:00,2013-10-16 11:15:00+00:00,-1,-1.0000000000001263,SL,False
S2-04,london_or_break,USDJPY,2013-10-16 11:30:00+00:00,2013-10-16 11:45:00+00:00,2013-10-16 11:45:00+00:00,-1,1.249999999999954,TP,False
S2-04,london_or_break,USDJPY,2013-10-16 11:45:00+00:00,2013-10-16 12:00:00+00:00,2013-10-16 12:00:00+00:00,-1,-0.9999999999999574,SL,False
S2-04,london_or_break,USDJPY,2013-10-21 11:45:00+00:00,2013-10-21 12:00:00+00:00,2013-10-21 12:15:00+00:00,1,1.25,TP,False
S2-04,london_or_break,USDJPY,2013-10-22 10:15:00+00:00,2013-10-22 10:30:00+00:00,2013-10-22 11:00:00+00:00,1,-0.9999999999999345,SL,False
S2-04,london_or_break,USDJPY,2013-10-30 07:30:00+00:00,2013-10-30 07:45:00+00:00,2013-10-30 07:45:00+00:00,1,-0.9999999999998166,SL,False
S2-04,london_or_break,USDJPY,2013-11-14 07:15:00+00:00,2013-11-14 07:30:00+00:00,2013-11-14 07:30:00+00:00,1,-1.0000000000000298,SL,False
S2-04,london_or_break,USDJPY,2013-11-14 07:45:00+00:00,2013-11-14 08:00:00+00:00,2013-11-14 08:30:00+00:00,1,1.2499999999999363,TP,False
S2-04,london_or_break,USDJPY,2013-11-14 08:30:00+00:00,2013-11-14 08:45:00+00:00,2013-11-14 09:30:00+00:00,1,1.2499999999999132,TP,False
S2-04,london_or_break,USDJPY,2013-11-21 10:30:00+00:00,2013-11-21 10:45:00+00:00,2013-11-21 11:30:00+00:00,1,-0.9999999999999486,SL,False
S2-04,london_or_break,USDJPY,2014-01-10 11:30:00+00:00,2014-01-10 11:45:00+00:00,2014-01-10 13:15:00+00:00,1,-1.0000000000001115,SL,True
S2-04,london_or_break,USDJPY,2014-01-28 07:45:00+00:00,2014-01-28 08:00:00+00:00,2014-01-28 08:15:00+00:00,1,1.249999999999965,TP,False
S2-04,london_or_break,USDJPY,2014-01-28 08:15:00+00:00,2014-01-28 08:30:00+00:00,2014-01-28 08:30:00+00:00,1,1.250000000000062,TP,False
S2-04,london_or_break,USDJPY,2014-01-28 08:30:00+00:00,2014-01-28 08:45:00+00:00,2014-01-28 09:00:00+00:00,1,1.2500000000000298,TP,False
S2-04,london_or_break,USDJPY,2014-03-28 11:30:00+00:00,2014-03-28 11:45:00+00:00,2014-03-28 12:30:00+00:00,1,1.25,TP,False
S2-04,london_or_break,USDJPY,2014-07-14 11:00:00+00:00,2014-07-14 11:15:00+00:00,2014-07-14 12:15:00+00:00,1,1.2500000000000995,TP,False
S2-04,london_or_break,USDJPY,2014-08-01 07:00:00+00:00,2014-08-01 07:15:00+00:00,2014-08-01 07:15:00+00:00,1,-1.0000000000002478,SL,False
S2-04,london_or_break,USDJPY,2014-09-08 10:45:00+00:00,2014-09-08 11:00:00+00:00,2014-09-08 11:00:00+00:00,1,1.2500000000001734,TP,False
S2-04,london_or_break,USDJPY,2014-09-09 07:15:00+00:00,2014-09-09 07:30:00+00:00,2014-09-09 07:45:00+00:00,1,-0.9999999999999627,SL,False
S2-04,london_or_break,USDJPY,2014-11-14 10:30:00+00:00,2014-11-14 10:45:00+00:00,2014-11-14 11:30:00+00:00,1,1.2499999999999492,TP,False
S2-04,london_or_break,USDJPY,2014-11-14 11:30:00+00:00,2014-11-14 11:45:00+00:00,2014-11-14 12:15:00+00:00,1,-0.9999999999999152,SL,False
S2-04,london_or_break,USDJPY,2014-12-04 07:00:00+00:00,2014-12-04 07:15:00+00:00,2014-12-04 07:15:00+00:00,1,-0.9999999999999524,SL,False
S2-04,london_or_break,USDJPY,2014-12-18 07:00:00+00:00,2014-12-18 07:15:00+00:00,2014-12-18 07:15:00+00:00,1,-0.999999999999947,SL,False
S2-04,london_or_break,USDJPY,2014-12-22 07:45:00+00:00,2014-12-22 08:00:00+00:00,2014-12-22 08:00:00+00:00,1,1.250000000000077,TP,False
S2-04,london_or_break,USDJPY,2014-12-22 08:00:00+00:00,2014-12-22 08:15:00+00:00,2014-12-22 08:15:00+00:00,1,1.2500000000000957,TP,False
S2-04,london_or_break,USDJPY,2014-12-22 11:45:00+00:00,2014-12-22 12:00:00+00:00,2014-12-22 12:15:00+00:00,1,1.2500000000000315,TP,False
S2-04,london_or_break,USDJPY,2015-01-02 07:30:00+00:00,2015-01-02 07:45:00+00:00,2015-01-02 07:45:00+00:00,1,-0.9999999999998879,SL,False
S2-04,london_or_break,USDJPY,2015-01-08 07:15:00+00:00,2015-01-08 07:30:00+00:00,2015-01-08 07:30:00+00:00,1,-0.9999999999999756,SL,False
S2-04,london_or_break,USDJPY,2015-02-10 07:15:00+00:00,2015-02-10 07:30:00+00:00,2015-02-10 08:00:00+00:00,1,1.2499999999998868,TP,False
S2-04,london_or_break,USDJPY,2015-02-12 07:00:00+00:00,2015-02-12 07:15:00+00:00,2015-02-12 07:15:00+00:00,1,-1.0000000000000653,SL,False
S2-04,london_or_break,USDJPY,2015-03-30 11:45:00+00:00,2015-03-30 12:00:00+00:00,2015-03-30 12:00:00+00:00,1,-0.9999999999999336,SL,False
S2-04,london_or_break,USDJPY,2015-05-08 11:15:00+00:00,2015-05-08 11:30:00+00:00,2015-05-08 11:45:00+00:00,1,1.2499999999999165,TP,False
S2-04,london_or_break,USDJPY,2015-07-10 11:15:00+00:00,2015-07-10 11:30:00+00:00,2015-07-10 11:30:00+00:00,1,-0.999999999999929,SL,False
S2-04,london_or_break,USDJPY,2015-07-13 10:45:00+00:00,2015-07-13 11:00:00+00:00,2015-07-13 13:15:00+00:00,1,1.2499999999999762,TP,False
S2-04,london_or_break,USDJPY,2015-07-16 11:30:00+00:00,2015-07-16 11:45:00+00:00,2015-07-16 12:00:00+00:00,1,1.2500000000001252,TP,False
S2-04,london_or_break,USDJPY,2015-07-31 11:45:00+00:00,2015-07-31 12:00:00+00:00,2015-07-31 12:30:00+00:00,1,-1.0000000000001235,SL,False
S2-04,london_or_break,USDJPY,2015-08-03 10:45:00+00:00,2015-08-03 11:00:00+00:00,2015-08-03 12:15:00+00:00,1,-1.0,SL,False
S2-04,london_or_break,USDJPY,2015-09-17 11:30:00+00:00,2015-09-17 11:45:00+00:00,2015-09-17 12:00:00+00:00,1,-1.0000000000000349,SL,False
S2-04,london_or_break,USDJPY,2015-09-25 07:15:00+00:00,2015-09-25 07:30:00+00:00,2015-09-25 07:30:00+00:00,1,1.25,TP,False
S2-04,london_or_break,USDJPY,2015-10-05 11:30:00+00:00,2015-10-05 11:45:00+00:00,2015-10-05 13:30:00+00:00,1,1.25,TP,False
S2-04,london_or_break,USDJPY,2015-11-11 11:45:00+00:00,2015-11-11 12:00:00+00:00,2015-11-11 12:15:00+00:00,1,-0.9999999999999643,SL,False
