hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-10,overnight_unwind,AUDJPY,2013-01-30 08:15:00+00:00,2013-01-30 08:30:00+00:00,2013-01-30 08:30:00+00:00,-1,-1.0000000000000506,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-02-08 07:00:00+00:00,2013-02-08 07:15:00+00:00,2013-02-08 07:15:00+00:00,1,-0.9999999999999859,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-02-11 07:45:00+00:00,2013-02-11 08:00:00+00:00,2013-02-11 08:15:00+00:00,1,1.4999999999999338,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-04-29 08:30:00+00:00,2013-04-29 08:45:00+00:00,2013-04-29 10:15:00+00:00,-1,-0.9999999999999891,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-05-22 08:00:00+00:00,2013-05-22 08:15:00+00:00,2013-05-22 09:00:00+00:00,1,1.500000000000032,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-06-17 07:00:00+00:00,2013-06-17 07:15:00+00:00,2013-06-17 08:30:00+00:00,-1,1.5000000000000238,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-07-16 07:15:00+00:00,2013-07-16 07:30:00+00:00,2013-07-16 07:45:00+00:00,-1,1.5000000000000309,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-08-01 07:45:00+00:00,2013-08-01 08:00:00+00:00,2013-08-01 09:15:00+00:00,-1,-0.9999999999999698,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-08-29 07:00:00+00:00,2013-08-29 07:15:00+00:00,2013-08-29 08:00:00+00:00,-1,1.5000000000000182,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-09-10 07:45:00+00:00,2013-09-10 08:00:00+00:00,2013-09-10 09:00:00+00:00,-1,-0.9999999999999853,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-09-24 07:45:00+00:00,2013-09-24 08:00:00+00:00,2013-09-24 08:30:00+00:00,-1,1.500000000000016,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-09-25 07:00:00+00:00,2013-09-25 07:15:00+00:00,2013-09-25 07:15:00+00:00,1,-0.9999999999999413,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-09-25 07:30:00+00:00,2013-09-25 07:45:00+00:00,2013-09-25 08:00:00+00:00,1,-0.9999999999999651,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-10-22 07:15:00+00:00,2013-10-22 07:30:00+00:00,2013-10-22 09:45:00+00:00,-1,-0.9999999999999664,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-11-04 07:00:00+00:00,2013-11-04 07:15:00+00:00,2013-11-04 07:15:00+00:00,-1,-1.0000000000000644,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-06 07:15:00+00:00,2013-12-06 07:30:00+00:00,2013-12-06 08:15:00+00:00,-1,-0.9999999999999796,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-09 07:00:00+00:00,2013-12-09 07:15:00+00:00,2013-12-09 07:15:00+00:00,1,-1.0000000000000202,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-09 07:15:00+00:00,2013-12-09 07:30:00+00:00,2013-12-09 13:15:00+00:00,1,-0.22144900154819075,TIME,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-24 07:15:00+00:00,2013-12-24 07:30:00+00:00,2013-12-24 09:00:00+00:00,1,1.5000000000000244,TP,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-25 07:45:00+00:00,2013-12-25 08:00:00+00:00,2013-12-25 08:00:00+00:00,-1,-1.0000000000000444,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-27 07:00:00+00:00,2013-12-27 07:15:00+00:00,2013-12-27 07:30:00+00:00,-1,-1.0000000000000235,SL,False
S2R2-10,overnight_unwind,AUDJPY,2013-12-27 07:30:00+00:00,2013-12-27 07:45:00+00:00,2013-12-27 08:45:00+00:00,-1,-0.9999999999999399,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-03-10 07:15:00+00:00,2014-03-10 07:30:00+00:00,2014-03-10 08:15:00+00:00,1,1.49999999999995,TP,False
S2R2-10,overnight_unwind,AUDJPY,2014-03-17 07:45:00+00:00,2014-03-17 08:00:00+00:00,2014-03-17 08:15:00+00:00,-1,-1.0,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-03-18 07:15:00+00:00,2014-03-18 07:30:00+00:00,2014-03-18 08:15:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-04-02 07:30:00+00:00,2014-04-02 07:45:00+00:00,2014-04-02 08:15:00+00:00,-1,-1.0,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-04-02 08:30:00+00:00,2014-04-02 08:45:00+00:00,2014-04-02 14:30:00+00:00,-1,0.673091195644387,TIME,False
S2R2-10,overnight_unwind,AUDJPY,2014-05-01 08:15:00+00:00,2014-05-01 08:30:00+00:00,2014-05-01 09:15:00+00:00,-1,1.5,TP,False
S2R2-10,overnight_unwind,AUDJPY,2014-05-13 07:15:00+00:00,2014-05-13 07:30:00+00:00,2014-05-13 10:45:00+00:00,1,1.5000000000000238,TP,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-11 07:15:00+00:00,2014-06-11 07:30:00+00:00,2014-06-11 07:45:00+00:00,-1,-1.0000000000001086,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-17 07:30:00+00:00,2014-06-17 07:45:00+00:00,2014-06-17 09:30:00+00:00,1,1.5000000000000577,TP,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-18 07:30:00+00:00,2014-06-18 07:45:00+00:00,2014-06-18 09:00:00+00:00,-1,-1.0,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-20 07:00:00+00:00,2014-06-20 07:15:00+00:00,2014-06-20 07:30:00+00:00,-1,-0.9999999999999604,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-20 07:30:00+00:00,2014-06-20 07:45:00+00:00,2014-06-20 12:00:00+00:00,-1,-0.9999999999998883,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-06-30 07:30:00+00:00,2014-06-30 07:45:00+00:00,2014-06-30 08:45:00+00:00,1,-0.9999999999999473,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-07-14 07:00:00+00:00,2014-07-14 07:15:00+00:00,2014-07-14 12:15:00+00:00,-1,-0.9999999999999386,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-07-15 07:00:00+00:00,2014-07-15 07:15:00+00:00,2014-07-15 08:00:00+00:00,1,-0.9999999999999425,SL,False
S2R2-10,overnight_unwind,AUDJPY,2014-07-15 08:15:00+00:00,2014-07-15 08:30:00+00:00,2014-07-15 08:30:00+00:00,1,-1.0000000000000488,SL,False
