hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-01,prior_day_value,AUDUSD,2013-01-03 06:15:00+00:00,2013-01-03 06:30:00+00:00,2013-01-03 07:15:00+00:00,1,1.49999999999982,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-01-16 06:45:00+00:00,2013-01-16 07:00:00+00:00,2013-01-16 07:30:00+00:00,1,-0.9999999999998869,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-02-26 06:30:00+00:00,2013-02-26 06:45:00+00:00,2013-02-26 07:00:00+00:00,-1,1.4999999999999345,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-03-27 06:00:00+00:00,2013-03-27 06:15:00+00:00,2013-03-27 08:15:00+00:00,1,-1.0,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-03-29 06:45:00+00:00,2013-03-29 07:00:00+00:00,2013-03-29 07:00:00+00:00,-1,-0.9999999999999489,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-04-04 05:00:00+00:00,2013-04-04 05:15:00+00:00,2013-04-04 05:30:00+00:00,-1,1.4999999999999165,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-05-03 05:00:00+00:00,2013-05-03 05:15:00+00:00,2013-05-03 05:30:00+00:00,-1,-0.9999999999999526,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-05-03 06:45:00+00:00,2013-05-03 07:00:00+00:00,2013-05-03 09:45:00+00:00,-1,-1.0000000000001206,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-06-13 05:45:00+00:00,2013-06-13 06:00:00+00:00,2013-06-13 06:15:00+00:00,1,1.4999999999999791,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-06-13 06:45:00+00:00,2013-06-13 07:00:00+00:00,2013-06-13 07:30:00+00:00,-1,-1.0000000000000167,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-06-14 06:15:00+00:00,2013-06-14 06:30:00+00:00,2013-06-14 06:45:00+00:00,1,-1.0000000000000282,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-06-28 06:15:00+00:00,2013-06-28 06:30:00+00:00,2013-06-28 07:15:00+00:00,-1,1.4999999999999867,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-07-04 05:15:00+00:00,2013-07-04 05:30:00+00:00,2013-07-04 06:30:00+00:00,1,-0.9999999999999718,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-07-12 05:45:00+00:00,2013-07-12 06:00:00+00:00,2013-07-12 07:30:00+00:00,-1,1.500000000000014,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-07-19 05:00:00+00:00,2013-07-19 05:15:00+00:00,2013-07-19 05:30:00+00:00,-1,-0.9999999999999651,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-07-19 05:45:00+00:00,2013-07-19 06:00:00+00:00,2013-07-19 06:15:00+00:00,-1,1.4999999999999656,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-09-17 06:00:00+00:00,2013-09-17 06:15:00+00:00,2013-09-17 06:45:00+00:00,1,-1.0000000000000526,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-09-17 06:45:00+00:00,2013-09-17 07:00:00+00:00,2013-09-17 09:30:00+00:00,1,1.499999999999951,TP,False
S2R2-01,prior_day_value,AUDUSD,2013-09-24 06:15:00+00:00,2013-09-24 06:30:00+00:00,2013-09-24 06:45:00+00:00,1,-1.000000000000055,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-10-08 05:45:00+00:00,2013-10-08 06:00:00+00:00,2013-10-08 06:15:00+00:00,-1,-1.000000000000068,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-10-24 05:00:00+00:00,2013-10-24 05:15:00+00:00,2013-10-24 05:45:00+00:00,-1,-1.0,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-12-05 05:45:00+00:00,2013-12-05 06:00:00+00:00,2013-12-05 06:15:00+00:00,-1,-0.9999999999999543,SL,False
S2R2-01,prior_day_value,AUDUSD,2013-12-17 06:15:00+00:00,2013-12-17 06:30:00+00:00,2013-12-17 10:15:00+00:00,-1,1.5000000000000444,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-01-10 05:15:00+00:00,2014-01-10 05:30:00+00:00,2014-01-10 11:15:00+00:00,-1,0.7810857651412244,TIME,False
S2R2-01,prior_day_value,AUDUSD,2014-01-17 05:30:00+00:00,2014-01-17 05:45:00+00:00,2014-01-17 06:30:00+00:00,1,-0.9999999999999557,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-02-07 05:15:00+00:00,2014-02-07 05:30:00+00:00,2014-02-07 07:15:00+00:00,1,-0.9999999999999457,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-02-18 06:00:00+00:00,2014-02-18 06:15:00+00:00,2014-02-18 08:00:00+00:00,-1,1.4999999999999831,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-02-26 05:45:00+00:00,2014-02-26 06:00:00+00:00,2014-02-26 06:15:00+00:00,1,1.5000000000000235,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-03-11 05:30:00+00:00,2014-03-11 05:45:00+00:00,2014-03-11 06:00:00+00:00,-1,-1.000000000000028,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-03-25 06:00:00+00:00,2014-03-25 06:15:00+00:00,2014-03-25 08:00:00+00:00,1,1.4999999999999754,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-04-01 05:15:00+00:00,2014-04-01 05:30:00+00:00,2014-04-01 06:30:00+00:00,1,1.5000000000000304,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-04-24 05:00:00+00:00,2014-04-24 05:15:00+00:00,2014-04-24 05:30:00+00:00,-1,-0.9999999999999423,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-04-24 06:00:00+00:00,2014-04-24 06:15:00+00:00,2014-04-24 06:30:00+00:00,-1,-0.9999999999999732,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-04-24 06:30:00+00:00,2014-04-24 06:45:00+00:00,2014-04-24 06:45:00+00:00,-1,-1.0000000000000258,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-05-02 05:00:00+00:00,2014-05-02 05:15:00+00:00,2014-05-02 09:00:00+00:00,-1,1.5,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-05-12 05:15:00+00:00,2014-05-12 05:30:00+00:00,2014-05-12 05:45:00+00:00,1,-1.0000000000000422,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-05-12 05:45:00+00:00,2014-05-12 06:00:00+00:00,2014-05-12 06:00:00+00:00,1,-1.000000000000039,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-06-12 05:15:00+00:00,2014-06-12 05:30:00+00:00,2014-06-12 05:45:00+00:00,1,1.5000000000000533,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-07-07 05:00:00+00:00,2014-07-07 05:15:00+00:00,2014-07-07 05:30:00+00:00,1,-1.0,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-08-04 06:00:00+00:00,2014-08-04 06:15:00+00:00,2014-08-04 06:15:00+00:00,-1,-1.0000000000000464,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-08-11 06:00:00+00:00,2014-08-11 06:15:00+00:00,2014-08-11 07:45:00+00:00,-1,-0.9999999999998825,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-08-29 05:15:00+00:00,2014-08-29 05:30:00+00:00,2014-08-29 06:00:00+00:00,1,1.500000000000086,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-08-29 06:45:00+00:00,2014-08-29 07:00:00+00:00,2014-08-29 07:15:00+00:00,-1,-1.0000000000001028,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-09-11 06:30:00+00:00,2014-09-11 06:45:00+00:00,2014-09-11 07:00:00+00:00,-1,-1.0000000000000175,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-10-24 06:45:00+00:00,2014-10-24 07:00:00+00:00,2014-10-24 07:45:00+00:00,-1,-1.0,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-11-11 05:00:00+00:00,2014-11-11 05:15:00+00:00,2014-11-11 06:45:00+00:00,1,-0.9999999999999527,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-11-13 05:30:00+00:00,2014-11-13 05:45:00+00:00,2014-11-13 08:45:00+00:00,1,1.500000000000017,TP,False
S2R2-01,prior_day_value,AUDUSD,2014-11-21 06:00:00+00:00,2014-11-21 06:15:00+00:00,2014-11-21 06:30:00+00:00,-1,-0.9999999999999548,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-11-21 06:45:00+00:00,2014-11-21 07:00:00+00:00,2014-11-21 08:00:00+00:00,-1,-1.000000000000029,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-12-11 05:00:00+00:00,2014-12-11 05:15:00+00:00,2014-12-11 08:00:00+00:00,1,-0.9999999999999616,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-12-22 05:00:00+00:00,2014-12-22 05:15:00+00:00,2014-12-22 06:45:00+00:00,1,-1.00000000000002,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-12-24 06:15:00+00:00,2014-12-24 06:30:00+00:00,2014-12-24 07:00:00+00:00,-1,-0.9999999999999499,SL,False
S2R2-01,prior_day_value,AUDUSD,2014-12-30 05:45:00+00:00,2014-12-30 06:00:00+00:00,2014-12-30 06:15:00+00:00,1,-0.9999999999999385,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-01-19 05:15:00+00:00,2015-01-19 05:30:00+00:00,2015-01-19 08:45:00+00:00,1,-1.0000000000000124,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-02-02 06:15:00+00:00,2015-02-02 06:30:00+00:00,2015-02-02 06:45:00+00:00,-1,-1.0000000000000437,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-02-19 05:00:00+00:00,2015-02-19 05:15:00+00:00,2015-02-19 05:15:00+00:00,1,-0.9999999999999746,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-02-19 05:45:00+00:00,2015-02-19 06:00:00+00:00,2015-02-19 06:30:00+00:00,1,-0.9999999999999677,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-03-04 05:30:00+00:00,2015-03-04 05:45:00+00:00,2015-03-04 06:45:00+00:00,1,-1.0,SL,False
S2R2-01,prior_day_value,AUDUSD,2015-04-10 05:15:00+00:00,2015-04-10 05:30:00+00:00,2015-04-10 05:45:00+00:00,1,-1.0,SL,False
