hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-12,friday_fade,CADJPY,2013-01-04 13:15:00+00:00,2013-01-04 13:30:00+00:00,2013-01-04 13:30:00+00:00,-1,-0.9999999999999629,SL,True
S2R2-12,friday_fade,CADJPY,2013-01-18 13:45:00+00:00,2013-01-18 14:00:00+00:00,2013-01-18 14:15:00+00:00,1,-0.9999999999999596,SL,False
S2R2-12,friday_fade,CADJPY,2013-01-25 13:15:00+00:00,2013-01-25 13:30:00+00:00,2013-01-25 13:45:00+00:00,-1,1.4999999999999734,TP,False
S2R2-12,friday_fade,CADJPY,2013-01-25 14:45:00+00:00,2013-01-25 15:00:00+00:00,2013-01-25 16:00:00+00:00,-1,-0.2052103055721989,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-02-01 14:30:00+00:00,2013-02-01 14:45:00+00:00,2013-02-01 15:00:00+00:00,1,1.5000000000000107,TP,False
S2R2-12,friday_fade,CADJPY,2013-02-08 14:00:00+00:00,2013-02-08 14:15:00+00:00,2013-02-08 14:30:00+00:00,-1,-1.0000000000000295,SL,False
S2R2-12,friday_fade,CADJPY,2013-02-08 15:00:00+00:00,2013-02-08 15:15:00+00:00,2013-02-08 16:00:00+00:00,-1,0.42486468512737147,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-02-15 13:45:00+00:00,2013-02-15 14:00:00+00:00,2013-02-15 15:45:00+00:00,-1,-0.999999999999978,SL,False
S2R2-12,friday_fade,CADJPY,2013-02-22 14:45:00+00:00,2013-02-22 15:00:00+00:00,2013-02-22 16:00:00+00:00,-1,-0.6271650844624732,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-03-01 14:00:00+00:00,2013-03-01 14:15:00+00:00,2013-03-01 14:45:00+00:00,-1,-1.0000000000000353,SL,False
S2R2-12,friday_fade,CADJPY,2013-03-08 15:15:00+00:00,2013-03-08 15:30:00+00:00,2013-03-08 16:00:00+00:00,1,0.07813010899182561,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-03-15 15:15:00+00:00,2013-03-15 15:30:00+00:00,2013-03-15 15:45:00+00:00,1,-0.9999999999999903,SL,False
S2R2-12,friday_fade,CADJPY,2013-03-22 13:15:00+00:00,2013-03-22 13:30:00+00:00,2013-03-22 14:45:00+00:00,1,-1.000000000000025,SL,False
S2R2-12,friday_fade,CADJPY,2013-03-22 15:15:00+00:00,2013-03-22 15:30:00+00:00,2013-03-22 15:45:00+00:00,1,-0.9999999999999886,SL,False
S2R2-12,friday_fade,CADJPY,2013-03-29 13:30:00+00:00,2013-03-29 13:45:00+00:00,2013-03-29 16:00:00+00:00,-1,-0.6434232099086084,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-04-05 13:45:00+00:00,2013-04-05 14:00:00+00:00,2013-04-05 14:00:00+00:00,-1,-1.0000000000000062,SL,False
S2R2-12,friday_fade,CADJPY,2013-04-12 13:15:00+00:00,2013-04-12 13:30:00+00:00,2013-04-12 13:45:00+00:00,-1,-0.9999999999999772,SL,False
S2R2-12,friday_fade,CADJPY,2013-04-12 15:30:00+00:00,2013-04-12 15:45:00+00:00,2013-04-12 16:00:00+00:00,-1,-0.2569391229290047,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-04-19 13:00:00+00:00,2013-04-19 13:15:00+00:00,2013-04-19 13:45:00+00:00,-1,1.4999999999999867,TP,False
S2R2-12,friday_fade,CADJPY,2013-04-19 14:00:00+00:00,2013-04-19 14:15:00+00:00,2013-04-19 14:15:00+00:00,1,-0.9999999999999889,SL,False
S2R2-12,friday_fade,CADJPY,2013-04-26 13:45:00+00:00,2013-04-26 14:00:00+00:00,2013-04-26 14:00:00+00:00,1,-0.9999999999999891,SL,False
S2R2-12,friday_fade,CADJPY,2013-04-26 15:00:00+00:00,2013-04-26 15:15:00+00:00,2013-04-26 16:00:00+00:00,1,-0.8174633755863759,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-05-03 15:15:00+00:00,2013-05-03 15:30:00+00:00,2013-05-03 16:00:00+00:00,-1,-0.5904459100263251,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-05-10 13:00:00+00:00,2013-05-10 13:15:00+00:00,2013-05-10 13:30:00+00:00,1,-1.0000000000000182,SL,False
S2R2-12,friday_fade,CADJPY,2013-05-10 14:30:00+00:00,2013-05-10 14:45:00+00:00,2013-05-10 15:00:00+00:00,1,1.500000000000027,TP,False
S2R2-12,friday_fade,CADJPY,2013-05-10 15:30:00+00:00,2013-05-10 15:45:00+00:00,2013-05-10 16:00:00+00:00,-1,0.23552726578643804,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-05-24 13:30:00+00:00,2013-05-24 13:45:00+00:00,2013-05-24 16:00:00+00:00,1,0.29852252252252254,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-05-31 13:30:00+00:00,2013-05-31 13:45:00+00:00,2013-05-31 13:45:00+00:00,-1,-1.0,SL,False
S2R2-12,friday_fade,CADJPY,2013-05-31 14:15:00+00:00,2013-05-31 14:30:00+00:00,2013-05-31 15:30:00+00:00,1,1.5000000000000098,TP,False
S2R2-12,friday_fade,CADJPY,2013-05-31 15:30:00+00:00,2013-05-31 15:45:00+00:00,2013-05-31 16:00:00+00:00,1,-0.9401670199853451,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-06-07 14:45:00+00:00,2013-06-07 15:00:00+00:00,2013-06-07 16:00:00+00:00,-1,0.05066408614643111,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-06-14 13:45:00+00:00,2013-06-14 14:00:00+00:00,2013-06-14 14:00:00+00:00,-1,-1.0,SL,False
S2R2-12,friday_fade,CADJPY,2013-06-14 14:30:00+00:00,2013-06-14 14:45:00+00:00,2013-06-14 14:45:00+00:00,-1,1.499999999999992,TP,False
S2R2-12,friday_fade,CADJPY,2013-06-14 15:30:00+00:00,2013-06-14 15:45:00+00:00,2013-06-14 16:00:00+00:00,-1,0.2603882864334928,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-06-21 13:00:00+00:00,2013-06-21 13:15:00+00:00,2013-06-21 14:30:00+00:00,1,-0.9999999999999829,SL,False
S2R2-12,friday_fade,CADJPY,2013-06-28 13:00:00+00:00,2013-06-28 13:15:00+00:00,2013-06-28 14:30:00+00:00,-1,-1.0,SL,False
S2R2-12,friday_fade,CADJPY,2013-06-28 14:45:00+00:00,2013-06-28 15:00:00+00:00,2013-06-28 15:45:00+00:00,-1,-1.0,SL,False
S2R2-12,friday_fade,CADJPY,2013-07-05 14:30:00+00:00,2013-07-05 14:45:00+00:00,2013-07-05 16:00:00+00:00,1,0.8644520112742143,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-07-12 15:00:00+00:00,2013-07-12 15:15:00+00:00,2013-07-12 16:00:00+00:00,-1,-0.4968357305071916,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-07-19 13:15:00+00:00,2013-07-19 13:30:00+00:00,2013-07-19 14:00:00+00:00,1,-1.0000000000000293,SL,False
S2R2-12,friday_fade,CADJPY,2013-07-19 15:00:00+00:00,2013-07-19 15:15:00+00:00,2013-07-19 16:00:00+00:00,-1,-0.22531219306861233,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-08-02 13:00:00+00:00,2013-08-02 13:15:00+00:00,2013-08-02 13:30:00+00:00,1,-0.999999999999988,SL,False
S2R2-12,friday_fade,CADJPY,2013-08-02 14:15:00+00:00,2013-08-02 14:30:00+00:00,2013-08-02 14:45:00+00:00,-1,1.4999999999999902,TP,False
S2R2-12,friday_fade,CADJPY,2013-08-09 13:00:00+00:00,2013-08-09 13:15:00+00:00,2013-08-09 13:45:00+00:00,1,1.5000000000000118,TP,False
S2R2-12,friday_fade,CADJPY,2013-08-09 14:30:00+00:00,2013-08-09 14:45:00+00:00,2013-08-09 16:00:00+00:00,1,0.27456753876447715,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-08-16 13:30:00+00:00,2013-08-16 13:45:00+00:00,2013-08-16 14:30:00+00:00,1,1.4999999999999836,TP,False
S2R2-12,friday_fade,CADJPY,2013-08-23 13:45:00+00:00,2013-08-23 14:00:00+00:00,2013-08-23 14:15:00+00:00,-1,1.5000000000000309,TP,False
S2R2-12,friday_fade,CADJPY,2013-08-30 13:15:00+00:00,2013-08-30 13:30:00+00:00,2013-08-30 14:30:00+00:00,-1,1.4999999999999842,TP,False
S2R2-12,friday_fade,CADJPY,2013-08-30 14:30:00+00:00,2013-08-30 14:45:00+00:00,2013-08-30 14:45:00+00:00,1,-1.000000000000041,SL,False
S2R2-12,friday_fade,CADJPY,2013-08-30 15:45:00+00:00,2013-08-30 16:00:00+00:00,2013-08-30 16:00:00+00:00,1,0.9643449344436088,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-09-06 14:00:00+00:00,2013-09-06 14:15:00+00:00,2013-09-06 16:00:00+00:00,1,1.2642067155999868,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-09-13 13:45:00+00:00,2013-09-13 14:00:00+00:00,2013-09-13 14:15:00+00:00,-1,1.500000000000016,TP,False
S2R2-12,friday_fade,CADJPY,2013-09-20 13:15:00+00:00,2013-09-20 13:30:00+00:00,2013-09-20 14:45:00+00:00,-1,-1.0000000000000304,SL,False
S2R2-12,friday_fade,CADJPY,2013-09-27 15:45:00+00:00,2013-09-27 16:00:00+00:00,2013-09-27 16:00:00+00:00,1,-0.3487977354553109,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-10-04 14:45:00+00:00,2013-10-04 15:00:00+00:00,2013-10-04 16:00:00+00:00,-1,-0.816306505763614,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-10-11 13:30:00+00:00,2013-10-11 13:45:00+00:00,2013-10-11 16:00:00+00:00,1,1.3980741148335487,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-10-18 14:15:00+00:00,2013-10-18 14:30:00+00:00,2013-10-18 16:00:00+00:00,-1,-0.3095634482501954,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-10-25 13:45:00+00:00,2013-10-25 14:00:00+00:00,2013-10-25 16:00:00+00:00,1,0.39893204345197253,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-11-01 13:00:00+00:00,2013-11-01 13:15:00+00:00,2013-11-01 13:30:00+00:00,1,-1.0,SL,False
S2R2-12,friday_fade,CADJPY,2013-11-01 13:45:00+00:00,2013-11-01 14:00:00+00:00,2013-11-01 14:00:00+00:00,1,1.5,TP,False
S2R2-12,friday_fade,CADJPY,2013-11-08 13:30:00+00:00,2013-11-08 13:45:00+00:00,2013-11-08 13:45:00+00:00,1,-1.000000000000041,SL,False
S2R2-12,friday_fade,CADJPY,2013-11-15 13:30:00+00:00,2013-11-15 13:45:00+00:00,2013-11-15 13:45:00+00:00,1,-0.9999999999999283,SL,False
S2R2-12,friday_fade,CADJPY,2013-11-22 13:00:00+00:00,2013-11-22 13:15:00+00:00,2013-11-22 13:15:00+00:00,-1,1.4999999999999778,TP,False
S2R2-12,friday_fade,CADJPY,2013-11-22 14:45:00+00:00,2013-11-22 15:00:00+00:00,2013-11-22 16:00:00+00:00,1,1.170342412529897,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-11-29 14:30:00+00:00,2013-11-29 14:45:00+00:00,2013-11-29 16:00:00+00:00,1,-0.18955114054451805,FRIDAY,False
S2R2-12,friday_fade,CADJPY,2013-12-06 13:15:00+00:00,2013-12-06 13:30:00+00:00,2013-12-06 13:30:00+00:00,1,-1.0000000000000564,SL,False
