hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-05,two_hour_fade,CHFJPY,2013-01-28 10:15:00+00:00,2013-01-28 10:30:00+00:00,2013-01-28 13:00:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-02-20 09:45:00+00:00,2013-02-20 10:00:00+00:00,2013-02-20 12:15:00+00:00,-1,1.5000000000000249,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-02-27 10:00:00+00:00,2013-02-27 10:15:00+00:00,2013-02-27 13:30:00+00:00,-1,1.4999999999999825,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-02-28 09:00:00+00:00,2013-02-28 09:15:00+00:00,2013-02-28 09:30:00+00:00,-1,1.5000000000000453,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-03-05 09:00:00+00:00,2013-03-05 09:15:00+00:00,2013-03-05 10:30:00+00:00,-1,1.5000000000000147,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-03-11 09:15:00+00:00,2013-03-11 09:30:00+00:00,2013-03-11 12:15:00+00:00,-1,-0.9999999999999707,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-04-25 09:00:00+00:00,2013-04-25 09:15:00+00:00,2013-04-25 15:00:00+00:00,-1,0.2653473398847848,TIME,False
S2R2-05,two_hour_fade,CHFJPY,2013-04-30 10:15:00+00:00,2013-04-30 10:30:00+00:00,2013-04-30 12:45:00+00:00,1,1.5000000000000315,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-05-02 10:45:00+00:00,2013-05-02 11:00:00+00:00,2013-05-02 11:30:00+00:00,-1,1.5000000000000322,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-05-06 09:45:00+00:00,2013-05-06 10:00:00+00:00,2013-05-06 10:45:00+00:00,1,-0.9999999999999841,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-05-20 09:00:00+00:00,2013-05-20 09:15:00+00:00,2013-05-20 10:00:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-05-20 10:15:00+00:00,2013-05-20 10:30:00+00:00,2013-05-20 12:15:00+00:00,-1,1.5000000000000167,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-05-30 09:15:00+00:00,2013-05-30 09:30:00+00:00,2013-05-30 09:45:00+00:00,-1,-1.0000000000000349,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-06-14 10:00:00+00:00,2013-06-14 10:15:00+00:00,2013-06-14 11:45:00+00:00,1,-1.000000000000031,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-06-26 09:15:00+00:00,2013-06-26 09:30:00+00:00,2013-06-26 09:45:00+00:00,1,-0.9999999999999764,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-06-26 10:45:00+00:00,2013-06-26 11:00:00+00:00,2013-06-26 12:30:00+00:00,1,-0.9999999999999719,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-07-22 09:45:00+00:00,2013-07-22 10:00:00+00:00,2013-07-22 11:45:00+00:00,-1,1.4999999999999678,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-07-23 09:15:00+00:00,2013-07-23 09:30:00+00:00,2013-07-23 09:45:00+00:00,-1,-0.9999999999999549,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-08-19 09:00:00+00:00,2013-08-19 09:15:00+00:00,2013-08-19 09:30:00+00:00,-1,-1.000000000000065,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-09-13 09:45:00+00:00,2013-09-13 10:00:00+00:00,2013-09-13 12:30:00+00:00,1,-0.999999999999957,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-09-17 09:15:00+00:00,2013-09-17 09:30:00+00:00,2013-09-17 12:30:00+00:00,1,-0.999999999999982,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-10-08 09:15:00+00:00,2013-10-08 09:30:00+00:00,2013-10-08 10:15:00+00:00,1,-1.0000000000000382,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-10-08 10:30:00+00:00,2013-10-08 10:45:00+00:00,2013-10-08 12:00:00+00:00,1,1.4999999999999643,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-10-28 09:30:00+00:00,2013-10-28 09:45:00+00:00,2013-10-28 12:15:00+00:00,-1,1.4999999999999574,TP,False
S2R2-05,two_hour_fade,CHFJPY,2013-11-04 09:45:00+00:00,2013-11-04 10:00:00+00:00,2013-11-04 10:30:00+00:00,-1,-0.999999999999954,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-12-06 10:45:00+00:00,2013-12-06 11:00:00+00:00,2013-12-06 11:15:00+00:00,-1,-1.0000000000000415,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-12-20 09:00:00+00:00,2013-12-20 09:15:00+00:00,2013-12-20 10:30:00+00:00,-1,-1.000000000000018,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-12-23 09:30:00+00:00,2013-12-23 09:45:00+00:00,2013-12-23 11:15:00+00:00,1,-1.000000000000053,SL,False
S2R2-05,two_hour_fade,CHFJPY,2013-12-26 09:00:00+00:00,2013-12-26 09:15:00+00:00,2013-12-26 11:45:00+00:00,-1,-1.0000000000000429,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-01-16 10:45:00+00:00,2014-01-16 11:00:00+00:00,2014-01-16 12:30:00+00:00,-1,1.5000000000000182,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-02-06 09:00:00+00:00,2014-02-06 09:15:00+00:00,2014-02-06 10:30:00+00:00,-1,-0.9999999999999821,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-02-12 10:15:00+00:00,2014-02-12 10:30:00+00:00,2014-02-12 11:15:00+00:00,1,-1.0000000000000546,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-02-13 09:15:00+00:00,2014-02-13 09:30:00+00:00,2014-02-13 10:00:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-04-02 09:15:00+00:00,2014-04-02 09:30:00+00:00,2014-04-02 10:00:00+00:00,1,-1.0000000000000173,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-04-04 09:30:00+00:00,2014-04-04 09:45:00+00:00,2014-04-04 11:15:00+00:00,-1,-1.0000000000000242,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-04-18 09:15:00+00:00,2014-04-18 09:30:00+00:00,2014-04-18 13:00:00+00:00,-1,1.4999999999998732,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-04-21 10:15:00+00:00,2014-04-21 10:30:00+00:00,2014-04-21 13:30:00+00:00,1,-0.999999999999875,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-05-02 09:15:00+00:00,2014-05-02 09:30:00+00:00,2014-05-02 09:30:00+00:00,-1,-0.9999999999999364,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-05-02 09:45:00+00:00,2014-05-02 10:00:00+00:00,2014-05-02 10:00:00+00:00,-1,-0.9999999999999377,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-05-13 09:30:00+00:00,2014-05-13 09:45:00+00:00,2014-05-13 09:45:00+00:00,1,-0.9999999999999587,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-05-30 09:15:00+00:00,2014-05-30 09:30:00+00:00,2014-05-30 12:30:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-03 09:00:00+00:00,2014-06-03 09:15:00+00:00,2014-06-03 10:30:00+00:00,1,1.5,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-05 10:00:00+00:00,2014-06-05 10:15:00+00:00,2014-06-05 11:30:00+00:00,-1,-1.0000000000000595,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-13 09:45:00+00:00,2014-06-13 10:00:00+00:00,2014-06-13 10:45:00+00:00,-1,1.5,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-16 09:30:00+00:00,2014-06-16 09:45:00+00:00,2014-06-16 10:30:00+00:00,-1,-1.0000000000000209,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-18 09:45:00+00:00,2014-06-18 10:00:00+00:00,2014-06-18 10:15:00+00:00,-1,-0.9999999999999206,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-20 09:15:00+00:00,2014-06-20 09:30:00+00:00,2014-06-20 11:00:00+00:00,-1,1.4999999999999087,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-25 09:15:00+00:00,2014-06-25 09:30:00+00:00,2014-06-25 10:00:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-25 10:15:00+00:00,2014-06-25 10:30:00+00:00,2014-06-25 10:45:00+00:00,1,-1.0000000000001135,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-06-26 09:45:00+00:00,2014-06-26 10:00:00+00:00,2014-06-26 12:15:00+00:00,1,-0.999999999999914,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-03 10:00:00+00:00,2014-07-03 10:15:00+00:00,2014-07-03 10:30:00+00:00,1,-1.0000000000000875,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-07 10:45:00+00:00,2014-07-07 11:00:00+00:00,2014-07-07 12:15:00+00:00,1,-0.9999999999999,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-09 09:00:00+00:00,2014-07-09 09:15:00+00:00,2014-07-09 14:00:00+00:00,1,1.4999999999999287,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-17 09:00:00+00:00,2014-07-17 09:15:00+00:00,2014-07-17 11:00:00+00:00,-1,1.499999999999968,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-21 09:15:00+00:00,2014-07-21 09:30:00+00:00,2014-07-21 10:15:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-28 09:15:00+00:00,2014-07-28 09:30:00+00:00,2014-07-28 10:15:00+00:00,-1,-1.0000000000000369,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-28 10:30:00+00:00,2014-07-28 10:45:00+00:00,2014-07-28 12:00:00+00:00,-1,1.4999999999999596,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-29 09:30:00+00:00,2014-07-29 09:45:00+00:00,2014-07-29 12:15:00+00:00,-1,-1.0000000000000844,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-07-30 09:00:00+00:00,2014-07-30 09:15:00+00:00,2014-07-30 09:45:00+00:00,-1,-1.0000000000001108,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-08-04 10:15:00+00:00,2014-08-04 10:30:00+00:00,2014-08-04 11:30:00+00:00,-1,1.5,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-08-18 09:45:00+00:00,2014-08-18 10:00:00+00:00,2014-08-18 13:45:00+00:00,-1,1.4999999999999685,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-08-27 09:45:00+00:00,2014-08-27 10:00:00+00:00,2014-08-27 14:00:00+00:00,-1,1.499999999999908,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-09-04 10:45:00+00:00,2014-09-04 11:00:00+00:00,2014-09-04 11:45:00+00:00,1,-1.0000000000000921,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-09-16 09:30:00+00:00,2014-09-16 09:45:00+00:00,2014-09-16 09:45:00+00:00,-1,-1.0000000000000515,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-09-16 09:45:00+00:00,2014-09-16 10:00:00+00:00,2014-09-16 10:00:00+00:00,-1,-1.0000000000000726,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-09-16 10:30:00+00:00,2014-09-16 10:45:00+00:00,2014-09-16 11:00:00+00:00,-1,-1.0000000000000637,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-09-17 10:15:00+00:00,2014-09-17 10:30:00+00:00,2014-09-17 12:00:00+00:00,-1,-0.9999999999999526,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-10-27 09:15:00+00:00,2014-10-27 09:30:00+00:00,2014-10-27 09:30:00+00:00,1,-1.0000000000000655,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-10-28 09:15:00+00:00,2014-10-28 09:30:00+00:00,2014-10-28 09:45:00+00:00,1,1.5000000000000224,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-02 09:45:00+00:00,2014-12-02 10:00:00+00:00,2014-12-02 12:45:00+00:00,1,1.4999999999999851,TP,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-04 09:15:00+00:00,2014-12-04 09:30:00+00:00,2014-12-04 10:45:00+00:00,-1,-0.9999999999999304,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-04 10:45:00+00:00,2014-12-04 11:00:00+00:00,2014-12-04 11:00:00+00:00,-1,-1.000000000000071,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-05 09:30:00+00:00,2014-12-05 09:45:00+00:00,2014-12-05 10:00:00+00:00,-1,-1.0000000000000626,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-05 10:30:00+00:00,2014-12-05 10:45:00+00:00,2014-12-05 11:30:00+00:00,-1,-0.9999999999999428,SL,False
S2R2-05,two_hour_fade,CHFJPY,2014-12-09 09:30:00+00:00,2014-12-09 09:45:00+00:00,2014-12-09 10:15:00+00:00,-1,-0.9999999999999899,SL,False
