hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-01,prior_day_value,EURAUD,2013-01-15 05:15:00+00:00,2013-01-15 05:30:00+00:00,2013-01-15 07:00:00+00:00,-1,1.4999999999999154,TP,False
S2R2-01,prior_day_value,EURAUD,2013-02-07 06:00:00+00:00,2013-02-07 06:15:00+00:00,2013-02-07 06:30:00+00:00,1,-1.0000000000000766,SL,False
S2R2-01,prior_day_value,EURAUD,2013-02-20 06:00:00+00:00,2013-02-20 06:15:00+00:00,2013-02-20 06:45:00+00:00,1,1.5000000000000535,TP,False
S2R2-01,prior_day_value,EURAUD,2013-02-21 06:00:00+00:00,2013-02-21 06:15:00+00:00,2013-02-21 06:30:00+00:00,1,-1.0000000000000533,SL,False
S2R2-01,prior_day_value,EURAUD,2013-03-29 06:45:00+00:00,2013-03-29 07:00:00+00:00,2013-03-29 12:45:00+00:00,1,0.7917435188516673,TIME,False
S2R2-01,prior_day_value,EURAUD,2013-04-04 05:30:00+00:00,2013-04-04 05:45:00+00:00,2013-04-04 06:15:00+00:00,1,-0.9999999999999406,SL,True
S2R2-01,prior_day_value,EURAUD,2013-04-04 06:15:00+00:00,2013-04-04 06:30:00+00:00,2013-04-04 06:30:00+00:00,1,-0.9999999999999355,SL,False
S2R2-01,prior_day_value,EURAUD,2013-04-04 06:30:00+00:00,2013-04-04 06:45:00+00:00,2013-04-04 07:00:00+00:00,-1,-0.999999999999961,SL,False
S2R2-01,prior_day_value,EURAUD,2013-04-09 05:15:00+00:00,2013-04-09 05:30:00+00:00,2013-04-09 05:45:00+00:00,-1,1.5000000000001357,TP,False
S2R2-01,prior_day_value,EURAUD,2013-04-09 06:45:00+00:00,2013-04-09 07:00:00+00:00,2013-04-09 07:00:00+00:00,1,-0.9999999999999637,SL,False
S2R2-01,prior_day_value,EURAUD,2013-04-12 05:15:00+00:00,2013-04-12 05:30:00+00:00,2013-04-12 05:45:00+00:00,1,-1.0000000000000449,SL,False
S2R2-01,prior_day_value,EURAUD,2013-04-18 06:15:00+00:00,2013-04-18 06:30:00+00:00,2013-04-18 08:15:00+00:00,-1,1.4999999999999412,TP,False
S2R2-01,prior_day_value,EURAUD,2013-04-26 05:15:00+00:00,2013-04-26 05:30:00+00:00,2013-04-26 07:30:00+00:00,-1,-1.000000000000053,SL,False
S2R2-01,prior_day_value,EURAUD,2013-05-14 05:30:00+00:00,2013-05-14 05:45:00+00:00,2013-05-14 05:45:00+00:00,1,-0.9999999999999286,SL,True
S2R2-01,prior_day_value,EURAUD,2013-05-14 05:45:00+00:00,2013-05-14 06:00:00+00:00,2013-05-14 06:00:00+00:00,-1,-1.0,SL,False
S2R2-01,prior_day_value,EURAUD,2013-05-14 06:45:00+00:00,2013-05-14 07:00:00+00:00,2013-05-14 08:00:00+00:00,-1,-1.0000000000000708,SL,False
S2R2-01,prior_day_value,EURAUD,2013-05-15 06:00:00+00:00,2013-05-15 06:15:00+00:00,2013-05-15 06:15:00+00:00,-1,-1.0000000000000984,SL,False
S2R2-01,prior_day_value,EURAUD,2013-05-15 06:15:00+00:00,2013-05-15 06:30:00+00:00,2013-05-15 07:00:00+00:00,1,1.5000000000000635,TP,False
S2R2-01,prior_day_value,EURAUD,2013-06-14 06:15:00+00:00,2013-06-14 06:30:00+00:00,2013-06-14 06:45:00+00:00,-1,-1.0000000000000273,SL,False
S2R2-01,prior_day_value,EURAUD,2013-06-14 06:45:00+00:00,2013-06-14 07:00:00+00:00,2013-06-14 07:45:00+00:00,1,-0.9999999999999616,SL,False
S2R2-01,prior_day_value,EURAUD,2013-07-04 06:45:00+00:00,2013-07-04 07:00:00+00:00,2013-07-04 07:30:00+00:00,1,-1.0000000000000193,SL,False
S2R2-01,prior_day_value,EURAUD,2013-08-23 05:15:00+00:00,2013-08-23 05:30:00+00:00,2013-08-23 06:00:00+00:00,1,1.4999999999999778,TP,False
S2R2-01,prior_day_value,EURAUD,2013-08-26 05:15:00+00:00,2013-08-26 05:30:00+00:00,2013-08-26 05:30:00+00:00,1,-1.0000000000000884,SL,False
S2R2-01,prior_day_value,EURAUD,2013-09-11 05:00:00+00:00,2013-09-11 05:15:00+00:00,2013-09-11 07:30:00+00:00,-1,-0.9999999999999296,SL,False
S2R2-01,prior_day_value,EURAUD,2013-09-19 05:15:00+00:00,2013-09-19 05:30:00+00:00,2013-09-19 06:30:00+00:00,-1,1.4999999999999187,TP,False
S2R2-01,prior_day_value,EURAUD,2013-10-18 05:00:00+00:00,2013-10-18 05:15:00+00:00,2013-10-18 06:00:00+00:00,1,-1.000000000000039,SL,False
S2R2-01,prior_day_value,EURAUD,2013-10-24 06:00:00+00:00,2013-10-24 06:15:00+00:00,2013-10-24 07:15:00+00:00,1,1.500000000000025,TP,False
S2R2-01,prior_day_value,EURAUD,2013-11-14 05:00:00+00:00,2013-11-14 05:15:00+00:00,2013-11-14 07:00:00+00:00,-1,-1.0000000000000446,SL,False
