hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-10,overnight_unwind,EURGBP,2013-01-21 07:30:00+00:00,2013-01-21 07:45:00+00:00,2013-01-21 08:00:00+00:00,1,-0.9999999999999666,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-01-29 07:00:00+00:00,2013-01-29 07:15:00+00:00,2013-01-29 07:15:00+00:00,1,-1.0000000000000582,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-02-04 07:45:00+00:00,2013-02-04 08:00:00+00:00,2013-02-04 08:00:00+00:00,1,-1.000000000000074,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-02-12 07:30:00+00:00,2013-02-12 07:45:00+00:00,2013-02-12 08:45:00+00:00,1,1.5,TP,False
S2R2-10,overnight_unwind,EURGBP,2013-03-06 07:30:00+00:00,2013-03-06 07:45:00+00:00,2013-03-06 08:00:00+00:00,-1,-0.99999999999997,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-03-06 08:00:00+00:00,2013-03-06 08:15:00+00:00,2013-03-06 08:15:00+00:00,-1,-1.0000000000000508,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-03-06 08:15:00+00:00,2013-03-06 08:30:00+00:00,2013-03-06 08:30:00+00:00,-1,-1.000000000000073,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-04-17 07:00:00+00:00,2013-04-17 07:15:00+00:00,2013-04-17 07:15:00+00:00,-1,-0.9999999999999101,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-04-17 07:30:00+00:00,2013-04-17 07:45:00+00:00,2013-04-17 08:15:00+00:00,-1,-1.0000000000000804,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-04-17 08:15:00+00:00,2013-04-17 08:30:00+00:00,2013-04-17 08:30:00+00:00,-1,-1.0000000000000224,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-04-24 07:00:00+00:00,2013-04-24 07:15:00+00:00,2013-04-24 07:15:00+00:00,1,-1.0000000000000235,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-04-24 07:30:00+00:00,2013-04-24 07:45:00+00:00,2013-04-24 07:45:00+00:00,1,-0.9999999999999792,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-05-03 08:15:00+00:00,2013-05-03 08:30:00+00:00,2013-05-03 08:30:00+00:00,-1,-1.00000000000005,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-05-06 07:15:00+00:00,2013-05-06 07:30:00+00:00,2013-05-06 07:45:00+00:00,1,1.4999999999999538,TP,False
S2R2-10,overnight_unwind,EURGBP,2013-06-12 08:00:00+00:00,2013-06-12 08:15:00+00:00,2013-06-12 08:30:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-06-19 08:00:00+00:00,2013-06-19 08:15:00+00:00,2013-06-19 08:30:00+00:00,1,-1.0,SL,True
S2R2-10,overnight_unwind,EURGBP,2013-06-19 08:30:00+00:00,2013-06-19 08:45:00+00:00,2013-06-19 10:45:00+00:00,1,-0.99999999999998,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-07-17 07:00:00+00:00,2013-07-17 07:15:00+00:00,2013-07-17 08:00:00+00:00,-1,-1.0000000000000389,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-07-17 08:00:00+00:00,2013-07-17 08:15:00+00:00,2013-07-17 08:30:00+00:00,-1,-0.9999999999999739,SL,True
S2R2-10,overnight_unwind,EURGBP,2013-07-17 08:30:00+00:00,2013-07-17 08:45:00+00:00,2013-07-17 09:00:00+00:00,-1,-0.9999999999999878,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-07-25 07:00:00+00:00,2013-07-25 07:15:00+00:00,2013-07-25 07:45:00+00:00,1,-1.000000000000078,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-08-09 07:00:00+00:00,2013-08-09 07:15:00+00:00,2013-08-09 07:30:00+00:00,1,1.49999999999995,TP,False
S2R2-10,overnight_unwind,EURGBP,2013-08-16 07:00:00+00:00,2013-08-16 07:15:00+00:00,2013-08-16 08:45:00+00:00,1,-1.0000000000001177,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-08-19 07:15:00+00:00,2013-08-19 07:30:00+00:00,2013-08-19 07:45:00+00:00,1,-1.0000000000001297,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-08-30 07:00:00+00:00,2013-08-30 07:15:00+00:00,2013-08-30 08:00:00+00:00,1,1.5,TP,False
S2R2-10,overnight_unwind,EURGBP,2013-09-04 07:00:00+00:00,2013-09-04 07:15:00+00:00,2013-09-04 07:15:00+00:00,1,-1.0000000000000482,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-09-09 07:45:00+00:00,2013-09-09 08:00:00+00:00,2013-09-09 08:00:00+00:00,1,-1.0000000000000744,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-09-09 08:30:00+00:00,2013-09-09 08:45:00+00:00,2013-09-09 09:00:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-10-18 07:30:00+00:00,2013-10-18 07:45:00+00:00,2013-10-18 07:45:00+00:00,1,-0.9999999999999266,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-10-18 08:15:00+00:00,2013-10-18 08:30:00+00:00,2013-10-18 09:45:00+00:00,1,-0.9999999999999166,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-10-28 08:00:00+00:00,2013-10-28 08:15:00+00:00,2013-10-28 08:45:00+00:00,1,-1.000000000000135,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-11-05 08:00:00+00:00,2013-11-05 08:15:00+00:00,2013-11-05 08:45:00+00:00,1,-0.9999999999999305,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-11-19 07:00:00+00:00,2013-11-19 07:15:00+00:00,2013-11-19 07:45:00+00:00,-1,-1.0000000000000637,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-11-19 08:00:00+00:00,2013-11-19 08:15:00+00:00,2013-11-19 08:30:00+00:00,-1,1.5000000000000935,TP,False
S2R2-10,overnight_unwind,EURGBP,2013-12-09 07:00:00+00:00,2013-12-09 07:15:00+00:00,2013-12-09 07:15:00+00:00,1,-1.0000000000001301,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-12-09 08:00:00+00:00,2013-12-09 08:15:00+00:00,2013-12-09 08:45:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-12-25 07:15:00+00:00,2013-12-25 07:30:00+00:00,2013-12-25 07:30:00+00:00,-1,-1.0000000000000304,SL,False
S2R2-10,overnight_unwind,EURGBP,2013-12-31 07:00:00+00:00,2013-12-31 07:15:00+00:00,2013-12-31 07:30:00+00:00,1,-1.0000000000000637,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-01-10 07:45:00+00:00,2014-01-10 08:00:00+00:00,2014-01-10 08:15:00+00:00,-1,-1.000000000000093,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-01-10 08:30:00+00:00,2014-01-10 08:45:00+00:00,2014-01-10 09:00:00+00:00,-1,-0.9999999999998783,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-01-17 08:30:00+00:00,2014-01-17 08:45:00+00:00,2014-01-17 09:15:00+00:00,-1,1.4999999999999698,TP,False
S2R2-10,overnight_unwind,EURGBP,2014-02-03 07:15:00+00:00,2014-02-03 07:30:00+00:00,2014-02-03 07:30:00+00:00,-1,-0.9999999999999059,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-03-05 07:00:00+00:00,2014-03-05 07:15:00+00:00,2014-03-05 07:15:00+00:00,1,-0.9999999999998375,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-03-05 07:45:00+00:00,2014-03-05 08:00:00+00:00,2014-03-05 08:00:00+00:00,1,-1.0000000000000409,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-03-05 08:30:00+00:00,2014-03-05 08:45:00+00:00,2014-03-05 09:00:00+00:00,1,-0.9999999999999687,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-03-24 08:00:00+00:00,2014-03-24 08:15:00+00:00,2014-03-24 08:30:00+00:00,-1,1.4999999999999412,TP,False
S2R2-10,overnight_unwind,EURGBP,2014-03-28 07:00:00+00:00,2014-03-28 07:15:00+00:00,2014-03-28 07:45:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-04-21 08:15:00+00:00,2014-04-21 08:30:00+00:00,2014-04-21 09:45:00+00:00,1,1.5,TP,False
S2R2-10,overnight_unwind,EURGBP,2014-04-25 07:30:00+00:00,2014-04-25 07:45:00+00:00,2014-04-25 08:00:00+00:00,-1,-1.0000000000001499,SL,False
S2R2-10,overnight_unwind,EURGBP,2014-04-25 08:30:00+00:00,2014-04-25 08:45:00+00:00,2014-04-25 11:00:00+00:00,-1,1.4999999999999318,TP,False
S2R2-10,overnight_unwind,EURGBP,2014-05-02 08:30:00+00:00,2014-05-02 08:45:00+00:00,2014-05-02 10:00:00+00:00,1,1.5000000000000766,TP,False
