hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-05,two_hour_fade,EURJPY,2013-01-31 09:45:00+00:00,2013-01-31 10:00:00+00:00,2013-01-31 14:15:00+00:00,-1,-1.0000000000000093,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-02-18 09:45:00+00:00,2013-02-18 10:00:00+00:00,2013-02-18 15:45:00+00:00,-1,0.2665731336303505,TIME,False
S2R2-05,two_hour_fade,EURJPY,2013-02-20 10:00:00+00:00,2013-02-20 10:15:00+00:00,2013-02-20 13:15:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-02-27 09:15:00+00:00,2013-02-27 09:30:00+00:00,2013-02-27 13:30:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-03-05 09:15:00+00:00,2013-03-05 09:30:00+00:00,2013-03-05 10:30:00+00:00,-1,1.5,TP,False
S2R2-05,two_hour_fade,EURJPY,2013-03-05 10:30:00+00:00,2013-03-05 10:45:00+00:00,2013-03-05 15:15:00+00:00,1,1.5000000000000264,TP,False
S2R2-05,two_hour_fade,EURJPY,2013-04-03 10:15:00+00:00,2013-04-03 10:30:00+00:00,2013-04-03 13:00:00+00:00,-1,1.5,TP,False
S2R2-05,two_hour_fade,EURJPY,2013-04-26 09:00:00+00:00,2013-04-26 09:15:00+00:00,2013-04-26 12:00:00+00:00,1,-1.0000000000000344,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-05-06 09:30:00+00:00,2013-05-06 09:45:00+00:00,2013-05-06 10:45:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-05-15 09:15:00+00:00,2013-05-15 09:30:00+00:00,2013-05-15 09:30:00+00:00,1,-1.0000000000000204,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-05-15 10:00:00+00:00,2013-05-15 10:15:00+00:00,2013-05-15 12:15:00+00:00,1,-1.000000000000066,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-05-20 10:15:00+00:00,2013-05-20 10:30:00+00:00,2013-05-20 12:30:00+00:00,-1,1.5000000000000853,TP,False
S2R2-05,two_hour_fade,EURJPY,2013-05-21 10:15:00+00:00,2013-05-21 10:30:00+00:00,2013-05-21 11:15:00+00:00,1,-1.0000000000000966,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-06-06 09:15:00+00:00,2013-06-06 09:30:00+00:00,2013-06-06 10:30:00+00:00,1,-0.9999999999999559,SL,False
S2R2-05,two_hour_fade,EURJPY,2013-06-26 09:15:00+00:00,2013-06-26 09:30:00+00:00,2013-06-26 10:00:00+00:00,1,-0.9999999999999738,SL,False
