hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-10,overnight_unwind,EURUSD,2013-01-23 07:00:00+00:00,2013-01-23 07:15:00+00:00,2013-01-23 07:30:00+00:00,1,1.4999999999998834,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-01-23 08:00:00+00:00,2013-01-23 08:15:00+00:00,2013-01-23 08:15:00+00:00,1,-0.9999999999999059,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-01-23 08:30:00+00:00,2013-01-23 08:45:00+00:00,2013-01-23 09:00:00+00:00,1,-1.0000000000000278,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-01-28 07:00:00+00:00,2013-01-28 07:15:00+00:00,2013-01-28 07:30:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-01-28 07:30:00+00:00,2013-01-28 07:45:00+00:00,2013-01-28 07:45:00+00:00,1,-1.0000000000000726,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-02-12 07:45:00+00:00,2013-02-12 08:00:00+00:00,2013-02-12 08:00:00+00:00,1,-1.0000000000000946,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-02-12 08:00:00+00:00,2013-02-12 08:15:00+00:00,2013-02-12 08:15:00+00:00,1,-0.999999999999971,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-03-11 07:15:00+00:00,2013-03-11 07:30:00+00:00,2013-03-11 08:00:00+00:00,-1,-0.99999999999992,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-03-11 08:00:00+00:00,2013-03-11 08:15:00+00:00,2013-03-11 08:30:00+00:00,-1,1.4999999999998994,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-03-13 07:00:00+00:00,2013-03-13 07:15:00+00:00,2013-03-13 07:30:00+00:00,-1,-1.0000000000002007,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-03-13 08:30:00+00:00,2013-03-13 08:45:00+00:00,2013-03-13 08:45:00+00:00,-1,1.500000000000067,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-04-30 07:30:00+00:00,2013-04-30 07:45:00+00:00,2013-04-30 08:45:00+00:00,1,-0.9999999999999192,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-05-03 08:15:00+00:00,2013-05-03 08:30:00+00:00,2013-05-03 08:30:00+00:00,-1,-1.0000000000000222,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-05-06 07:30:00+00:00,2013-05-06 07:45:00+00:00,2013-05-06 08:45:00+00:00,1,-0.9999999999999593,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-06-03 07:45:00+00:00,2013-06-03 08:00:00+00:00,2013-06-03 08:00:00+00:00,-1,-1.00000000000003,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-06-03 08:15:00+00:00,2013-06-03 08:30:00+00:00,2013-06-03 10:45:00+00:00,-1,1.4999999999999734,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-06-10 07:15:00+00:00,2013-06-10 07:30:00+00:00,2013-06-10 07:45:00+00:00,1,1.4999999999998936,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-06-24 07:00:00+00:00,2013-06-24 07:15:00+00:00,2013-06-24 07:15:00+00:00,1,1.5,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-07-04 07:15:00+00:00,2013-07-04 07:30:00+00:00,2013-07-04 09:45:00+00:00,1,1.500000000000072,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-07-15 07:00:00+00:00,2013-07-15 07:15:00+00:00,2013-07-15 08:30:00+00:00,1,-0.9999999999998787,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-07-17 07:00:00+00:00,2013-07-17 07:15:00+00:00,2013-07-17 07:15:00+00:00,1,-0.9999999999998624,SL,False
S2R2-10,overnight_unwind,EURUSD,2013-07-17 07:30:00+00:00,2013-07-17 07:45:00+00:00,2013-07-17 08:00:00+00:00,1,1.4999999999999667,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-09-02 07:00:00+00:00,2013-09-02 07:15:00+00:00,2013-09-02 07:45:00+00:00,-1,1.4999999999999627,TP,False
S2R2-10,overnight_unwind,EURUSD,2013-09-09 07:00:00+00:00,2013-09-09 07:15:00+00:00,2013-09-09 07:15:00+00:00,-1,1.5,TP,False
