hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-01,prior_day_value,GBPAUD,2013-01-11 06:30:00+00:00,2013-01-11 06:45:00+00:00,2013-01-11 06:45:00+00:00,1,-0.9999999999999158,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-01-14 05:00:00+00:00,2013-01-14 05:15:00+00:00,2013-01-14 05:45:00+00:00,-1,-1.0000000000000895,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-01-28 06:45:00+00:00,2013-01-28 07:00:00+00:00,2013-01-28 08:15:00+00:00,-1,-0.9999999999999702,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-02-07 06:00:00+00:00,2013-02-07 06:15:00+00:00,2013-02-07 06:15:00+00:00,1,-0.999999999999928,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-02-12 05:15:00+00:00,2013-02-12 05:30:00+00:00,2013-02-12 06:15:00+00:00,-1,-1.0000000000000278,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-03-27 05:00:00+00:00,2013-03-27 05:15:00+00:00,2013-03-27 05:45:00+00:00,-1,-1.000000000000042,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-03-27 06:15:00+00:00,2013-03-27 06:30:00+00:00,2013-03-27 06:30:00+00:00,-1,-1.000000000000084,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-03-27 06:45:00+00:00,2013-03-27 07:00:00+00:00,2013-03-27 07:00:00+00:00,-1,-1.000000000000129,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-04-04 06:15:00+00:00,2013-04-04 06:30:00+00:00,2013-04-04 06:30:00+00:00,1,-0.9999999999999601,SL,False
S2R2-01,prior_day_value,GBPAUD,2013-05-03 06:30:00+00:00,2013-05-03 06:45:00+00:00,2013-05-03 08:15:00+00:00,1,1.4999999999999185,TP,False
S2R2-01,prior_day_value,GBPAUD,2013-05-14 06:00:00+00:00,2013-05-14 06:15:00+00:00,2013-05-14 09:00:00+00:00,1,1.4999999999999385,TP,False
S2R2-01,prior_day_value,GBPAUD,2013-06-14 06:15:00+00:00,2013-06-14 06:30:00+00:00,2013-06-14 08:15:00+00:00,-1,1.4999999999999627,TP,False
S2R2-01,prior_day_value,GBPAUD,2013-06-19 06:30:00+00:00,2013-06-19 06:45:00+00:00,2013-06-19 07:00:00+00:00,1,-1.0000000000000346,SL,False
