hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-05,two_hour_fade,GBPJPY,2013-01-29 09:45:00+00:00,2013-01-29 10:00:00+00:00,2013-01-29 10:30:00+00:00,1,-0.9999999999999488,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-01-29 10:30:00+00:00,2013-01-29 10:45:00+00:00,2013-01-29 11:15:00+00:00,1,-1.0000000000000528,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-02-19 09:30:00+00:00,2013-02-19 09:45:00+00:00,2013-02-19 12:00:00+00:00,-1,1.5000000000000544,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-02-27 09:15:00+00:00,2013-02-27 09:30:00+00:00,2013-02-27 15:00:00+00:00,-1,-0.9999999999999527,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-04-22 09:00:00+00:00,2013-04-22 09:15:00+00:00,2013-04-22 12:45:00+00:00,-1,1.5000000000000324,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-04-30 09:00:00+00:00,2013-04-30 09:15:00+00:00,2013-04-30 09:30:00+00:00,1,-0.9999999999999375,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-05-02 09:00:00+00:00,2013-05-02 09:15:00+00:00,2013-05-02 10:30:00+00:00,-1,-1.0000000000000402,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-06-06 09:15:00+00:00,2013-06-06 09:30:00+00:00,2013-06-06 10:30:00+00:00,1,-0.9999999999999453,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-06-28 09:15:00+00:00,2013-06-28 09:30:00+00:00,2013-06-28 13:30:00+00:00,-1,1.4999999999999811,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-07-04 10:15:00+00:00,2013-07-04 10:30:00+00:00,2013-07-04 11:00:00+00:00,1,-0.9999999999999392,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-08-29 10:15:00+00:00,2013-08-29 10:30:00+00:00,2013-08-29 11:15:00+00:00,1,1.5000000000000473,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-09-12 09:15:00+00:00,2013-09-12 09:30:00+00:00,2013-09-12 14:00:00+00:00,-1,1.5000000000000364,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-10-11 10:15:00+00:00,2013-10-11 10:30:00+00:00,2013-10-11 10:45:00+00:00,1,-1.000000000000046,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-10-14 09:30:00+00:00,2013-10-14 09:45:00+00:00,2013-10-14 12:30:00+00:00,1,1.499999999999877,TP,False
S2R2-05,two_hour_fade,GBPJPY,2013-10-18 09:00:00+00:00,2013-10-18 09:15:00+00:00,2013-10-18 09:15:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-10-21 09:30:00+00:00,2013-10-21 09:45:00+00:00,2013-10-21 15:30:00+00:00,1,-0.1801310986379872,TIME,False
S2R2-05,two_hour_fade,GBPJPY,2013-10-22 09:45:00+00:00,2013-10-22 10:00:00+00:00,2013-10-22 12:15:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-12-17 09:00:00+00:00,2013-12-17 09:15:00+00:00,2013-12-17 09:30:00+00:00,1,-1.0000000000000644,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-12-18 09:15:00+00:00,2013-12-18 09:30:00+00:00,2013-12-18 09:30:00+00:00,-1,-1.0000000000000504,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-12-20 09:30:00+00:00,2013-12-20 09:45:00+00:00,2013-12-20 15:30:00+00:00,-1,1.1178909181539998,TIME,False
S2R2-05,two_hour_fade,GBPJPY,2013-12-23 09:15:00+00:00,2013-12-23 09:30:00+00:00,2013-12-23 09:45:00+00:00,1,-0.9999999999999618,SL,False
S2R2-05,two_hour_fade,GBPJPY,2013-12-26 10:00:00+00:00,2013-12-26 10:15:00+00:00,2013-12-26 12:15:00+00:00,-1,-0.999999999999887,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-02-26 09:15:00+00:00,2014-02-26 09:30:00+00:00,2014-02-26 09:30:00+00:00,-1,-0.9999999999999527,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-02-26 09:30:00+00:00,2014-02-26 09:45:00+00:00,2014-02-26 10:30:00+00:00,-1,-0.9999999999999796,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-03-06 10:00:00+00:00,2014-03-06 10:15:00+00:00,2014-03-06 12:00:00+00:00,1,1.4999999999999776,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-03-25 09:30:00+00:00,2014-03-25 09:45:00+00:00,2014-03-25 10:30:00+00:00,-1,-0.9999999999999373,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-03-25 10:30:00+00:00,2014-03-25 10:45:00+00:00,2014-03-25 12:00:00+00:00,-1,-0.9999999999999608,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-01 09:30:00+00:00,2014-04-01 09:45:00+00:00,2014-04-01 10:15:00+00:00,1,-1.0000000000000717,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-01 10:15:00+00:00,2014-04-01 10:30:00+00:00,2014-04-01 12:15:00+00:00,1,-0.9999999999999774,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-04 09:15:00+00:00,2014-04-04 09:30:00+00:00,2014-04-04 09:45:00+00:00,1,-1.0000000000001046,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-04 10:00:00+00:00,2014-04-04 10:15:00+00:00,2014-04-04 10:30:00+00:00,1,-1.000000000000104,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-04 10:45:00+00:00,2014-04-04 11:00:00+00:00,2014-04-04 11:45:00+00:00,1,-0.9999999999999696,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-18 09:45:00+00:00,2014-04-18 10:00:00+00:00,2014-04-18 10:15:00+00:00,1,-1.000000000000131,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-18 10:30:00+00:00,2014-04-18 10:45:00+00:00,2014-04-18 10:45:00+00:00,1,-0.9999999999999339,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-04-21 10:30:00+00:00,2014-04-21 10:45:00+00:00,2014-04-21 11:00:00+00:00,1,-1.0000000000001914,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-05-07 10:45:00+00:00,2014-05-07 11:00:00+00:00,2014-05-07 11:15:00+00:00,1,1.4999999999999667,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-05-08 10:00:00+00:00,2014-05-08 10:15:00+00:00,2014-05-08 11:45:00+00:00,1,-0.9999999999999659,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-05-30 09:15:00+00:00,2014-05-30 09:30:00+00:00,2014-05-30 13:00:00+00:00,1,1.5,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-05 10:15:00+00:00,2014-06-05 10:30:00+00:00,2014-06-05 11:30:00+00:00,-1,1.4999999999999316,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-06 09:15:00+00:00,2014-06-06 09:30:00+00:00,2014-06-06 09:30:00+00:00,-1,-0.9999999999999625,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-09 10:00:00+00:00,2014-06-09 10:15:00+00:00,2014-06-09 11:15:00+00:00,1,-0.9999999999999158,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-12 10:00:00+00:00,2014-06-12 10:15:00+00:00,2014-06-12 13:45:00+00:00,1,-0.9999999999999739,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-13 09:30:00+00:00,2014-06-13 09:45:00+00:00,2014-06-13 13:00:00+00:00,1,1.499999999999931,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-16 09:45:00+00:00,2014-06-16 10:00:00+00:00,2014-06-16 10:30:00+00:00,1,-0.9999999999999101,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-19 09:15:00+00:00,2014-06-19 09:30:00+00:00,2014-06-19 10:45:00+00:00,-1,-1.0000000000000657,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-20 09:15:00+00:00,2014-06-20 09:30:00+00:00,2014-06-20 14:00:00+00:00,-1,1.5000000000000973,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-30 10:00:00+00:00,2014-06-30 10:15:00+00:00,2014-06-30 10:45:00+00:00,1,1.4999999999999334,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-06-30 10:45:00+00:00,2014-06-30 11:00:00+00:00,2014-06-30 11:00:00+00:00,-1,-1.0000000000001044,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-07-09 09:45:00+00:00,2014-07-09 10:00:00+00:00,2014-07-09 13:45:00+00:00,1,1.4999999999998952,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-07-21 10:45:00+00:00,2014-07-21 11:00:00+00:00,2014-07-21 13:45:00+00:00,-1,1.500000000000072,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-07-29 09:15:00+00:00,2014-07-29 09:30:00+00:00,2014-07-29 10:15:00+00:00,1,-0.9999999999999649,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-08-11 10:30:00+00:00,2014-08-11 10:45:00+00:00,2014-08-11 11:00:00+00:00,1,-1.0000000000000413,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-08-12 09:15:00+00:00,2014-08-12 09:30:00+00:00,2014-08-12 09:45:00+00:00,1,1.5,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-08-12 10:45:00+00:00,2014-08-12 11:00:00+00:00,2014-08-12 12:15:00+00:00,-1,1.499999999999959,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-08-27 09:15:00+00:00,2014-08-27 09:30:00+00:00,2014-08-27 10:15:00+00:00,-1,-0.9999999999999637,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-09-04 09:45:00+00:00,2014-09-04 10:00:00+00:00,2014-09-04 12:00:00+00:00,1,-0.9999999999999057,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-09-29 09:00:00+00:00,2014-09-29 09:15:00+00:00,2014-09-29 09:30:00+00:00,1,-1.0,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-06 09:30:00+00:00,2014-10-06 09:45:00+00:00,2014-10-06 13:45:00+00:00,-1,-1.0000000000000235,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-07 09:15:00+00:00,2014-10-07 09:30:00+00:00,2014-10-07 09:45:00+00:00,1,-0.9999999999999825,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-07 10:00:00+00:00,2014-10-07 10:15:00+00:00,2014-10-07 11:15:00+00:00,1,-0.999999999999956,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-20 09:00:00+00:00,2014-10-20 09:15:00+00:00,2014-10-20 09:30:00+00:00,-1,-1.0,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-20 10:45:00+00:00,2014-10-20 11:00:00+00:00,2014-10-20 12:15:00+00:00,-1,-1.000000000000056,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-27 10:15:00+00:00,2014-10-27 10:30:00+00:00,2014-10-27 14:30:00+00:00,1,1.5000000000000568,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-28 09:00:00+00:00,2014-10-28 09:15:00+00:00,2014-10-28 10:00:00+00:00,1,1.4999999999999427,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-30 09:00:00+00:00,2014-10-30 09:15:00+00:00,2014-10-30 09:15:00+00:00,1,-1.0000000000000786,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-10-30 09:15:00+00:00,2014-10-30 09:30:00+00:00,2014-10-30 15:15:00+00:00,1,0.7584393073217888,TIME,False
S2R2-05,two_hour_fade,GBPJPY,2014-11-04 09:30:00+00:00,2014-11-04 09:45:00+00:00,2014-11-04 09:45:00+00:00,1,-0.9999999999999656,SL,False
S2R2-05,two_hour_fade,GBPJPY,2014-11-17 10:30:00+00:00,2014-11-17 10:45:00+00:00,2014-11-17 14:45:00+00:00,1,1.4999999999999858,TP,False
S2R2-05,two_hour_fade,GBPJPY,2014-11-18 09:00:00+00:00,2014-11-18 09:15:00+00:00,2014-11-18 09:30:00+00:00,1,1.4999999999999354,TP,False
