hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-03,ny_opening_drive,GBPUSD,2013-06-11 17:45:00+00:00,2013-06-11 18:00:00+00:00,2013-06-11 19:30:00+00:00,1,1.499999999999983,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2013-08-30 14:30:00+00:00,2013-08-30 14:45:00+00:00,2013-08-30 16:00:00+00:00,-1,-0.07164462368780025,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2013-09-11 14:45:00+00:00,2013-09-11 15:00:00+00:00,2013-09-11 16:00:00+00:00,1,-0.9999999999999772,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2013-09-25 15:45:00+00:00,2013-09-25 16:00:00+00:00,2013-09-25 21:45:00+00:00,1,-0.10711755135554307,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2013-11-14 15:30:00+00:00,2013-11-14 15:45:00+00:00,2013-11-14 18:30:00+00:00,1,-1.0000000000000315,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2014-01-27 16:15:00+00:00,2014-01-27 16:30:00+00:00,2014-01-27 22:15:00+00:00,1,-0.21925398815946803,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2014-07-21 15:00:00+00:00,2014-07-21 15:15:00+00:00,2014-07-21 15:45:00+00:00,-1,-0.9999999999999608,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2014-12-04 16:00:00+00:00,2014-12-04 16:15:00+00:00,2014-12-04 17:15:00+00:00,1,-1.0000000000000275,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2014-12-23 14:45:00+00:00,2014-12-23 15:00:00+00:00,2014-12-23 15:30:00+00:00,-1,-1.0,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2015-02-05 18:00:00+00:00,2015-02-05 18:15:00+00:00,2015-02-06 00:00:00+00:00,1,-0.2528238079134258,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2015-02-25 17:45:00+00:00,2015-02-25 18:00:00+00:00,2015-02-25 19:30:00+00:00,1,1.500000000000057,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2015-03-13 17:15:00+00:00,2015-03-13 17:30:00+00:00,2015-03-13 17:30:00+00:00,-1,-0.2276581216160851,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2015-04-06 14:45:00+00:00,2015-04-06 15:00:00+00:00,2015-04-06 15:45:00+00:00,1,-1.0000000000000535,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2015-04-14 14:15:00+00:00,2015-04-14 14:30:00+00:00,2015-04-14 20:15:00+00:00,1,-0.5399022519577461,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2015-07-01 15:30:00+00:00,2015-07-01 15:45:00+00:00,2015-07-01 17:45:00+00:00,-1,1.5000000000000344,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2015-11-05 17:15:00+00:00,2015-11-05 17:30:00+00:00,2015-11-05 23:15:00+00:00,-1,1.1728058382946034,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2015-12-02 14:30:00+00:00,2015-12-02 14:45:00+00:00,2015-12-02 15:00:00+00:00,-1,1.5,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2016-01-04 14:45:00+00:00,2016-01-04 15:00:00+00:00,2016-01-04 15:45:00+00:00,-1,1.4999999999999636,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2016-03-17 15:45:00+00:00,2016-03-17 16:00:00+00:00,2016-03-17 21:45:00+00:00,1,-0.49871306869675547,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2016-03-23 15:30:00+00:00,2016-03-23 15:45:00+00:00,2016-03-23 21:30:00+00:00,-1,-0.3992480751555348,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2016-05-05 17:15:00+00:00,2016-05-05 17:30:00+00:00,2016-05-05 22:00:00+00:00,-1,-1.0000000000000162,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2016-06-09 16:00:00+00:00,2016-06-09 16:15:00+00:00,2016-06-09 18:00:00+00:00,-1,-1.0000000000000482,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2016-09-08 15:45:00+00:00,2016-09-08 16:00:00+00:00,2016-09-08 21:45:00+00:00,-1,-0.03850025781422643,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2016-09-13 14:45:00+00:00,2016-09-13 15:00:00+00:00,2016-09-13 17:15:00+00:00,-1,-1.0,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2016-10-10 18:00:00+00:00,2016-10-10 18:15:00+00:00,2016-10-10 21:00:00+00:00,-1,-1.0000000000000218,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2016-11-17 18:30:00+00:00,2016-11-17 18:45:00+00:00,2016-11-18 00:30:00+00:00,-1,0.8097915175702994,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2016-12-22 15:45:00+00:00,2016-12-22 16:00:00+00:00,2016-12-22 21:45:00+00:00,-1,0.6191385970457918,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2017-03-13 15:30:00+00:00,2017-03-13 15:45:00+00:00,2017-03-13 15:45:00+00:00,1,-0.9999999999999727,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2017-03-23 15:45:00+00:00,2017-03-23 16:00:00+00:00,2017-03-23 18:15:00+00:00,1,-0.9999999999999769,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2017-05-29 22:15:00+00:00,2017-05-29 22:30:00+00:00,2017-05-29 23:15:00+00:00,-1,1.4999999999999487,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2017-06-20 15:00:00+00:00,2017-06-20 15:15:00+00:00,2017-06-20 15:30:00+00:00,-1,-0.9999999999999838,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2017-07-21 15:15:00+00:00,2017-07-21 15:30:00+00:00,2017-07-21 16:00:00+00:00,-1,-0.49973538289695896,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2017-12-19 16:15:00+00:00,2017-12-19 16:30:00+00:00,2017-12-19 16:45:00+00:00,-1,-1.000000000000018,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-04-10 18:45:00+00:00,2018-04-10 19:00:00+00:00,2018-04-10 21:15:00+00:00,1,-1.0000000000000264,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-04-16 19:30:00+00:00,2018-04-16 19:45:00+00:00,2018-04-17 00:30:00+00:00,1,1.4999999999999545,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2018-04-20 20:45:00+00:00,2018-04-22 21:00:00+00:00,2018-04-23 00:15:00+00:00,-1,-0.9999999999999386,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-05-02 14:45:00+00:00,2018-05-02 15:00:00+00:00,2018-05-02 18:00:00+00:00,-1,-0.9999999999999825,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-07-06 20:00:00+00:00,2018-07-06 20:15:00+00:00,2018-07-06 20:15:00+00:00,1,-0.08293575204046877,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2018-08-01 16:15:00+00:00,2018-08-01 16:30:00+00:00,2018-08-01 17:45:00+00:00,-1,-0.9999999999999263,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-08-21 16:45:00+00:00,2018-08-21 17:00:00+00:00,2018-08-21 17:45:00+00:00,1,1.4999999999999407,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2018-11-21 14:45:00+00:00,2018-11-21 15:00:00+00:00,2018-11-21 15:00:00+00:00,-1,-1.0,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2018-12-10 15:45:00+00:00,2018-12-10 16:00:00+00:00,2018-12-10 17:00:00+00:00,-1,-0.9999999999999896,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2019-01-02 15:45:00+00:00,2019-01-02 16:00:00+00:00,2019-01-02 21:45:00+00:00,-1,-0.5471098170631215,TIME,False
S2R2-03,ny_opening_drive,GBPUSD,2019-03-28 16:15:00+00:00,2019-03-28 16:30:00+00:00,2019-03-28 16:30:00+00:00,-1,1.499999999999986,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2019-04-05 14:45:00+00:00,2019-04-05 15:00:00+00:00,2019-04-05 16:00:00+00:00,-1,0.42469542103098,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2019-05-14 15:00:00+00:00,2019-05-14 15:15:00+00:00,2019-05-14 15:45:00+00:00,-1,-1.0000000000000517,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2019-10-11 14:45:00+00:00,2019-10-11 15:00:00+00:00,2019-10-11 16:00:00+00:00,1,-0.38587100947820224,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2019-12-31 15:00:00+00:00,2019-12-31 15:15:00+00:00,2019-12-31 16:00:00+00:00,1,1.4999999999999822,TP,False
S2R2-03,ny_opening_drive,GBPUSD,2020-03-17 15:30:00+00:00,2020-03-17 15:45:00+00:00,2020-03-17 17:15:00+00:00,-1,-1.0000000000000089,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2020-04-09 17:45:00+00:00,2020-04-09 18:00:00+00:00,2020-04-09 18:00:00+00:00,1,-1.0000000000000324,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2020-04-24 15:00:00+00:00,2020-04-24 15:15:00+00:00,2020-04-24 16:00:00+00:00,-1,-0.7319366922444799,FRIDAY,False
S2R2-03,ny_opening_drive,GBPUSD,2020-04-29 18:00:00+00:00,2020-04-29 18:15:00+00:00,2020-04-29 18:45:00+00:00,1,-0.9999999999999265,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2020-06-08 15:00:00+00:00,2020-06-08 15:15:00+00:00,2020-06-08 15:15:00+00:00,1,-0.9999999999999466,SL,False
S2R2-03,ny_opening_drive,GBPUSD,2020-06-19 14:15:00+00:00,2020-06-19 14:30:00+00:00,2020-06-19 16:00:00+00:00,-1,0.9896456037421708,FRIDAY,False
