hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-12 15:00:00+00:00,2013-04-12 15:15:00+00:00,2013-04-12 15:30:00+00:00,1,-0.999999999999989,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-15 14:45:00+00:00,2013-04-15 15:00:00+00:00,2013-04-15 15:30:00+00:00,1,1.5000000000000124,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-19 14:00:00+00:00,2013-04-19 14:15:00+00:00,2013-04-19 16:00:00+00:00,1,-0.3768408297707123,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-01 14:15:00+00:00,2013-05-01 14:30:00+00:00,2013-05-01 20:15:00+00:00,1,0.531961544948558,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-08 14:30:00+00:00,2013-05-08 14:45:00+00:00,2013-05-08 18:45:00+00:00,1,-1.0,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-31 15:00:00+00:00,2013-05-31 15:15:00+00:00,2013-05-31 16:00:00+00:00,1,0.264555973043932,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-07 15:15:00+00:00,2013-06-07 15:30:00+00:00,2013-06-07 16:00:00+00:00,1,0.04797624406269525,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-11 15:15:00+00:00,2013-06-11 15:30:00+00:00,2013-06-11 19:00:00+00:00,-1,-1.000000000000021,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-20 15:00:00+00:00,2013-06-20 15:15:00+00:00,2013-06-20 16:30:00+00:00,1,1.5000000000000069,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-07-11 14:30:00+00:00,2013-07-11 14:45:00+00:00,2013-07-11 15:00:00+00:00,1,-0.9999999999999927,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-07-11 15:15:00+00:00,2013-07-11 15:30:00+00:00,2013-07-11 18:30:00+00:00,1,1.5000000000000182,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-08-01 14:30:00+00:00,2013-08-01 14:45:00+00:00,2013-08-01 20:30:00+00:00,1,1.0438229266498347,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-09-04 14:30:00+00:00,2013-09-04 14:45:00+00:00,2013-09-04 20:30:00+00:00,-1,0.5969727394039526,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-10-17 14:00:00+00:00,2013-10-17 14:15:00+00:00,2013-10-17 19:15:00+00:00,-1,1.5000000000000142,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-10-22 14:00:00+00:00,2013-10-22 14:15:00+00:00,2013-10-22 14:15:00+00:00,-1,-1.0000000000000193,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-11-08 15:30:00+00:00,2013-11-08 15:45:00+00:00,2013-11-08 16:00:00+00:00,1,0.9618984143556941,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-12-06 15:45:00+00:00,2013-12-06 16:00:00+00:00,2013-12-06 16:00:00+00:00,-1,-0.003564925948591252,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-02 15:00:00+00:00,2014-01-02 15:15:00+00:00,2014-01-02 15:15:00+00:00,-1,-1.0000000000000215,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-03 14:15:00+00:00,2014-01-03 14:30:00+00:00,2014-01-03 15:15:00+00:00,-1,-0.9999999999999747,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-10 15:00:00+00:00,2014-01-10 15:15:00+00:00,2014-01-10 16:00:00+00:00,-1,-0.32535265583885786,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-13 14:00:00+00:00,2014-01-13 14:15:00+00:00,2014-01-13 20:00:00+00:00,-1,0.39853037394936836,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-23 14:30:00+00:00,2014-01-23 14:45:00+00:00,2014-01-23 14:45:00+00:00,-1,-0.9999999999999657,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-23 15:00:00+00:00,2014-01-23 15:15:00+00:00,2014-01-23 17:15:00+00:00,-1,1.5000000000000329,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-28 14:45:00+00:00,2014-01-28 15:00:00+00:00,2014-01-28 15:45:00+00:00,1,-1.0000000000000149,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-28 15:45:00+00:00,2014-01-28 16:00:00+00:00,2014-01-28 16:30:00+00:00,1,-1.0000000000000253,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-02-04 14:30:00+00:00,2014-02-04 14:45:00+00:00,2014-02-04 16:45:00+00:00,-1,-1.0000000000000133,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-03-13 14:00:00+00:00,2014-03-13 14:15:00+00:00,2014-03-13 14:30:00+00:00,-1,-1.0000000000000462,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-03-13 14:30:00+00:00,2014-03-13 14:45:00+00:00,2014-03-13 15:00:00+00:00,-1,1.5000000000000142,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-03-18 14:30:00+00:00,2014-03-18 14:45:00+00:00,2014-03-18 15:15:00+00:00,-1,-0.999999999999961,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-03-18 15:30:00+00:00,2014-03-18 15:45:00+00:00,2014-03-18 21:30:00+00:00,-1,0.6404269557374256,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-03-27 14:45:00+00:00,2014-03-27 15:00:00+00:00,2014-03-27 15:15:00+00:00,-1,-1.0000000000000464,SL,False
