hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-10,overnight_unwind,USDCAD,2013-01-25 08:30:00+00:00,2013-01-25 08:45:00+00:00,2013-01-25 08:45:00+00:00,-1,1.5000000000002485,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-02-11 07:15:00+00:00,2013-02-11 07:30:00+00:00,2013-02-11 07:30:00+00:00,-1,-1.000000000000097,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-12 07:00:00+00:00,2013-02-12 07:15:00+00:00,2013-02-12 07:30:00+00:00,-1,-0.9999999999997196,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-12 07:45:00+00:00,2013-02-12 08:00:00+00:00,2013-02-12 08:00:00+00:00,-1,-0.9999999999997247,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-13 08:15:00+00:00,2013-02-13 08:30:00+00:00,2013-02-13 08:30:00+00:00,-1,-0.999999999999793,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-13 08:30:00+00:00,2013-02-13 08:45:00+00:00,2013-02-13 09:15:00+00:00,-1,-1.0,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-07 07:00:00+00:00,2013-03-07 07:15:00+00:00,2013-03-07 07:15:00+00:00,1,-1.0,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-07 07:15:00+00:00,2013-03-07 07:30:00+00:00,2013-03-07 08:00:00+00:00,1,-0.9999999999999192,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-11 07:15:00+00:00,2013-03-11 07:30:00+00:00,2013-03-11 07:45:00+00:00,1,-0.9999999999998415,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-11 08:00:00+00:00,2013-03-11 08:15:00+00:00,2013-03-11 09:15:00+00:00,1,1.500000000000198,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-04-08 07:45:00+00:00,2013-04-08 08:00:00+00:00,2013-04-08 08:15:00+00:00,-1,-1.0000000000002605,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-04-08 08:15:00+00:00,2013-04-08 08:30:00+00:00,2013-04-08 09:00:00+00:00,-1,-0.9999999999998421,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-06-19 07:15:00+00:00,2013-06-19 07:30:00+00:00,2013-06-19 08:15:00+00:00,1,-0.9999999999999423,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-06-19 08:15:00+00:00,2013-06-19 08:30:00+00:00,2013-06-19 10:45:00+00:00,1,-1.0000000000000904,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-07-04 07:00:00+00:00,2013-07-04 07:15:00+00:00,2013-07-04 07:30:00+00:00,-1,-1.0000000000001614,SL,False
