hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-06,daily_expansion,USDCHF,2013-03-04 10:00:00+00:00,2013-03-04 10:15:00+00:00,2013-03-04 10:30:00+00:00,1,-0.9999999999999498,SL,False
S2R2-06,daily_expansion,USDCHF,2013-03-04 10:30:00+00:00,2013-03-04 10:45:00+00:00,2013-03-04 13:15:00+00:00,1,-0.9999999999999665,SL,False
S2R2-06,daily_expansion,USDCHF,2013-03-25 10:00:00+00:00,2013-03-25 10:15:00+00:00,2013-03-25 10:30:00+00:00,-1,-1.0,SL,False
S2R2-06,daily_expansion,USDCHF,2013-03-25 10:30:00+00:00,2013-03-25 10:45:00+00:00,2013-03-25 11:15:00+00:00,-1,-1.000000000000047,SL,False
S2R2-06,daily_expansion,USDCHF,2013-03-25 11:15:00+00:00,2013-03-25 11:30:00+00:00,2013-03-25 12:00:00+00:00,-1,-1.0000000000000515,SL,False
S2R2-06,daily_expansion,USDCHF,2013-03-26 12:00:00+00:00,2013-03-26 12:15:00+00:00,2013-03-26 12:15:00+00:00,1,-0.9999999999999841,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-02 10:00:00+00:00,2013-04-02 10:15:00+00:00,2013-04-02 11:00:00+00:00,-1,-1.0000000000000402,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-08 11:00:00+00:00,2013-04-08 11:15:00+00:00,2013-04-08 12:15:00+00:00,-1,-0.999999999999969,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-08 12:15:00+00:00,2013-04-08 12:30:00+00:00,2013-04-08 13:30:00+00:00,-1,-0.999999999999952,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-10 11:00:00+00:00,2013-04-10 11:15:00+00:00,2013-04-10 12:15:00+00:00,-1,-0.9999999999999777,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-10 12:15:00+00:00,2013-04-10 12:30:00+00:00,2013-04-10 12:30:00+00:00,-1,-0.9999999999999796,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-11 10:00:00+00:00,2013-04-11 10:15:00+00:00,2013-04-11 12:45:00+00:00,-1,-0.9999999999999432,SL,False
S2R2-06,daily_expansion,USDCHF,2013-04-22 10:00:00+00:00,2013-04-22 10:15:00+00:00,2013-04-22 12:15:00+00:00,1,1.4999999999999831,TP,False
S2R2-06,daily_expansion,USDCHF,2013-04-22 12:15:00+00:00,2013-04-22 12:30:00+00:00,2013-04-22 13:00:00+00:00,1,1.500000000000024,TP,False
S2R2-06,daily_expansion,USDCHF,2013-04-24 12:15:00+00:00,2013-04-24 12:30:00+00:00,2013-04-24 13:15:00+00:00,1,1.5000000000000442,TP,False
S2R2-06,daily_expansion,USDCHF,2013-05-01 11:00:00+00:00,2013-05-01 11:15:00+00:00,2013-05-01 12:15:00+00:00,-1,1.5000000000000653,TP,False
S2R2-06,daily_expansion,USDCHF,2013-05-27 10:00:00+00:00,2013-05-27 10:15:00+00:00,2013-05-27 11:00:00+00:00,-1,-0.9999999999999547,SL,False
S2R2-06,daily_expansion,USDCHF,2013-05-27 11:00:00+00:00,2013-05-27 11:15:00+00:00,2013-05-27 12:00:00+00:00,-1,-1.0000000000000537,SL,False
S2R2-06,daily_expansion,USDCHF,2013-06-05 12:15:00+00:00,2013-06-05 12:30:00+00:00,2013-06-05 12:45:00+00:00,-1,-0.9999999999999775,SL,False
S2R2-06,daily_expansion,USDCHF,2013-06-14 12:00:00+00:00,2013-06-14 12:15:00+00:00,2013-06-14 12:15:00+00:00,1,-0.9999999999999735,SL,False
S2R2-06,daily_expansion,USDCHF,2013-06-26 10:15:00+00:00,2013-06-26 10:30:00+00:00,2013-06-26 12:30:00+00:00,1,-0.9999999999999847,SL,False
