hypothesis,family,development_trades,development_expectancy_r,development_profit_factor,validation_trades,validation_expectancy_r,validation_profit_factor,combined_trades,positive_pairs,passes_gate
S2R2-01,prior_day_value,2691,-0.24803719236794727,0.6441877638275898,1560,-0.1939102564102561,0.7138126773888368,4251,0,False
S2R2-02,late_london_exhaustion,2115,-0.1251253050864099,0.7668707341602095,1468,-0.06883854355194322,0.8726988909388761,3583,0,False
S2R2-03,ny_opening_drive,453,-0.15027881903698515,0.7213977941173502,323,-0.28111494116571645,0.546126692928266,776,1,False
S2R2-04,post_overlap_drift,9907,-0.13161516478479296,0.774477847956389,6109,-0.12922569271834716,0.7813469878959908,16016,0,False
S2R2-05,two_hour_fade,3733,-0.14418523529799745,0.7790677855694308,2516,-0.1333011879653482,0.7947508321961259,6249,0,False
S2R2-06,daily_expansion,4279,-0.13292474402114823,0.794952606578615,2553,-0.12337934328284082,0.8084276018702741,6832,0,False
S2R2-07,usd_basket,1844,-0.08274507259571129,0.8567770514017897,1047,-0.07233195841855652,0.8743997815205968,2891,3,False
S2R2-08,jpy_basket,4785,-0.12522047633447492,0.7947043490321053,2706,-0.10212568086005346,0.8284956517014856,7491,0,False
S2R2-09,correlation_dislocation,758,-0.16634123918336396,0.7404479925886385,259,-0.059294760897020744,0.8980054961328424,1017,0,False
S2R2-10,overnight_unwind,3362,-0.12370056853506647,0.8087460697100549,2526,-0.18058702000706323,0.7310631562488675,5888,2,False
S2R2-11,realised_trend_pullback,293,-0.06972941092673753,0.8834268430116242,175,-0.04621057652573071,0.9238757697355807,468,5,False
S2R2-12,friday_fade,4971,-0.0794856549288749,0.8315430224629582,3110,-0.10974283220969917,0.786333909239388,8081,1,False
