hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-06,daily_expansion,AUDJPY,2013-02-10 10:00:00+00:00,2013-02-10 10:15:00+00:00,2013-02-10 10:15:00+00:00,-1,-1.0000000000038187,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 10:15:00+00:00,2013-02-10 10:30:00+00:00,2013-02-10 10:30:00+00:00,-1,-0.9999999999954617,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 10:30:00+00:00,2013-02-10 10:45:00+00:00,2013-02-10 10:45:00+00:00,-1,-1.0000000000083185,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 10:45:00+00:00,2013-02-10 11:00:00+00:00,2013-02-10 11:00:00+00:00,-1,-1.000000000004165,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 11:00:00+00:00,2013-02-10 11:15:00+00:00,2013-02-10 11:15:00+00:00,-1,-0.9999999999922362,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 11:15:00+00:00,2013-02-10 11:30:00+00:00,2013-02-10 11:30:00+00:00,-1,-1.0000000000098996,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 11:30:00+00:00,2013-02-10 11:45:00+00:00,2013-02-10 11:45:00+00:00,-1,-1.000000000006441,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 11:45:00+00:00,2013-02-10 12:00:00+00:00,2013-02-10 12:00:00+00:00,-1,-1.0000000000045788,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 12:00:00+00:00,2013-02-10 12:15:00+00:00,2013-02-10 12:15:00+00:00,-1,-0.9999999999905399,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 12:15:00+00:00,2013-02-10 12:30:00+00:00,2013-02-10 12:30:00+00:00,-1,-1.000000000001339,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 12:30:00+00:00,2013-02-10 12:45:00+00:00,2013-02-10 12:45:00+00:00,-1,-0.999999999989709,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-10 12:45:00+00:00,2013-02-10 13:00:00+00:00,2013-02-10 13:00:00+00:00,-1,-1.000000000017263,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-11 10:00:00+00:00,2013-02-11 10:15:00+00:00,2013-02-11 10:45:00+00:00,-1,-1.0000000000000155,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-14 10:00:00+00:00,2013-02-14 10:15:00+00:00,2013-02-14 10:15:00+00:00,1,-0.9999999999999711,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-23 10:00:00+00:00,2013-02-23 10:15:00+00:00,2013-02-23 10:15:00+00:00,1,-1.0000000000004277,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-23 10:15:00+00:00,2013-02-23 10:30:00+00:00,2013-02-23 10:30:00+00:00,1,-0.9999999999989575,SL,False
S2R2-06,daily_expansion,AUDJPY,2013-02-23 10:30:00+00:00,2013-02-23 10:45:00+00:00,2013-02-23 10:45:00+00:00,1,-0.9999999999997491,SL,False
