hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-06,daily_expansion,AUDUSD,2013-02-13 10:15:00+00:00,2013-02-13 10:30:00+00:00,2013-02-13 10:45:00+00:00,1,-0.9999999999999868,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 10:00:00+00:00,2013-02-16 10:15:00+00:00,2013-02-16 10:15:00+00:00,-1,-0.9999999999950728,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 10:15:00+00:00,2013-02-16 10:30:00+00:00,2013-02-16 10:30:00+00:00,-1,-1.0000000000018632,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 10:30:00+00:00,2013-02-16 10:45:00+00:00,2013-02-16 10:45:00+00:00,-1,-0.9999999999972927,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 10:45:00+00:00,2013-02-16 11:00:00+00:00,2013-02-16 11:00:00+00:00,-1,-0.999999999995324,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 11:00:00+00:00,2013-02-16 11:15:00+00:00,2013-02-16 11:15:00+00:00,-1,-1.0000000000059253,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 11:15:00+00:00,2013-02-16 11:30:00+00:00,2013-02-16 11:30:00+00:00,-1,-0.9999999999979334,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 11:30:00+00:00,2013-02-16 11:45:00+00:00,2013-02-16 11:45:00+00:00,-1,-0.9999999999991628,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 11:45:00+00:00,2013-02-16 12:00:00+00:00,2013-02-16 12:00:00+00:00,-1,-0.9999999999991628,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 12:00:00+00:00,2013-02-16 12:15:00+00:00,2013-02-16 12:15:00+00:00,-1,-1.0000000000005886,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 12:15:00+00:00,2013-02-16 12:30:00+00:00,2013-02-16 12:30:00+00:00,-1,-0.9999999999959818,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 12:30:00+00:00,2013-02-16 12:45:00+00:00,2013-02-16 12:45:00+00:00,-1,-0.9999999999926743,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-16 12:45:00+00:00,2013-02-16 13:00:00+00:00,2013-02-16 13:00:00+00:00,-1,-0.9999999999944551,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 10:00:00+00:00,2013-02-17 10:15:00+00:00,2013-02-17 10:15:00+00:00,-1,-1.0000000014496873,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 10:15:00+00:00,2013-02-17 10:30:00+00:00,2013-02-17 10:30:00+00:00,-1,-0.9999999972752904,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 10:30:00+00:00,2013-02-17 10:45:00+00:00,2013-02-17 10:45:00+00:00,-1,-1.0000000017707946,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 10:45:00+00:00,2013-02-17 11:00:00+00:00,2013-02-17 11:00:00+00:00,-1,-1.0000000005604666,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 11:00:00+00:00,2013-02-17 11:15:00+00:00,2013-02-17 11:15:00+00:00,-1,-0.9999999979536061,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 11:15:00+00:00,2013-02-17 11:30:00+00:00,2013-02-17 11:30:00+00:00,-1,-1.0000000063757701,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 11:30:00+00:00,2013-02-17 11:45:00+00:00,2013-02-17 11:45:00+00:00,-1,-0.999999991259065,SL,False
S2R2-06,daily_expansion,AUDUSD,2013-02-17 11:45:00+00:00,2013-02-17 12:00:00+00:00,2013-02-17 12:00:00+00:00,-1,-0.9999999928870179,SL,False
