hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-12,friday_fade,CHFJPY,2013-01-04 13:45:00+00:00,2013-01-04 14:00:00+00:00,2013-01-04 14:00:00+00:00,1,-1.000000000000008,SL,False
S2R2-12,friday_fade,CHFJPY,2013-01-04 15:30:00+00:00,2013-01-04 15:45:00+00:00,2013-01-04 15:45:00+00:00,-1,-0.999999999999987,SL,False
S2R2-12,friday_fade,CHFJPY,2013-01-18 13:30:00+00:00,2013-01-18 13:45:00+00:00,2013-01-18 14:45:00+00:00,1,1.5000000000000093,TP,False
S2R2-12,friday_fade,CHFJPY,2013-01-18 15:00:00+00:00,2013-01-18 15:15:00+00:00,2013-01-18 16:00:00+00:00,-1,0.5567874750731392,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-01-25 14:15:00+00:00,2013-01-25 14:30:00+00:00,2013-01-25 16:00:00+00:00,1,0.5968262175243841,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-02-01 13:00:00+00:00,2013-02-01 13:15:00+00:00,2013-02-01 13:30:00+00:00,1,-1.000000000000036,SL,False
S2R2-12,friday_fade,CHFJPY,2013-02-08 14:45:00+00:00,2013-02-08 15:00:00+00:00,2013-02-08 16:00:00+00:00,-1,0.3151871143011137,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-02-15 14:30:00+00:00,2013-02-15 14:45:00+00:00,2013-02-15 15:15:00+00:00,-1,-0.9999999999999879,SL,False
S2R2-12,friday_fade,CHFJPY,2013-02-22 14:00:00+00:00,2013-02-22 14:15:00+00:00,2013-02-22 14:45:00+00:00,1,-0.9999999999999906,SL,False
S2R2-12,friday_fade,CHFJPY,2013-02-22 14:45:00+00:00,2013-02-22 15:00:00+00:00,2013-02-22 16:00:00+00:00,-1,-0.7299283679635193,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-03-01 13:15:00+00:00,2013-03-01 13:30:00+00:00,2013-03-01 14:30:00+00:00,1,-1.0000000000000178,SL,False
S2R2-12,friday_fade,CHFJPY,2013-03-01 15:00:00+00:00,2013-03-01 15:15:00+00:00,2013-03-01 15:30:00+00:00,1,1.499999999999982,TP,False
S2R2-12,friday_fade,CHFJPY,2013-03-08 15:15:00+00:00,2013-03-08 15:30:00+00:00,2013-03-08 16:00:00+00:00,1,0.14725593100653742,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-03-15 15:15:00+00:00,2013-03-15 15:30:00+00:00,2013-03-15 15:45:00+00:00,1,-1.0000000000000369,SL,False
S2R2-12,friday_fade,CHFJPY,2013-03-22 13:45:00+00:00,2013-03-22 14:00:00+00:00,2013-03-22 14:15:00+00:00,1,1.5000000000000082,TP,False
S2R2-12,friday_fade,CHFJPY,2013-03-22 15:15:00+00:00,2013-03-22 15:30:00+00:00,2013-03-22 15:45:00+00:00,1,-1.0000000000000142,SL,False
S2R2-12,friday_fade,CHFJPY,2013-03-29 13:30:00+00:00,2013-03-29 13:45:00+00:00,2013-03-29 13:45:00+00:00,-1,-0.9999999999999407,SL,False
S2R2-12,friday_fade,CHFJPY,2013-03-29 14:30:00+00:00,2013-03-29 14:45:00+00:00,2013-03-29 14:45:00+00:00,-1,-0.9999999999999972,SL,False
S2R2-12,friday_fade,CHFJPY,2013-03-29 15:45:00+00:00,2013-03-29 16:00:00+00:00,2013-03-29 16:00:00+00:00,1,-0.9334799700519384,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-04-12 13:30:00+00:00,2013-04-12 13:45:00+00:00,2013-04-12 16:00:00+00:00,-1,0.07707109614280484,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-04-19 13:15:00+00:00,2013-04-19 13:30:00+00:00,2013-04-19 16:00:00+00:00,1,-1.1405727225415325,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-04-26 13:00:00+00:00,2013-04-26 13:15:00+00:00,2013-04-26 14:00:00+00:00,-1,1.5000000000000158,TP,False
S2R2-12,friday_fade,CHFJPY,2013-05-10 13:45:00+00:00,2013-05-10 14:00:00+00:00,2013-05-10 15:15:00+00:00,-1,1.4999999999999933,TP,False
S2R2-12,friday_fade,CHFJPY,2013-05-10 15:45:00+00:00,2013-05-10 16:00:00+00:00,2013-05-10 16:00:00+00:00,1,0.4100586157744428,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-05-17 15:00:00+00:00,2013-05-17 15:15:00+00:00,2013-05-17 16:00:00+00:00,-1,-0.11538618227992914,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-05-24 14:00:00+00:00,2013-05-24 14:15:00+00:00,2013-05-24 16:00:00+00:00,-1,0.37019405595004357,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-05-31 13:30:00+00:00,2013-05-31 13:45:00+00:00,2013-05-31 14:45:00+00:00,-1,1.4999999999999745,TP,False
S2R2-12,friday_fade,CHFJPY,2013-05-31 14:45:00+00:00,2013-05-31 15:00:00+00:00,2013-05-31 16:00:00+00:00,1,-0.1922067196024808,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-06-07 14:45:00+00:00,2013-06-07 15:00:00+00:00,2013-06-07 16:00:00+00:00,-1,0.10832458793503921,FRIDAY,False
S2R2-12,friday_fade,CHFJPY,2013-06-14 14:00:00+00:00,2013-06-14 14:15:00+00:00,2013-06-14 14:45:00+00:00,1,-1.0000000000000018,SL,False
S2R2-12,friday_fade,CHFJPY,2013-06-14 14:45:00+00:00,2013-06-14 15:00:00+00:00,2013-06-14 15:45:00+00:00,-1,1.4999999999999805,TP,False
S2R2-12,friday_fade,CHFJPY,2013-06-21 13:45:00+00:00,2013-06-21 14:00:00+00:00,2013-06-21 14:30:00+00:00,-1,1.4999999999999862,TP,False
