hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-04,post_overlap_drift,EURGBP,2013-01-03 14:30:00+00:00,2013-01-03 14:45:00+00:00,2013-01-03 15:00:00+00:00,-1,-1.0000000000000224,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-07 15:00:00+00:00,2013-01-07 15:15:00+00:00,2013-01-07 15:45:00+00:00,1,1.500000000000009,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-08 15:15:00+00:00,2013-01-08 15:30:00+00:00,2013-01-08 15:30:00+00:00,1,-0.9999999999999982,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-17 14:15:00+00:00,2013-01-17 14:30:00+00:00,2013-01-17 20:15:00+00:00,1,0.21213017802205347,TIME,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-21 15:00:00+00:00,2013-01-21 15:15:00+00:00,2013-01-21 15:45:00+00:00,1,1.5000000000000466,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-28 14:15:00+00:00,2013-01-28 14:30:00+00:00,2013-01-28 14:30:00+00:00,1,-1.0000000000000702,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-28 14:45:00+00:00,2013-01-28 15:00:00+00:00,2013-01-28 15:00:00+00:00,1,-0.9999999999999856,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-01-29 15:15:00+00:00,2013-01-29 15:30:00+00:00,2013-01-29 15:45:00+00:00,-1,-0.9999999999999525,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-02-01 15:00:00+00:00,2013-02-01 15:15:00+00:00,2013-02-01 15:15:00+00:00,1,1.499999999999993,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-02-01 15:15:00+00:00,2013-02-01 15:30:00+00:00,2013-02-01 15:45:00+00:00,1,1.500000000000036,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-02-20 14:00:00+00:00,2013-02-20 14:15:00+00:00,2013-02-20 16:00:00+00:00,1,-1.0000000000000173,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-03-14 14:00:00+00:00,2013-03-14 14:15:00+00:00,2013-03-14 15:00:00+00:00,-1,-0.999999999999967,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-03-20 15:30:00+00:00,2013-03-20 15:45:00+00:00,2013-03-20 18:15:00+00:00,1,1.499999999999968,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-04-15 14:45:00+00:00,2013-04-15 15:00:00+00:00,2013-04-15 15:45:00+00:00,1,-1.0000000000000415,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-04-22 15:30:00+00:00,2013-04-22 15:45:00+00:00,2013-04-22 16:15:00+00:00,1,-0.9999999999999901,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-04-24 14:00:00+00:00,2013-04-24 14:15:00+00:00,2013-04-24 14:15:00+00:00,-1,-0.9999999999999725,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-05-07 14:30:00+00:00,2013-05-07 14:45:00+00:00,2013-05-07 16:30:00+00:00,1,-1.0000000000000249,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-05-21 15:15:00+00:00,2013-05-21 15:30:00+00:00,2013-05-21 21:15:00+00:00,1,0.31511255102148067,TIME,False
S2R2-04,post_overlap_drift,EURGBP,2013-05-22 14:15:00+00:00,2013-05-22 14:30:00+00:00,2013-05-22 14:30:00+00:00,1,-1.0000000000000446,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-06-04 14:45:00+00:00,2013-06-04 15:00:00+00:00,2013-06-04 15:30:00+00:00,1,-1.0000000000000628,SL,False
S2R2-04,post_overlap_drift,EURGBP,2013-06-05 14:30:00+00:00,2013-06-05 14:45:00+00:00,2013-06-05 18:30:00+00:00,-1,1.4999999999999751,TP,False
S2R2-04,post_overlap_drift,EURGBP,2013-06-10 15:30:00+00:00,2013-06-10 15:45:00+00:00,2013-06-10 16:00:00+00:00,1,-0.9999999999999667,SL,False
