hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-03,ny_opening_drive,EURJPY,2013-02-27 15:45:00+00:00,2013-02-27 16:00:00+00:00,2013-02-27 16:45:00+00:00,-1,-0.9999999999999933,SL,False
S2R2-03,ny_opening_drive,EURJPY,2013-06-03 14:30:00+00:00,2013-06-03 14:45:00+00:00,2013-06-03 15:45:00+00:00,-1,-0.9999999999999928,SL,False
S2R2-03,ny_opening_drive,EURJPY,2013-07-08 14:30:00+00:00,2013-07-08 14:45:00+00:00,2013-07-08 16:45:00+00:00,1,-0.9999999999999473,SL,False
S2R2-03,ny_opening_drive,EURJPY,2014-01-17 15:15:00+00:00,2014-01-17 15:30:00+00:00,2014-01-17 15:45:00+00:00,-1,1.500000000000027,TP,False
S2R2-03,ny_opening_drive,EURJPY,2014-02-10 16:00:00+00:00,2014-02-10 16:15:00+00:00,2014-02-10 21:45:00+00:00,1,1.5000000000000044,TP,False
S2R2-03,ny_opening_drive,EURJPY,2014-03-07 15:00:00+00:00,2014-03-07 15:15:00+00:00,2014-03-07 15:15:00+00:00,1,-0.999999999999994,SL,False
S2R2-03,ny_opening_drive,EURJPY,2014-03-17 18:15:00+00:00,2014-03-17 18:30:00+00:00,2014-03-17 23:30:00+00:00,1,1.4999999999999736,TP,False
S2R2-03,ny_opening_drive,EURJPY,2014-05-15 17:00:00+00:00,2014-05-15 17:15:00+00:00,2014-05-15 23:00:00+00:00,-1,-0.7022368696908029,TIME,False
S2R2-03,ny_opening_drive,EURJPY,2014-05-20 14:30:00+00:00,2014-05-20 14:45:00+00:00,2014-05-20 14:45:00+00:00,-1,-1.000000000000111,SL,False
S2R2-03,ny_opening_drive,EURJPY,2014-06-26 14:45:00+00:00,2014-06-26 15:00:00+00:00,2014-06-26 15:00:00+00:00,-1,-0.9999999999999218,SL,False
S2R2-03,ny_opening_drive,EURJPY,2014-07-02 15:45:00+00:00,2014-07-02 16:00:00+00:00,2014-07-02 21:45:00+00:00,1,0.2984639917651721,TIME,False
S2R2-03,ny_opening_drive,EURJPY,2014-11-19 16:15:00+00:00,2014-11-19 16:30:00+00:00,2014-11-19 18:45:00+00:00,1,1.5000000000000266,TP,False
S2R2-03,ny_opening_drive,EURJPY,2014-11-28 15:15:00+00:00,2014-11-28 15:30:00+00:00,2014-11-28 16:00:00+00:00,1,-0.10351316632329773,FRIDAY,False
S2R2-03,ny_opening_drive,EURJPY,2015-03-18 15:30:00+00:00,2015-03-18 15:45:00+00:00,2015-03-18 16:30:00+00:00,1,1.5000000000000453,TP,False
S2R2-03,ny_opening_drive,EURJPY,2015-04-01 14:45:00+00:00,2015-04-01 15:00:00+00:00,2015-04-01 16:30:00+00:00,-1,-1.0000000000000175,SL,False
