hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-12,friday_fade,GBPAUD,2013-01-04 15:30:00+00:00,2013-01-04 15:45:00+00:00,2013-01-04 15:45:00+00:00,1,-1.0000000000000022,SL,False
S2R2-12,friday_fade,GBPAUD,2013-01-11 14:30:00+00:00,2013-01-11 14:45:00+00:00,2013-01-11 15:00:00+00:00,-1,1.4999999999999716,TP,False
S2R2-12,friday_fade,GBPAUD,2013-01-11 15:15:00+00:00,2013-01-11 15:30:00+00:00,2013-01-11 16:00:00+00:00,1,1.2196788675056556,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-01-18 13:30:00+00:00,2013-01-18 13:45:00+00:00,2013-01-18 15:00:00+00:00,1,1.50000000000001,TP,False
S2R2-12,friday_fade,GBPAUD,2013-01-25 15:15:00+00:00,2013-01-25 15:30:00+00:00,2013-01-25 15:45:00+00:00,1,-1.000000000000023,SL,False
S2R2-12,friday_fade,GBPAUD,2013-02-01 13:00:00+00:00,2013-02-01 13:15:00+00:00,2013-02-01 13:45:00+00:00,-1,1.5000000000000073,TP,False
S2R2-12,friday_fade,GBPAUD,2013-02-01 15:00:00+00:00,2013-02-01 15:15:00+00:00,2013-02-01 16:00:00+00:00,1,-1.1527825475444142,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-02-08 15:00:00+00:00,2013-02-08 15:15:00+00:00,2013-02-08 15:15:00+00:00,-1,-0.9999999999999775,SL,False
S2R2-12,friday_fade,GBPAUD,2013-02-15 14:00:00+00:00,2013-02-15 14:15:00+00:00,2013-02-15 14:30:00+00:00,-1,-0.9999999999999982,SL,False
S2R2-12,friday_fade,GBPAUD,2013-02-22 14:45:00+00:00,2013-02-22 15:00:00+00:00,2013-02-22 16:00:00+00:00,-1,-0.6155122294588177,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-03-01 14:15:00+00:00,2013-03-01 14:30:00+00:00,2013-03-01 16:00:00+00:00,-1,0.14960309269241687,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-03-08 13:15:00+00:00,2013-03-08 13:30:00+00:00,2013-03-08 13:30:00+00:00,1,-1.000000000000046,SL,False
S2R2-12,friday_fade,GBPAUD,2013-03-15 13:45:00+00:00,2013-03-15 14:00:00+00:00,2013-03-15 14:45:00+00:00,1,-1.0000000000000344,SL,False
S2R2-12,friday_fade,GBPAUD,2013-03-22 15:30:00+00:00,2013-03-22 15:45:00+00:00,2013-03-22 16:00:00+00:00,-1,-0.07405798620553118,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-03-29 13:00:00+00:00,2013-03-29 13:15:00+00:00,2013-03-29 13:15:00+00:00,1,-1.000000000000013,SL,False
S2R2-12,friday_fade,GBPAUD,2013-03-29 13:45:00+00:00,2013-03-29 14:00:00+00:00,2013-03-29 16:00:00+00:00,1,-1.3573860243063436,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-04-12 13:15:00+00:00,2013-04-12 13:30:00+00:00,2013-04-12 14:30:00+00:00,-1,-1.000000000000042,SL,False
S2R2-12,friday_fade,GBPAUD,2013-04-12 15:45:00+00:00,2013-04-12 16:00:00+00:00,2013-04-12 16:00:00+00:00,-1,0.36242234754777003,FRIDAY,False
S2R2-12,friday_fade,GBPAUD,2013-04-19 13:15:00+00:00,2013-04-19 13:30:00+00:00,2013-04-19 14:00:00+00:00,1,-0.9999999999999898,SL,False
S2R2-12,friday_fade,GBPAUD,2013-04-26 13:30:00+00:00,2013-04-26 13:45:00+00:00,2013-04-26 15:00:00+00:00,1,-1.0000000000000435,SL,False
