hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-06,daily_expansion,GBPJPY,2013-02-14 11:00:00+00:00,2013-02-14 11:15:00+00:00,2013-02-14 12:45:00+00:00,-1,-0.9999999999999939,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-02-18 10:00:00+00:00,2013-02-18 10:15:00+00:00,2013-02-18 13:00:00+00:00,1,-0.9999999999999915,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-02-19 11:45:00+00:00,2013-02-19 12:00:00+00:00,2013-02-19 14:30:00+00:00,-1,-1.000000000000023,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 10:00:00+00:00,2013-03-02 10:15:00+00:00,2013-03-02 10:15:00+00:00,1,-0.9999999999980963,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 10:15:00+00:00,2013-03-02 10:30:00+00:00,2013-03-02 10:30:00+00:00,1,-1.0000000000005727,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 10:30:00+00:00,2013-03-02 10:45:00+00:00,2013-03-02 10:45:00+00:00,1,-0.9999999999979058,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 10:45:00+00:00,2013-03-02 11:00:00+00:00,2013-03-02 11:00:00+00:00,1,-0.9999999999983844,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 11:00:00+00:00,2013-03-02 11:15:00+00:00,2013-03-02 11:15:00+00:00,1,-0.9999999999994152,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 11:15:00+00:00,2013-03-02 11:30:00+00:00,2013-03-02 11:30:00+00:00,1,-0.999999999998305,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 11:30:00+00:00,2013-03-02 11:45:00+00:00,2013-03-02 11:45:00+00:00,1,-1.0000000000030878,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 11:45:00+00:00,2013-03-02 12:00:00+00:00,2013-03-02 12:00:00+00:00,1,-0.9999999999972933,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 12:00:00+00:00,2013-03-02 12:15:00+00:00,2013-03-02 12:15:00+00:00,1,-0.9999999999952129,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 12:15:00+00:00,2013-03-02 12:30:00+00:00,2013-03-02 12:30:00+00:00,1,-0.999999999995213,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 12:30:00+00:00,2013-03-02 12:45:00+00:00,2013-03-02 12:45:00+00:00,1,-1.000000000000842,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-02 12:45:00+00:00,2013-03-02 13:00:00+00:00,2013-03-02 13:00:00+00:00,1,-1.000000000000842,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 10:00:00+00:00,2013-03-03 10:15:00+00:00,2013-03-03 10:15:00+00:00,1,-0.9999999973191769,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 10:15:00+00:00,2013-03-03 10:30:00+00:00,2013-03-03 10:30:00+00:00,1,-1.0000000018862476,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 10:30:00+00:00,2013-03-03 10:45:00+00:00,2013-03-03 10:45:00+00:00,1,-0.9999999986073251,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 10:45:00+00:00,2013-03-03 11:00:00+00:00,2013-03-03 11:00:00+00:00,1,-1.0000000021384723,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 11:00:00+00:00,2013-03-03 11:15:00+00:00,2013-03-03 11:15:00+00:00,1,-0.9999999970681069,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 11:15:00+00:00,2013-03-03 11:30:00+00:00,2013-03-03 11:30:00+00:00,1,-1.000000000480853,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 11:30:00+00:00,2013-03-03 11:45:00+00:00,2013-03-03 11:45:00+00:00,1,-1.000000000480853,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 11:45:00+00:00,2013-03-03 12:00:00+00:00,2013-03-03 12:00:00+00:00,1,-0.9999999996892575,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 12:00:00+00:00,2013-03-03 12:15:00+00:00,2013-03-03 12:15:00+00:00,1,-1.0000000056566698,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 12:15:00+00:00,2013-03-03 12:30:00+00:00,2013-03-03 12:30:00+00:00,1,-1.0000000010663526,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 12:30:00+00:00,2013-03-03 12:45:00+00:00,2013-03-03 12:45:00+00:00,1,-0.9999999971116177,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-03 12:45:00+00:00,2013-03-03 13:00:00+00:00,2013-03-03 13:00:00+00:00,1,-0.9999999960468815,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 10:00:00+00:00,2013-03-09 10:15:00+00:00,2013-03-09 10:15:00+00:00,1,-1.0000000000014668,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 10:15:00+00:00,2013-03-09 10:30:00+00:00,2013-03-09 10:30:00+00:00,1,-0.999999999999321,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 10:30:00+00:00,2013-03-09 10:45:00+00:00,2013-03-09 10:45:00+00:00,1,-0.9999999999981655,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 10:45:00+00:00,2013-03-09 11:00:00+00:00,2013-03-09 11:00:00+00:00,1,-0.9999999999981655,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 11:00:00+00:00,2013-03-09 11:15:00+00:00,2013-03-09 11:15:00+00:00,1,-1.0000000000021851,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 11:15:00+00:00,2013-03-09 11:30:00+00:00,2013-03-09 11:30:00+00:00,1,-1.0000000000031473,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 11:30:00+00:00,2013-03-09 11:45:00+00:00,2013-03-09 11:45:00+00:00,1,-1.000000000000557,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 11:45:00+00:00,2013-03-09 12:00:00+00:00,2013-03-09 12:00:00+00:00,1,-0.9999999999972099,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 12:00:00+00:00,2013-03-09 12:15:00+00:00,2013-03-09 12:15:00+00:00,1,-1.0000000000032176,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 12:15:00+00:00,2013-03-09 12:30:00+00:00,2013-03-09 12:30:00+00:00,1,-1.0000000000012768,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 12:30:00+00:00,2013-03-09 12:45:00+00:00,2013-03-09 12:45:00+00:00,1,-0.9999999999957025,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-09 12:45:00+00:00,2013-03-09 13:00:00+00:00,2013-03-09 13:00:00+00:00,1,-0.9999999999957023,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 10:00:00+00:00,2013-03-10 10:15:00+00:00,2013-03-10 10:15:00+00:00,1,-0.999999997272282,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 10:15:00+00:00,2013-03-10 10:30:00+00:00,2013-03-10 10:30:00+00:00,1,-0.9999999981516715,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 10:30:00+00:00,2013-03-10 10:45:00+00:00,2013-03-10 10:45:00+00:00,1,-1.0000000028868454,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 10:45:00+00:00,2013-03-10 11:00:00+00:00,2013-03-10 11:00:00+00:00,1,-0.9999999982973692,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 11:00:00+00:00,2013-03-10 11:15:00+00:00,2013-03-10 11:15:00+00:00,1,-0.9999999977482008,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 11:15:00+00:00,2013-03-10 11:30:00+00:00,2013-03-10 11:30:00+00:00,1,-0.9999999965653772,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 11:30:00+00:00,2013-03-10 11:45:00+00:00,2013-03-10 11:45:00+00:00,1,-1.0000000003868073,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 11:45:00+00:00,2013-03-10 12:00:00+00:00,2013-03-10 12:00:00+00:00,1,-0.9999999955855232,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 12:00:00+00:00,2013-03-10 12:15:00+00:00,2013-03-10 12:15:00+00:00,1,-0.9999999978015005,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 12:15:00+00:00,2013-03-10 12:30:00+00:00,2013-03-10 12:30:00+00:00,1,-0.9999999954150633,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 12:30:00+00:00,2013-03-10 12:45:00+00:00,2013-03-10 12:45:00+00:00,1,-1.00000000483843,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-10 12:45:00+00:00,2013-03-10 13:00:00+00:00,2013-03-10 13:00:00+00:00,1,-0.9999999983804584,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-11 10:00:00+00:00,2013-03-11 10:15:00+00:00,2013-03-11 10:30:00+00:00,1,-0.9999999999999243,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-11 10:30:00+00:00,2013-03-11 10:45:00+00:00,2013-03-11 10:45:00+00:00,1,-1.0000000000000648,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-11 12:15:00+00:00,2013-03-11 12:30:00+00:00,2013-03-11 15:15:00+00:00,1,1.5000000000000278,TP,False
S2R2-06,daily_expansion,GBPJPY,2013-03-19 12:15:00+00:00,2013-03-19 12:30:00+00:00,2013-03-19 12:45:00+00:00,1,-1.0000000000000238,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-03-19 12:45:00+00:00,2013-03-19 13:00:00+00:00,2013-03-19 13:15:00+00:00,1,-0.9999999999999969,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-02 10:15:00+00:00,2013-04-02 10:30:00+00:00,2013-04-02 12:15:00+00:00,-1,1.5000000000000566,TP,False
S2R2-06,daily_expansion,GBPJPY,2013-04-02 12:15:00+00:00,2013-04-02 12:30:00+00:00,2013-04-02 13:30:00+00:00,-1,-0.9999999999999915,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 10:00:00+00:00,2013-04-06 10:15:00+00:00,2013-04-06 10:15:00+00:00,1,-1.0000000000002314,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 10:15:00+00:00,2013-04-06 10:30:00+00:00,2013-04-06 10:30:00+00:00,1,-1.000000000001957,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 10:30:00+00:00,2013-04-06 10:45:00+00:00,2013-04-06 10:45:00+00:00,1,-0.9999999999978684,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 10:45:00+00:00,2013-04-06 11:00:00+00:00,2013-04-06 11:00:00+00:00,1,-0.9999999999982686,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 11:00:00+00:00,2013-04-06 11:15:00+00:00,2013-04-06 11:15:00+00:00,1,-0.9999999999978375,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 11:15:00+00:00,2013-04-06 11:30:00+00:00,2013-04-06 11:30:00+00:00,1,-1.0000000000020155,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 11:30:00+00:00,2013-04-06 11:45:00+00:00,2013-04-06 11:45:00+00:00,1,-1.0000000000025155,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 11:45:00+00:00,2013-04-06 12:00:00+00:00,2013-04-06 12:00:00+00:00,1,-1.0000000000009002,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 12:00:00+00:00,2013-04-06 12:15:00+00:00,2013-04-06 12:15:00+00:00,1,-0.9999999999974212,SL,False
S2R2-06,daily_expansion,GBPJPY,2013-04-06 12:15:00+00:00,2013-04-06 12:30:00+00:00,2013-04-06 12:30:00+00:00,1,-1.0000000000017921,SL,False
