hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-05,two_hour_fade,GBPUSD,2013-04-10 09:45:00+00:00,2013-04-10 10:00:00+00:00,2013-04-10 10:45:00+00:00,1,-1.0000000000000666,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-04-26 09:30:00+00:00,2013-04-26 09:45:00+00:00,2013-04-26 10:00:00+00:00,1,1.4999999999999194,TP,False
S2R2-05,two_hour_fade,GBPUSD,2013-05-06 10:00:00+00:00,2013-05-06 10:15:00+00:00,2013-05-06 12:00:00+00:00,1,-0.9999999999998985,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-06-06 10:15:00+00:00,2013-06-06 10:30:00+00:00,2013-06-06 11:00:00+00:00,-1,-1.0000000000000508,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-06-13 10:00:00+00:00,2013-06-13 10:15:00+00:00,2013-06-13 12:30:00+00:00,1,-1.000000000000037,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-07-08 09:45:00+00:00,2013-07-08 10:00:00+00:00,2013-07-08 10:00:00+00:00,-1,-1.0000000000000815,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-07-19 09:15:00+00:00,2013-07-19 09:30:00+00:00,2013-07-19 11:00:00+00:00,-1,-0.9999999999999701,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-08-16 09:15:00+00:00,2013-08-16 09:30:00+00:00,2013-08-16 10:00:00+00:00,-1,-1.0000000000001112,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-08-26 10:00:00+00:00,2013-08-26 10:15:00+00:00,2013-08-26 11:45:00+00:00,-1,1.5000000000000546,TP,False
S2R2-05,two_hour_fade,GBPUSD,2013-09-10 09:45:00+00:00,2013-09-10 10:00:00+00:00,2013-09-10 11:15:00+00:00,-1,1.499999999999942,TP,False
S2R2-05,two_hour_fade,GBPUSD,2013-09-13 09:45:00+00:00,2013-09-13 10:00:00+00:00,2013-09-13 12:00:00+00:00,-1,-1.000000000000103,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-10-10 10:45:00+00:00,2013-10-10 11:00:00+00:00,2013-10-10 11:00:00+00:00,-1,-0.9999999999999242,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-10-14 10:30:00+00:00,2013-10-14 10:45:00+00:00,2013-10-14 10:45:00+00:00,-1,-0.9999999999999348,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-10-22 10:15:00+00:00,2013-10-22 10:30:00+00:00,2013-10-22 11:15:00+00:00,-1,-0.9999999999998576,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-11-11 09:15:00+00:00,2013-11-11 09:30:00+00:00,2013-11-11 09:30:00+00:00,-1,-1.0000000000000133,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-12-19 09:15:00+00:00,2013-12-19 09:30:00+00:00,2013-12-19 09:30:00+00:00,1,-1.000000000000055,SL,False
S2R2-05,two_hour_fade,GBPUSD,2013-12-26 10:30:00+00:00,2013-12-26 10:45:00+00:00,2013-12-26 11:15:00+00:00,-1,-1.0000000000001006,SL,False
S2R2-05,two_hour_fade,GBPUSD,2014-01-31 10:00:00+00:00,2014-01-31 10:15:00+00:00,2014-01-31 10:15:00+00:00,1,-0.9999999999999352,SL,False
S2R2-05,two_hour_fade,GBPUSD,2014-03-06 09:15:00+00:00,2014-03-06 09:30:00+00:00,2014-03-06 11:30:00+00:00,1,-0.9999999999999585,SL,False
