hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-12 15:00:00+00:00,2013-04-12 15:15:00+00:00,2013-04-12 15:30:00+00:00,1,-0.9999999999999597,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-15 14:45:00+00:00,2013-04-15 15:00:00+00:00,2013-04-15 15:30:00+00:00,1,1.5000000000000393,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-04-19 14:00:00+00:00,2013-04-19 14:15:00+00:00,2013-04-19 16:00:00+00:00,1,-0.38718647503111514,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-01 14:15:00+00:00,2013-05-01 14:30:00+00:00,2013-05-01 18:45:00+00:00,1,1.4999999999999793,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-08 14:30:00+00:00,2013-05-08 14:45:00+00:00,2013-05-08 19:00:00+00:00,1,-1.000000000000042,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-05-31 15:00:00+00:00,2013-05-31 15:15:00+00:00,2013-05-31 16:00:00+00:00,1,0.2656766837825382,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-07 15:15:00+00:00,2013-06-07 15:30:00+00:00,2013-06-07 16:00:00+00:00,1,0.06696336604296971,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-11 15:15:00+00:00,2013-06-11 15:30:00+00:00,2013-06-11 19:00:00+00:00,-1,-0.9999999999999901,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-06-20 15:00:00+00:00,2013-06-20 15:15:00+00:00,2013-06-20 16:30:00+00:00,1,1.5000000000000033,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-07-11 14:30:00+00:00,2013-07-11 14:45:00+00:00,2013-07-11 15:00:00+00:00,1,-0.9999999999999797,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-07-11 15:15:00+00:00,2013-07-11 15:30:00+00:00,2013-07-11 18:30:00+00:00,1,1.4999999999999898,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-08-01 14:30:00+00:00,2013-08-01 14:45:00+00:00,2013-08-01 20:30:00+00:00,1,1.500000000000013,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-09-04 14:30:00+00:00,2013-09-04 14:45:00+00:00,2013-09-04 20:30:00+00:00,-1,0.5977181140605914,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-10-17 14:00:00+00:00,2013-10-17 14:15:00+00:00,2013-10-17 19:15:00+00:00,-1,1.499999999999984,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-10-22 14:00:00+00:00,2013-10-22 14:15:00+00:00,2013-10-22 14:15:00+00:00,-1,-1.000000000000015,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-11-08 15:30:00+00:00,2013-11-08 15:45:00+00:00,2013-11-08 16:00:00+00:00,1,1.1436109479635992,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2013-12-06 15:45:00+00:00,2013-12-06 16:00:00+00:00,2013-12-06 16:00:00+00:00,-1,-0.004720720591798895,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-02 15:00:00+00:00,2014-01-02 15:15:00+00:00,2014-01-02 15:15:00+00:00,-1,-0.9999999999999994,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-03 14:15:00+00:00,2014-01-03 14:30:00+00:00,2014-01-03 15:15:00+00:00,-1,-1.0000000000000004,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-10 15:00:00+00:00,2014-01-10 15:15:00+00:00,2014-01-10 16:00:00+00:00,-1,-0.38675708156207167,FRIDAY,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-13 14:00:00+00:00,2014-01-13 14:15:00+00:00,2014-01-13 20:00:00+00:00,-1,0.49088691756804576,TIME,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-23 14:30:00+00:00,2014-01-23 14:45:00+00:00,2014-01-23 14:45:00+00:00,-1,-1.0000000000000113,SL,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-23 15:00:00+00:00,2014-01-23 15:15:00+00:00,2014-01-23 17:15:00+00:00,-1,1.4999999999999942,TP,False
S2R2-02,late_london_exhaustion,NZDUSD,2014-01-28 14:45:00+00:00,2014-01-28 15:00:00+00:00,2014-01-28 15:45:00+00:00,1,-0.9999999999999689,SL,False
