hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-10,overnight_unwind,USDCAD,2013-01-25 08:30:00+00:00,2013-01-25 08:45:00+00:00,2013-01-25 08:45:00+00:00,-1,1.499999999999742,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-02-11 07:15:00+00:00,2013-02-11 07:30:00+00:00,2013-02-11 07:30:00+00:00,-1,-1.000000000000142,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-12 07:00:00+00:00,2013-02-12 07:15:00+00:00,2013-02-12 07:30:00+00:00,-1,-1.0000000000001925,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-02-12 07:45:00+00:00,2013-02-12 08:00:00+00:00,2013-02-12 08:00:00+00:00,-1,-1.0000000000002476,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-07 07:00:00+00:00,2013-03-07 07:15:00+00:00,2013-03-07 07:15:00+00:00,1,-0.9999999999997482,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-07 07:15:00+00:00,2013-03-07 07:30:00+00:00,2013-03-07 08:00:00+00:00,1,-1.0000000000002554,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-11 07:15:00+00:00,2013-03-11 07:30:00+00:00,2013-03-11 07:45:00+00:00,1,-1.0000000000002292,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-03-11 08:00:00+00:00,2013-03-11 08:15:00+00:00,2013-03-11 09:15:00+00:00,1,1.500000000000138,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-04-08 07:45:00+00:00,2013-04-08 08:00:00+00:00,2013-04-08 08:15:00+00:00,-1,-0.9999999999998174,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-04-08 08:15:00+00:00,2013-04-08 08:30:00+00:00,2013-04-08 09:00:00+00:00,-1,-0.9999999999999609,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-06-19 07:15:00+00:00,2013-06-19 07:30:00+00:00,2013-06-19 08:15:00+00:00,1,-0.9999999999999141,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-06-19 08:15:00+00:00,2013-06-19 08:30:00+00:00,2013-06-19 08:45:00+00:00,1,-0.9999999999998809,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-07-04 07:00:00+00:00,2013-07-04 07:15:00+00:00,2013-07-04 07:30:00+00:00,-1,-1.0000000000001745,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-07-04 07:30:00+00:00,2013-07-04 07:45:00+00:00,2013-07-04 08:45:00+00:00,-1,1.5000000000000802,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-07-15 07:00:00+00:00,2013-07-15 07:15:00+00:00,2013-07-15 08:15:00+00:00,-1,-0.9999999999999392,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-07-17 07:00:00+00:00,2013-07-17 07:15:00+00:00,2013-07-17 08:15:00+00:00,-1,1.4999999999998632,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-07-31 07:00:00+00:00,2013-07-31 07:15:00+00:00,2013-07-31 07:30:00+00:00,-1,-1.0000000000001508,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-07-31 07:30:00+00:00,2013-07-31 07:45:00+00:00,2013-07-31 07:45:00+00:00,-1,1.5000000000001876,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-07-31 07:45:00+00:00,2013-07-31 08:00:00+00:00,2013-07-31 08:00:00+00:00,-1,1.4999999999998566,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-08-30 08:15:00+00:00,2013-08-30 08:30:00+00:00,2013-08-30 08:30:00+00:00,1,-0.9999999999999222,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-08-30 08:30:00+00:00,2013-08-30 08:45:00+00:00,2013-08-30 09:45:00+00:00,1,1.5000000000001774,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-09-03 07:15:00+00:00,2013-09-03 07:30:00+00:00,2013-09-03 08:45:00+00:00,1,-0.9999999999999687,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-09-09 07:00:00+00:00,2013-09-09 07:15:00+00:00,2013-09-09 07:30:00+00:00,1,-0.9999999999998028,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-09-09 07:30:00+00:00,2013-09-09 07:45:00+00:00,2013-09-09 08:00:00+00:00,1,-1.000000000000105,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-09-13 07:15:00+00:00,2013-09-13 07:30:00+00:00,2013-09-13 07:30:00+00:00,-1,-0.9999999999999317,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-09-16 08:30:00+00:00,2013-09-16 08:45:00+00:00,2013-09-16 09:45:00+00:00,1,1.5000000000000628,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-09-23 07:15:00+00:00,2013-09-23 07:30:00+00:00,2013-09-23 07:30:00+00:00,1,-0.9999999999999886,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-09-23 07:30:00+00:00,2013-09-23 07:45:00+00:00,2013-09-23 09:15:00+00:00,1,1.4999999999998785,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-10-18 07:45:00+00:00,2013-10-18 08:00:00+00:00,2013-10-18 08:15:00+00:00,1,-1.0000000000000504,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-10-22 07:15:00+00:00,2013-10-22 07:30:00+00:00,2013-10-22 07:30:00+00:00,1,-1.0000000000004419,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-10-22 07:45:00+00:00,2013-10-22 08:00:00+00:00,2013-10-22 08:00:00+00:00,1,-0.9999999999998532,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-10-22 08:30:00+00:00,2013-10-22 08:45:00+00:00,2013-10-22 08:45:00+00:00,1,-1.0000000000000038,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-12-06 07:30:00+00:00,2013-12-06 07:45:00+00:00,2013-12-06 08:15:00+00:00,-1,1.5000000000001454,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-12-10 07:30:00+00:00,2013-12-10 07:45:00+00:00,2013-12-10 08:15:00+00:00,1,-0.9999999999998271,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-12-10 08:15:00+00:00,2013-12-10 08:30:00+00:00,2013-12-10 08:30:00+00:00,1,1.4999999999998899,TP,False
S2R2-10,overnight_unwind,USDCAD,2013-12-12 07:00:00+00:00,2013-12-12 07:15:00+00:00,2013-12-12 07:45:00+00:00,1,-0.9999999999998085,SL,False
S2R2-10,overnight_unwind,USDCAD,2013-12-16 08:30:00+00:00,2013-12-16 08:45:00+00:00,2013-12-16 08:45:00+00:00,1,-1.0000000000001712,SL,False
S2R2-10,overnight_unwind,USDCAD,2014-01-28 07:00:00+00:00,2014-01-28 07:15:00+00:00,2014-01-28 07:15:00+00:00,1,-0.9999999999999722,SL,False
S2R2-10,overnight_unwind,USDCAD,2014-01-28 07:30:00+00:00,2014-01-28 07:45:00+00:00,2014-01-28 08:30:00+00:00,1,1.4999999999998486,TP,False
S2R2-10,overnight_unwind,USDCAD,2014-01-31 08:00:00+00:00,2014-01-31 08:15:00+00:00,2014-01-31 08:30:00+00:00,-1,-0.9999999999998541,SL,False
S2R2-10,overnight_unwind,USDCAD,2014-01-31 08:30:00+00:00,2014-01-31 08:45:00+00:00,2014-01-31 10:30:00+00:00,-1,-0.9999999999999318,SL,False
S2R2-10,overnight_unwind,USDCAD,2014-02-10 07:30:00+00:00,2014-02-10 07:45:00+00:00,2014-02-10 08:00:00+00:00,1,1.5000000000001203,TP,False
