hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-12,friday_fade,USDCHF,2013-01-04 14:15:00+00:00,2013-01-04 14:30:00+00:00,2013-01-04 14:45:00+00:00,1,-0.9999999999999852,SL,False
S2R2-12,friday_fade,USDCHF,2013-01-04 15:00:00+00:00,2013-01-04 15:15:00+00:00,2013-01-04 16:00:00+00:00,1,-0.2738941144300043,FRIDAY,False
S2R2-12,friday_fade,USDCHF,2013-01-18 13:30:00+00:00,2013-01-18 13:45:00+00:00,2013-01-18 14:00:00+00:00,-1,-0.9999999999999913,SL,False
S2R2-12,friday_fade,USDCHF,2013-01-18 15:00:00+00:00,2013-01-18 15:15:00+00:00,2013-01-18 16:00:00+00:00,1,0.9787372849614654,FRIDAY,False
S2R2-12,friday_fade,USDCHF,2013-01-25 13:00:00+00:00,2013-01-25 13:15:00+00:00,2013-01-25 13:45:00+00:00,-1,-1.000000000000038,SL,False
S2R2-12,friday_fade,USDCHF,2013-01-25 14:45:00+00:00,2013-01-25 15:00:00+00:00,2013-01-25 15:45:00+00:00,-1,1.5000000000000369,TP,False
S2R2-12,friday_fade,USDCHF,2013-01-25 15:45:00+00:00,2013-01-25 16:00:00+00:00,2013-01-25 16:00:00+00:00,-1,-1.0516993552341534,FRIDAY,False
S2R2-12,friday_fade,USDCHF,2013-02-01 13:30:00+00:00,2013-02-01 13:45:00+00:00,2013-02-01 14:45:00+00:00,-1,-1.00000000000001,SL,False
S2R2-12,friday_fade,USDCHF,2013-02-08 13:15:00+00:00,2013-02-08 13:30:00+00:00,2013-02-08 14:00:00+00:00,-1,1.4999999999999638,TP,False
S2R2-12,friday_fade,USDCHF,2013-02-08 14:45:00+00:00,2013-02-08 15:00:00+00:00,2013-02-08 15:30:00+00:00,1,-0.99999999999996,SL,False
S2R2-12,friday_fade,USDCHF,2013-02-08 15:45:00+00:00,2013-02-08 16:00:00+00:00,2013-02-08 16:00:00+00:00,1,-0.3734241832470892,FRIDAY,False
S2R2-12,friday_fade,USDCHF,2013-02-15 14:30:00+00:00,2013-02-15 14:45:00+00:00,2013-02-15 15:45:00+00:00,1,1.4999999999999494,TP,False
S2R2-12,friday_fade,USDCHF,2013-02-22 13:15:00+00:00,2013-02-22 13:30:00+00:00,2013-02-22 14:45:00+00:00,1,1.500000000000046,TP,False
S2R2-12,friday_fade,USDCHF,2013-02-22 14:45:00+00:00,2013-02-22 15:00:00+00:00,2013-02-22 15:15:00+00:00,1,-1.0000000000000275,SL,False
S2R2-12,friday_fade,USDCHF,2013-03-01 13:45:00+00:00,2013-03-01 14:00:00+00:00,2013-03-01 14:15:00+00:00,1,1.4999999999999671,TP,False
S2R2-12,friday_fade,USDCHF,2013-03-08 13:15:00+00:00,2013-03-08 13:30:00+00:00,2013-03-08 13:30:00+00:00,-1,-0.9999999999999435,SL,False
