hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2R2-02,late_london_exhaustion,USDJPY,2013-02-12 15:45:00+00:00,2013-02-12 16:00:00+00:00,2013-02-12 18:00:00+00:00,1,1.499999999999976,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2013-02-15 14:15:00+00:00,2013-02-15 14:30:00+00:00,2013-02-15 15:15:00+00:00,-1,-1.0000000000000198,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-02-26 15:00:00+00:00,2013-02-26 15:15:00+00:00,2013-02-26 15:30:00+00:00,-1,1.4999999999999776,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2013-04-04 15:00:00+00:00,2013-04-04 15:15:00+00:00,2013-04-04 21:00:00+00:00,-1,-0.7793281100707259,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2013-04-05 14:30:00+00:00,2013-04-05 14:45:00+00:00,2013-04-05 16:00:00+00:00,-1,0.19172642578934632,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2013-04-26 14:15:00+00:00,2013-04-26 14:30:00+00:00,2013-04-26 14:45:00+00:00,1,-0.9999999999999908,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-05-10 15:15:00+00:00,2013-05-10 15:30:00+00:00,2013-05-10 16:00:00+00:00,-1,1.4277268316491911,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2013-05-24 14:00:00+00:00,2013-05-24 14:15:00+00:00,2013-05-24 16:00:00+00:00,1,-0.018674316314410522,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2013-05-28 14:15:00+00:00,2013-05-28 14:30:00+00:00,2013-05-28 15:00:00+00:00,-1,1.5,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2013-06-07 14:00:00+00:00,2013-06-07 14:15:00+00:00,2013-06-07 14:30:00+00:00,-1,-0.999999999999989,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-06-13 14:00:00+00:00,2013-06-13 14:15:00+00:00,2013-06-13 17:00:00+00:00,1,1.4999999999999984,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2013-08-01 14:30:00+00:00,2013-08-01 14:45:00+00:00,2013-08-01 17:00:00+00:00,-1,-1.0000000000000115,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-09-06 14:00:00+00:00,2013-09-06 14:15:00+00:00,2013-09-06 16:00:00+00:00,1,1.4858394841527887,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2013-10-17 14:45:00+00:00,2013-10-17 15:00:00+00:00,2013-10-17 20:45:00+00:00,1,0.9355933937637735,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-07 14:00:00+00:00,2013-11-07 14:15:00+00:00,2013-11-07 15:15:00+00:00,-1,1.500000000000056,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-08 14:45:00+00:00,2013-11-08 15:00:00+00:00,2013-11-08 15:15:00+00:00,-1,-0.9999999999999741,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-08 15:30:00+00:00,2013-11-08 15:45:00+00:00,2013-11-08 16:00:00+00:00,-1,0.9938978824348006,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-14 15:30:00+00:00,2013-11-14 15:45:00+00:00,2013-11-14 19:30:00+00:00,-1,-1.0000000000000009,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-21 14:00:00+00:00,2013-11-21 14:15:00+00:00,2013-11-21 14:45:00+00:00,-1,-1.0000000000000033,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-21 14:45:00+00:00,2013-11-21 15:00:00+00:00,2013-11-21 19:30:00+00:00,-1,-1.0000000000000033,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-25 15:00:00+00:00,2013-11-25 15:15:00+00:00,2013-11-25 15:15:00+00:00,1,-1.000000000000088,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-11-25 15:15:00+00:00,2013-11-25 15:30:00+00:00,2013-11-25 20:15:00+00:00,1,-1.0000000000000426,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-12-02 14:00:00+00:00,2013-12-02 14:15:00+00:00,2013-12-02 14:15:00+00:00,-1,-1.0000000000000442,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-12-02 15:00:00+00:00,2013-12-02 15:15:00+00:00,2013-12-02 16:00:00+00:00,-1,-0.9999999999999977,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2013-12-03 15:45:00+00:00,2013-12-03 16:00:00+00:00,2013-12-03 16:30:00+00:00,1,-1.0000000000000013,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-06 14:30:00+00:00,2014-01-06 14:45:00+00:00,2014-01-06 15:00:00+00:00,-1,1.5000000000000637,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-10 15:00:00+00:00,2014-01-10 15:15:00+00:00,2014-01-10 16:00:00+00:00,1,-0.13178317665624545,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-13 14:15:00+00:00,2014-01-13 14:30:00+00:00,2014-01-13 15:00:00+00:00,1,1.499999999999952,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-16 14:30:00+00:00,2014-01-16 14:45:00+00:00,2014-01-16 17:45:00+00:00,1,1.4999999999999867,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-23 14:00:00+00:00,2014-01-23 14:15:00+00:00,2014-01-23 14:30:00+00:00,1,-0.9999999999999812,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-23 14:30:00+00:00,2014-01-23 14:45:00+00:00,2014-01-23 15:00:00+00:00,1,-0.9999999999999983,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-01-23 15:00:00+00:00,2014-01-23 15:15:00+00:00,2014-01-23 17:15:00+00:00,1,-0.9999999999999593,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-02-03 15:15:00+00:00,2014-02-03 15:30:00+00:00,2014-02-03 16:00:00+00:00,1,-0.9999999999999855,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-04-08 15:45:00+00:00,2014-04-08 16:00:00+00:00,2014-04-08 16:45:00+00:00,1,-0.9999999999999595,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-05-06 14:15:00+00:00,2014-05-06 14:30:00+00:00,2014-05-06 17:15:00+00:00,1,-0.9999999999999545,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-07-03 14:00:00+00:00,2014-07-03 14:15:00+00:00,2014-07-03 20:00:00+00:00,-1,-0.12072380449475797,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2014-07-30 14:45:00+00:00,2014-07-30 15:00:00+00:00,2014-07-30 15:45:00+00:00,-1,-0.999999999999966,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-08-15 15:30:00+00:00,2014-08-15 15:45:00+00:00,2014-08-15 15:45:00+00:00,1,-0.9999999999999915,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-09-05 14:00:00+00:00,2014-09-05 14:15:00+00:00,2014-09-05 16:00:00+00:00,1,1.5146173006634782,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2014-09-25 14:45:00+00:00,2014-09-25 15:00:00+00:00,2014-09-25 20:45:00+00:00,1,0.1685700507536808,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2014-09-26 14:15:00+00:00,2014-09-26 14:30:00+00:00,2014-09-26 16:00:00+00:00,-1,-0.7017608038148686,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2014-10-02 15:45:00+00:00,2014-10-02 16:00:00+00:00,2014-10-02 18:45:00+00:00,1,1.499999999999971,TP,False
S2R2-02,late_london_exhaustion,USDJPY,2014-10-03 14:00:00+00:00,2014-10-03 14:15:00+00:00,2014-10-03 14:30:00+00:00,-1,-0.9999999999999853,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-10-23 14:45:00+00:00,2014-10-23 15:00:00+00:00,2014-10-23 16:45:00+00:00,-1,-0.9999999999999398,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-10-31 14:45:00+00:00,2014-10-31 15:00:00+00:00,2014-10-31 16:00:00+00:00,-1,0.8762636529904302,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2014-11-03 14:00:00+00:00,2014-11-03 14:15:00+00:00,2014-11-03 15:00:00+00:00,-1,-0.9999999999999577,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-11-03 15:00:00+00:00,2014-11-03 15:15:00+00:00,2014-11-03 15:45:00+00:00,-1,-1.0000000000000298,SL,False
S2R2-02,late_london_exhaustion,USDJPY,2014-11-07 15:00:00+00:00,2014-11-07 15:15:00+00:00,2014-11-07 16:00:00+00:00,1,0.4544715512860717,FRIDAY,False
S2R2-02,late_london_exhaustion,USDJPY,2014-11-17 15:00:00+00:00,2014-11-17 15:15:00+00:00,2014-11-17 21:00:00+00:00,-1,-0.032965088229273076,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2014-12-01 15:00:00+00:00,2014-12-01 15:15:00+00:00,2014-12-01 21:00:00+00:00,1,0.7906827867466175,TIME,False
S2R2-02,late_london_exhaustion,USDJPY,2014-12-05 15:15:00+00:00,2014-12-05 15:30:00+00:00,2014-12-05 16:00:00+00:00,-1,0.579542911700219,FRIDAY,False
